Player,Position,Team,Opponent,Points
Philip Rivers,QB,LAC,BAL,31.22
Ben Roethlisberger,QB,PIT,NO,31.20
Colt McCoy,QB,WAS,IND,30.88
Drew Brees,QB,NO,PIT,30.28
Aaron Rodgers,QB,GB,NE,27.92
Matthew Stafford,QB,DET,CHI,25.60
Matt Ryan,QB,ATL,ARI,24.84
Joe Flacco,QB,BAL,LAC,23.30
Mark Sanchez,QB,PHI,DAL,21.48
Shaun Hill,QB,LAR,OAK,21.42
Blake Bortles,QB,JAX,NYG,18.56
Tom Brady,QB,NE,GB,17.70
Jay Cutler,QB,CHI,DET,17.10
Russell Wilson,QB,SEA,SF,16.94
Cam Newton,QB,CAR,MIN,15.66
Andy Dalton,QB,CIN,TB,14.74
Teddy Bridgewater,QB,MIN,CAR,14.72
Drew Stanton,QB,ARI,ATL,14.46
Alex Smith,QB,KC,DEN,13.72
Peyton Manning,QB,DEN,KC,13.56
Eli Manning,QB,NYG,JAX,11.88
Zach Mettenberger,QB,TEN,HOU,11.16
Johnny Manziel,QB,CLE,BUF,9.82
Ryan Tannehill,QB,MIA,NYJ,9.70
Kyle Orton,QB,BUF,CLE,9.60
Josh McCown,QB,TB,CIN,6.60
Tony Romo,QB,DAL,PHI,5.86
Brian Hoyer,QB,CLE,BUF,5.68
Derek Carr,QB,OAK,LAR,5.02
Jake Locker,QB,TEN,HOU,4.64
Colin Kaepernick,QB,SF,SEA,4.54
Geno Smith,QB,NYJ,MIA,3.50
Matt Schaub,QB,OAK,LAR,0.28
Austin Davis,QB,LAR,OAK,0.00
Luke McCown,QB,NO,PIT,0.00
Tom Savage,QB,HOU,TEN,-0.20
Keenan Allen,WR,LAC,BAL,38.10
Julio Jones,WR,ATL,ARI,37.90
Donte Moncrief,WR,IND,WAS,32.00
Antonio Brown,WR,PIT,NO,31.70
Kenny Stills,WR,NO,PIT,30.20
Kendall Wright,WR,TEN,HOU,29.20
Alshon Jeffery,WR,CHI,DET,28.10
Torrey Smith,WR,BAL,LAC,24.50
Harry Douglas,WR,ATL,ARI,23.60
Eddie Royal,WR,LAC,BAL,22.10
Jeremy Maclin,WR,PHI,DAL,21.80
Davante Adams,WR,GB,NE,21.10
Brandon LaFell,WR,NE,GB,20.80
Marqise Lee,WR,JAX,NYG,19.50
DeSean Jackson,WR,WAS,IND,19.40
Demaryius Thomas,WR,DEN,KC,18.30
Stedman Bailey,WR,LAR,OAK,18.00
Andre Johnson,WR,HOU,TEN,17.30
TY Hilton,WR,IND,WAS,17.20
Nate Washington,WR,TEN,HOU,17.10
Golden Tate,WR,DET,CHI,16.90
Odell Beckham Jr,WR,NYG,JAX,16.40
Randall Cobb,WR,GB,NE,16.30
AJ Green,WR,CIN,TB,15.70
Miles Austin,WR,CLE,BUF,15.60
Greg Jennings,WR,MIN,CAR,15.50
Jordan Matthews,WR,PHI,DAL,15.10
Jarvis Landry,WR,MIA,NYJ,14.80
Jaron Brown,WR,ARI,ATL,14.50
Josh Gordon,WR,CLE,BUF,14.50
Jordy Nelson,WR,GB,NE,13.30
Emmanuel Sanders,WR,DEN,KC,13.30
Mike Wallace,WR,MIA,NYJ,12.90
Corey Brown,WR,CAR,MIN,11.80
Julian Edelman,WR,NE,GB,11.80
Tavon Austin,WR,LAR,OAK,11.50
