Player,Position,Team,Opponent,Points
Peyton Manning,QB,IND,DEN,27.90
Drew Brees,QB,NO,ATL,27.60
Aaron Rodgers,QB,GB,CHI,26.64
Kyle Orton,QB,DEN,IND,26.14
Chad Henne,QB,MIA,NYJ,24.62
Tom Brady,QB,NE,BUF,22.68
Mark Sanchez,QB,NYJ,MIA,22.14
Joe Flacco,QB,BAL,CLE,22.08
Matt Cassel,QB,KC,SF,21.70
Charlie Batch,QB,PIT,TB,20.04
Matt Ryan,QB,ATL,NO,19.72
Tony Romo,QB,DAL,HOU,19.26
Ryan Fitzpatrick,QB,BUF,NE,17.68
Eli Manning,QB,NYG,TEN,16.64
Jay Cutler,QB,CHI,GB,15.54
Donovan McNabb,QB,WAS,LAR,14.94
Bruce Gradkowski,QB,OAK,ARI,14.50
Sam Bradford,QB,LAR,WAS,12.60
Matt Hasselbeck,QB,SEA,LAC,12.30
Alex Smith,QB,SF,KC,12.28
Derek Anderson,QB,ARI,OAK,11.88
Shaun Hill,QB,DET,MIN,11.88
Matt Schaub,QB,HOU,DAL,11.64
Carson Palmer,QB,CIN,CAR,10.60
Brett Favre,QB,MIN,DET,9.84
Seneca Wallace,QB,CLE,BAL,9.64
Vince Young,QB,TEN,NYG,9.32
Josh Freeman,QB,TB,PIT,7.86
David Garrard,QB,JAX,PHI,6.40
Jimmy Clausen,QB,CAR,CIN,5.52
Josh Johnson,QB,TB,PIT,3.38
Lance Moore,WR,NO,ATL,35.90
Brandon Marshall,WR,MIA,NYJ,35.90
Brandon Lloyd,WR,DEN,IND,31.90
Roy Williams,WR,DAL,HOU,31.70
DeSean Jackson,WR,PHI,JAX,30.10
Jabar Gaffney,WR,DEN,IND,29.00
Mike Wallace,WR,PIT,TB,27.90
Santana Moss,WR,WAS,LAR,26.40
Jeremy Maclin,WR,PHI,JAX,24.30
Steve Smith,WR,NYG,TEN,22.30
Malcom Floyd,WR,LAC,SEA,21.70
Louis Murphy,WR,OAK,ARI,19.90
Percy Harvin,WR,MIN,DET,19.50
Randy Moss,WR,NE,BUF,18.20
Roddy White,WR,ATL,NO,17.90
Braylon Edwards,WR,NYJ,MIA,16.70
Steve Johnson,WR,BUF,NE,15.60
Donald Driver,WR,GB,CHI,15.10
Davone Bess,WR,MIA,NYJ,14.60
Steve Breaston,WR,ARI,OAK,14.50
Dwayne Bowe,WR,KC,SF,14.10
Mario Manningham,WR,NYG,TEN,13.80
Johnny Knox,WR,CHI,GB,13.60
Mark Clayton,WR,LAR,WAS,13.50
Brian Hartline,WR,MIA,NYJ,13.40
Roscoe Parrish,WR,BUF,NE,13.30
Joshua Cribbs,WR,CLE,BAL,12.80
Hakeem Nicks,WR,NYG,TEN,12.60
Kevin Walter,WR,HOU,DAL,12.40
Hines Ward,WR,PIT,TB,12.20
Calvin Johnson,WR,DET,MIN,11.80
Blair White,WR,IND,DEN,11.70
Danny Amendola,WR,LAR,WAS,11.60
Craig Davis,WR,LAC,SEA,11.20
Larry Fitzgerald,WR,ARI,OAK,10.60
Kenny Britt,WR,TEN,NYG,10.60
Reggie Wayne,WR,IND,DEN,10.50
Andre Johnson,WR,HOU,DAL,10.40
Lee Evans,WR,BUF,NE,10.40
Jacoby Jones,WR,HOU,DAL,10.10
Legedu Naanee,WR,LAC,SEA,10.10
Deion Branch,WR,SEA,LAC,10.00
Greg Jennings,WR,GB,CHI,9.80
Mike Williams,WR,TB,PIT,9.50
James Jones,WR,GB,CHI,9.50
Dez Bryant,WR,DAL,HOU,9.00
Patrick Crayton,WR,LAC,SEA,8.70
Devin Hester,WR,CHI,GB,8.60
Antonio Gates,TE,LAC,SEA,26.90
Jermichael Finley,TE,GB,CHI,23.50
Jeremy Shockey,TE,NO,ATL,21.80
Tony Scheffler,TE,DET,MIN,19.00
Greg Olsen,TE,CHI,GB,17.40
John Carlson,TE,SEA,LAC,17.10
Zach Miller,TE,OAK,ARI,16.40
Benjamin Watson,TE,CLE,BAL,15.70
Tony Moeaki,TE,KC,SF,14.40
Aaron Hernandez,TE,NE,BUF,13.80
Rob Gronkowski,TE,NE,BUF,13.30
Jason Witten,TE,DAL,HOU,12.60
Kevin Boss,TE,NYG,TEN,11.80
Daniel Fells,TE,LAR,WAS,11.20
Brandon Pettigrew,TE,DET,MIN,10.40
Chris Cooley,TE,WAS,LAR,10.30
Jermaine Gresham,TE,CIN,CAR,9.90
Anthony Fasano,TE,MIA,NYJ,9.40
Dallas Clark,TE,IND,DEN,9.40
Todd Heap,TE,BAL,CLE,8.60
Brent Celek,TE,PHI,JAX,8.20
Jonathan Stupar,TE,BUF,NE,5.70
Owen Daniels,TE,HOU,DAL,5.70
Martellus Bennett,TE,DAL,HOU,5.60
Kellen Winslow,TE,TB,PIT,5.40
David Thomas,TE,NO,ATL,5.40
Vernon Davis,TE,SF,KC,5.20
Ben Patrick,TE,ARI,OAK,4.90
Heath Miller,TE,PIT,TB,4.50
Marcedes Lewis,TE,JAX,PHI,4.50
Bo Scaife,TE,TEN,NYG,4.30
Travis Beckum,TE,NYG,TEN,4.30
Daniel Graham,TE,DEN,IND,3.90
Randy McMichael,TE,LAC,SEA,3.80
Jimmy Kleinsasser,TE,MIN,DET,3.70
Fendi Onobun,TE,LAR,WAS,3.50
Jerramy Stevens,TE,TB,PIT,3.20
Dante Rosario,TE,CAR,CIN,3.20
Mike Sellers,TE,WAS,LAR,3.10
Fred Davis,TE,WAS,LAR,3.10
Joel Dreessen,TE,HOU,DAL,2.80
Jeff King,TE,CAR,CIN,2.30
Desmond Clark,TE,CHI,GB,2.20
Jeff Dugan,TE,MIN,DET,2.00
Nate Byham,TE,SF,KC,1.90
Brody Eldridge,TE,IND,DEN,1.80
Zach Miller,TE,JAX,PHI,1.70
Visanthe Shiancoe,TE,MIN,DET,1.70
Chris Johnson,RB,TEN,NYG,27.50
Frank Gore,RB,SF,KC,26.50
Michael Turner,RB,ATL,NO,23.50
Rashard Mendenhall,RB,PIT,TB,23.30
Darren McFadden,RB,OAK,ARI,23.20
Cedric Benson,RB,CIN,CAR,23.00
Ahmad Bradshaw,RB,NYG,TEN,21.80
CJ Spiller,RB,BUF,NE,18.90
Arian Foster,RB,HOU,DAL,18.60
Jamaal Charles,RB,KC,SF,18.40
LaDainian Tomlinson,RB,NYJ,MIA,17.80
BenJarvus Green-Ellis,RB,NE,BUF,17.40
Thomas Jones,RB,KC,SF,16.60
Dexter McCluster,RB,KC,SF,15.80
Pierre Thomas,RB,NO,ATL,15.10
Ray Rice,RB,BAL,CLE,13.60
Steven Jackson,RB,LAR,WAS,13.40
Marion Barber,RB,DAL,HOU,13.00
Kenneth Darby,RB,LAR,WAS,12.70
Justin Forsett,RB,SEA,LAC,12.40
Leon Washington,RB,SEA,LAC,12.00
Mike Tolbert,FB,LAC,SEA,11.00
Earnest Graham,RB,TB,PIT,11.00
Maurice Jones-Drew,RB,JAX,PHI,10.90
Correll Buckhalter,RB,DEN,IND,10.50
Danny Woodhead,RB,NE,BUF,10.20
Jonathan Stewart,RB,CAR,CIN,10.10
Marshawn Lynch,RB,BUF,NE,9.60
Cadillac Williams,RB,TB,PIT,9.60
Maurice Morris,RB,DET,MIN,9.10
LeGarrette Blount,RB,TB,PIT,8.70
Mike Goodson,RB,CAR,CIN,8.70
Laurence Maroney,RB,DEN,IND,8.40
LeSean McCoy,RB,PHI,JAX,8.10
Jason Snelling,RB,ATL,NO,8.00
Brandon Jackson,RB,GB,CHI,7.90
Chris Wells,RB,ARI,OAK,7.50
Ronnie Brown,RB,MIA,NYJ,7.30
John Kuhn,FB,GB,CHI,7.10
Clinton Portis,RB,WAS,LAR,6.80
DeAngelo Williams,RB,CAR,CIN,6.40
Matt Forte,RB,CHI,GB,6.30
LaRod Stephens-Howling,RB,ARI,OAK,6.00
Joseph Addai,RB,IND,DEN,5.90
Jahvid Best,RB,DET,MIN,5.90
Isaac Redman,RB,PIT,TB,5.00
Tim Hightower,RB,ARI,OAK,5.00
Ovie Mughelli,FB,ATL,NO,4.90
Josh Brown,K,LAR,WAS,0.00
Dan Carpenter,K,MIA,NYJ,0.00
Graham Gano,K,WAS,LAR,0.00
Rob Bironas,K,TEN,NYG,0.00
Adam Vinatieri,K,IND,DEN,0.00
Matt Bryant,K,ATL,NO,0.00
Olindo Mare,K,SEA,LAC,0.00
David Buehler,K,DAL,HOU,0.00
Stephen Gostkowski,K,NE,BUF,0.00
Robbie Gould,K,CHI,GB,0.00
