Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Sebastian Janikowski,K,3,OAK,ARI,3,6,50,54,2,2,0.00,2010
2,Rian Lindell,K,3,BUF,NE,3,4,75,39,3,3,0.00,2010
3,Josh Brown,K,3,LAR,WAS,3,4,75,37,3,3,0.00,2010
4,Dan Carpenter,K,3,MIA,NYJ,3,3,100,50,2,2,0.00,2010
5,Graham Gano,K,3,WAS,LAR,3,3,100,29,1,1,0.00,2010
6,David Buehler,K,3,DAL,HOU,2,2,100,49,3,3,0.00,2010
7,Matt Bryant,K,3,ATL,NO,2,2,100,46,3,3,0.00,2010
8,Rob Bironas,K,3,TEN,NYG,2,2,100,48,3,3,0.00,2010
9,Adam Vinatieri,K,3,IND,DEN,2,2,100,38,3,3,0.00,2010
10,Olindo Mare,K,3,SEA,LAC,2,2,100,23,3,3,0.00,2010
11,Mike Nugent,K,3,CIN,CAR,2,2,100,50,2,2,0.00,2010
12,Stephen Gostkowski,K,3,NE,BUF,1,1,100,43,5,5,0.00,2010
13,Jeff Reed,K,3,PIT,TB,1,1,100,24,5,5,0.00,2010
14,Robbie Gould,K,3,CHI,GB,2,3,67,25,2,2,0.00,2010
15,Neil Rackers,K,3,HOU,DAL,2,2,100,30,1,1,0.00,2010
16,Ryan Succop,K,3,KC,SF,1,2,50,32,4,4,0.00,2010
17,Connor Barth,K,3,TB,PIT,2,2,100,40,1,1,0.00,2010
18,Matt Prater,K,3,DEN,IND,2,2,100,34,1,1,0.00,2010
19,Nick Folk,K,3,NYJ,MIA,1,2,50,30,4,4,0.00,2010
20,Billy Cundiff,K,3,BAL,CLE,1,2,50,49,3,3,0.00,2010
21,Joe Nedney,K,3,SF,KC,1,1,100,51,1,1,0.00,2010
22,Ryan Longwell,K,3,MIN,DET,1,1,100,31,3,3,0.00,2010
23,Garrett Hartley,K,3,NO,ATL,1,2,50,32,3,3,0.00,2010
24,Jay Feely,K,3,ARI,OAK,1,1,100,42,3,3,0.00,2010
25,Phil Dawson,K,3,CLE,BAL,1,1,100,38,2,2,0.00,2010
26,Josh Scobee,K,3,JAX,PHI,1,1,100,51,0,0,0.00,2010
27,Mason Crosby,K,3,GB,CHI,1,2,50,38,2,2,0.00,2010
28,Jason Hanson,K,3,DET,MIN,1,2,50,33,1,1,0.00,2010
29,Lawrence Tynes,K,3,NYG,TEN,1,3,33,50,1,1,0.00,2010
30,David Akers,K,3,PHI,JAX,0,0,0,0,4,4,0.00,2010
31,Nate Kaeding,K,3,LAC,SEA,1,1,100,29,1,1,0.00,2010
32,John Kasay,K,3,CAR,CIN,0,0,0,0,1,1,0.00,2010
33,Rhys Lloyd,K,3,CAR,CIN,0,0,0,0,0,0,0.00,2010
34,Thomas Howard,K,3,OAK,ARI,0,0,0,0,0,0,0.00,2010
