Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Michael Vick,QB,3,PHI,JAX,17,31,55,291,9,3,0,119,4,30,8,1,32.64,2010
2,Philip Rivers,QB,3,LAC,SEA,29,53,55,455,9,2,2,80,1,2,2,0,29.40,2010
3,Peyton Manning,QB,3,IND,DEN,27,43,63,325,8,3,0,109,2,-1,-1,0,27.90,2010
4,Drew Brees,QB,3,NO,ATL,30,38,79,365,10,3,2,111,0,0,0,0,27.60,2010
5,Aaron Rodgers,QB,3,GB,CHI,34,45,76,316,7,1,1,92,2,20,10,1,26.64,2010
6,Kyle Orton,QB,3,DEN,IND,37,57,65,476,8,1,1,90,2,11,6,0,26.14,2010
7,Chad Henne,QB,3,MIA,NYJ,26,44,59,363,8,2,1,91,1,1,1,0,24.62,2010
8,Tom Brady,QB,3,NE,BUF,21,27,78,252,9,3,0,143,4,6,2,0,22.68,2010
9,Mark Sanchez,QB,3,NYJ,MIA,15,28,54,256,9,3,0,121,1,-1,-1,0,22.14,2010
10,Joe Flacco,QB,3,BAL,CLE,22,31,71,262,9,3,0,129,4,-4,-1,0,22.08,2010
11,Matt Cassel,QB,3,KC,SF,16,27,59,250,9,3,1,112,2,7,4,0,21.70,2010
12,Charlie Batch,QB,3,PIT,TB,12,17,71,186,11,3,2,107,5,26,5,0,20.04,2010
13,Matt Ryan,QB,3,ATL,NO,19,30,63,228,8,2,0,109,6,26,4,0,19.72,2010
14,Tony Romo,QB,3,DAL,HOU,23,30,77,284,10,2,0,128,1,-1,-1,0,19.26,2010
15,Ryan Fitzpatrick,QB,3,BUF,NE,20,28,71,247,9,2,2,92,3,18,6,0,17.68,2010
16,Eli Manning,QB,3,NYG,TEN,34,48,71,386,8,0,2,77,1,2,2,0,16.64,2010
17,Jay Cutler,QB,3,CHI,GB,16,27,59,221,8,1,1,82,3,37,12,0,15.54,2010
18,Donovan McNabb,QB,3,WAS,LAR,19,32,59,236,7,1,1,80,2,25,13,0,14.94,2010
19,Bruce Gradkowski,QB,3,OAK,ARI,17,34,50,255,8,1,1,73,4,13,3,0,14.50,2010
20,Sam Bradford,QB,3,LAR,WAS,23,37,62,235,6,1,1,78,1,2,2,0,12.60,2010
21,Matt Hasselbeck,QB,3,SEA,LAC,19,32,59,220,7,1,1,78,3,5,2,0,12.30,2010
22,Alex Smith,QB,3,SF,KC,23,42,55,232,6,1,1,69,0,0,0,0,12.28,2010
23,Derek Anderson,QB,3,ARI,OAK,12,26,46,122,5,2,1,70,0,0,0,0,11.88,2010
24,Shaun Hill,QB,3,DET,MIN,29,43,67,237,6,1,2,70,2,4,2,0,11.88,2010
25,Matt Schaub,QB,3,HOU,DAL,23,32,72,241,8,1,2,78,0,0,0,0,11.64,2010
26,Carson Palmer,QB,3,CIN,CAR,19,37,51,195,5,1,2,53,5,8,2,0,10.60,2010
27,Brett Favre,QB,3,MIN,DET,23,34,68,201,6,1,2,68,2,-2,-1,0,9.84,2010
28,Seneca Wallace,QB,3,CLE,BAL,18,24,75,141,6,1,0,103,1,0,0,0,9.64,2010
29,Vince Young,QB,3,TEN,NYG,10,16,63,118,7,1,0,106,3,6,2,0,9.32,2010
30,Josh Freeman,QB,3,TB,PIT,20,31,65,184,6,0,1,67,6,15,3,0,7.86,2010
31,David Garrard,QB,3,JAX,PHI,13,30,43,105,4,0,1,39,7,32,5,0,6.40,2010
32,Jimmy Clausen,QB,3,CAR,CIN,16,33,49,188,6,0,1,54,6,10,2,0,5.52,2010
33,Josh Johnson,QB,3,TB,PIT,6,6,100,67,11,0,0,113,1,7,7,0,3.38,2010
