Player,Position,Team,Opponent,Points
Russell Wilson,QB,SEA,IND,29.60
Jameis Winston,QB,TB,NYG,29.48
Andy Dalton,QB,CIN,CLE,29.34
Eli Manning,QB,NYG,TB,27.72
Alex Smith,QB,KC,WAS,27.32
Philip Rivers,QB,LAC,PHI,23.88
Dak Prescott,QB,DAL,LAR,23.58
Tom Brady,QB,NE,CAR,23.48
Aaron Rodgers,QB,GB,CHI,23.06
Kirk Cousins,QB,WAS,KC,20.60
Carson Palmer,QB,ARI,SF,20.38
Drew Brees,QB,NO,MIA,19.02
Jared Goff,QB,LAR,DAL,18.10
Marcus Mariota,QB,TEN,HOU,17.74
Carson Wentz,QB,PHI,LAC,15.08
Tyrod Taylor,QB,BUF,ATL,12.48
Blake Bortles,QB,JAX,NYJ,12.40
Jacoby Brissett,QB,IND,SEA,11.58
Ben Roethlisberger,QB,PIT,BAL,11.54
Matt Ryan,QB,ATL,BUF,11.48
Joe Flacco,QB,BAL,PIT,11.40
Trevor Siemian,QB,DEN,OAK,11.26
Matthew Stafford,QB,DET,MIN,10.06
Derek Carr,QB,OAK,DEN,9.72
Case Keenum,QB,MIN,DET,8.76
Mike Glennon,QB,CHI,GB,8.72
Brian Hoyer,QB,SF,ARI,8.66
Josh McCown,QB,NYJ,JAX,6.96
Jay Cutler,QB,MIA,NO,6.06
Deshone Kizer,QB,CLE,CIN,4.72
EJ Manuel,QB,OAK,DEN,3.24
Kevin Hogan,QB,CLE,CIN,2.60
Brett Hundley,QB,GB,CHI,0.00
Tom Savage,QB,HOU,TEN,0.00
Joe Webb,QB,BUF,ATL,0.00
AJ McCarron,QB,CIN,CLE,0.00
CJ Beathard,QB,SF,ARI,0.00
Matt Cassel,QB,TEN,HOU,-2.16
Tyrell Williams,WR,LAC,PHI,25.50
Jordy Nelson,WR,GB,CHI,23.50
Michael Thomas,WR,NO,MIA,22.90
Keenan Allen,WR,LAC,PHI,21.80
Jaron Brown,WR,ARI,SF,21.50
Will Fuller,WR,HOU,TEN,19.90
Mike Evans,WR,TB,NYG,17.70
Mike Wallace,WR,BAL,PIT,17.50
Kelvin Benjamin,WR,CAR,NE,17.40
AJ Green,WR,CIN,CLE,17.30
Cooper Kupp,WR,LAR,DAL,17.00
Chris Hogan,WR,NE,CAR,17.00
Danny Amendola,WR,NE,CAR,16.20
Terrelle Pryor,WR,WAS,KC,16.00
Odell Beckham Jr,WR,NYG,TB,16.00
Kendall Wright,WR,CHI,GB,15.10
Dez Bryant,WR,DAL,LAR,14.80
Stefon Diggs,WR,MIN,DET,14.80
Randall Cobb,WR,GB,CHI,14.40
Juju Smith-Schuster,WR,PIT,BAL,13.70
Johnny Holton,WR,OAK,DEN,13.40
Larry Fitzgerald,WR,ARI,SF,13.20
Tyler Lockett,WR,SEA,IND,13.10
Adam Humphries,WR,TB,NYG,13.00
Devante Parker,WR,MIA,NO,12.90
Donte Moncrief,WR,IND,SEA,12.00
Alshon Jeffery,WR,PHI,LAC,11.90
Ricardo Louis,WR,CLE,CIN,11.40
Albert Wilson,WR,KC,WAS,10.90
Brandon Marshall,WR,NYG,TB,10.60
Sterling Shepard,WR,NYG,TB,10.40
Jarvis Landry,WR,MIA,NO,10.00
Adam Thielen,WR,MIN,DET,9.90
Trent Taylor,WR,SF,ARI,9.70
Ryan Grant,WR,WAS,KC,9.60
Paul Richardson,WR,SEA,IND,9.50
Cordarrelle Patterson,WR,OAK,DEN,9.50
Deonte Thompson,WR,CHI,GB,9.40
Davante Adams,WR,GB,CHI,9.30
Brice Butler,WR,DAL,LAR,9.20
Justin Hardy,WR,ATL,BUF,9.20
Jordan Matthews,WR,BUF,ATL,9.00
Robby Anderson,WR,NYJ,JAX,8.90
Seth Roberts,WR,OAK,DEN,8.90
Nelson Agholor,WR,PHI,LAC,8.80
Bruce Ellington,WR,HOU,TEN,8.70
Jeremy Kerley,WR,NYJ,JAX,8.70
Doug Baldwin,WR,SEA,IND,8.50
Charles Clay,TE,BUF,ATL,19.20
Cameron Brate,TE,TB,NYG,18.00
AJ Derby,TE,DEN,OAK,17.50
OJ Howard,TE,TB,NYG,14.30
Zach Ertz,TE,PHI,LAC,13.10
Evan Engram,TE,NYG,TB,12.20
Rob Gronkowski,TE,NE,CAR,12.00
Vernon Davis,TE,WAS,KC,10.90
Jimmy Graham,TE,SEA,IND,10.10
Austin Hooper,TE,ATL,BUF,10.00
Martellus Bennett,TE,GB,CHI,9.90
James Hanna,TE,DAL,LAR,9.80
Hunter Henry,TE,LAC,PHI,9.60
Benjamin Watson,TE,BAL,PIT,9.30
Ed Dickson,TE,CAR,NE,9.20
Rhett Ellison,TE,NYG,TB,9.10
Austin Seferian-Jenkins,TE,NYJ,JAX,8.60
Nick Boyle,TE,BAL,PIT,8.60
Delanie Walker,TE,TEN,HOU,8.10
Darren Fells,TE,DET,MIN,8.00
Tyler Higbee,TE,LAR,DAL,7.70
Jack Doyle,TE,IND,SEA,7.70
Luke Willson,TE,SEA,IND,7.60
Jared Cook,TE,OAK,DEN,7.60
Jesse James,TE,PIT,BAL,7.00
Zach Miller,TE,CHI,GB,6.50
George Kittle,TE,SF,ARI,5.50
Kyle Rudolph,TE,MIN,DET,5.40
Levine Toilolo,TE,ATL,BUF,5.10
Jordan Reed,TE,WAS,KC,5.10
Julius Thomas,TE,MIA,NO,4.90
Stephen Anderson,TE,HOU,TEN,4.80
Antonio Gates,TE,LAC,PHI,4.80
Eric Ebron,TE,DET,MIN,4.70
Brandon Williams,TE,IND,SEA,4.20
Coby Fleener,TE,NO,MIA,4.10
Lee Smith,TE,OAK,DEN,3.50
Ryan Griffin,TE,HOU,TEN,3.30
Jermaine Gresham,TE,ARI,SF,3.20
David Njoku,TE,CLE,CIN,3.10
Ryan Hewitt,TE,CIN,CLE,2.60
Michael Roberts,TE,DET,MIN,2.50
Michael Hoomanawanui,TE,NO,MIA,2.30
Blake Bell,TE,MIN,DET,2.20
CJ Uzomah,TE,CIN,CLE,2.10
Jason Witten,TE,DAL,LAR,1.90
Dion Sims,TE,CHI,GB,1.80
Gerald Everett,TE,LAR,DAL,1.80
Bilal Powell,RB,NYJ,JAX,32.00
Ezekiel Elliott,RB,DAL,LAR,29.90
Lamar Miller,RB,HOU,TEN,29.10
Alvin Kamara,RB,NO,MIA,25.60
Leonard Fournette,RB,JAX,NYJ,24.50
Elijah McGuire,RB,NYJ,JAX,21.10
Duke Johnson,RB,CLE,CIN,21.00
Ameer Abdullah,RB,DET,MIN,19.90
LeGarrette Blount,RB,PHI,LAC,19.60
JD McKissic,RB,SEA,IND,19.50
Andre Ellington,RB,ARI,SF,19.40
Kareem Hunt,RB,KC,WAS,19.10
Tevin Coleman,RB,ATL,BUF,18.20
Wendell Smallwood,RB,PHI,LAC,17.90
Giovani Bernard,RB,CIN,CLE,16.90
Devonta Freeman,RB,ATL,BUF,15.80
James White,RB,NE,CAR,15.40
CJ Anderson,RB,DEN,OAK,15.20
Carlos Hyde,RB,SF,ARI,14.50
Jordan Howard,RB,CHI,GB,14.30
Austin Ekeler,RB,LAC,PHI,13.80
LeSean McCoy,RB,BUF,ATL,13.80
Dalvin Cook,RB,MIN,DET,13.40
Wayne Gallman,RB,NYG,TB,13.00
Jacquizz Rodgers,RB,TB,NYG,12.80
Fozzy Whittaker,RB,CAR,NE,12.40
Frank Gore,RB,IND,SEA,11.00
Aaron Jones,RB,GB,CHI,10.90
Javorius Allen,RB,BAL,PIT,10.40
Mark Ingram,RB,NO,MIA,10.20
Dion Lewis,RB,NE,CAR,9.70
Chris Carson,RB,SEA,IND,9.60
Chris Johnson,RB,ARI,SF,9.30
Christian McCaffrey,RB,CAR,NE,8.90
Tarik Cohen,RB,CHI,GB,8.80
Joe Mixon,RB,CIN,CLE,8.80
Charcandrick West,RB,KC,WAS,8.50
Alfred Morris,RB,DAL,LAR,7.60
Alex Collins,RB,BAL,PIT,7.20
Robert Turbin,RB,IND,SEA,6.80
Jay Ajayi,RB,MIA,NO,6.40
Jonathan Stewart,RB,CAR,NE,5.80
Jamaal Charles,RB,DEN,OAK,5.70
DeMarco Murray,RB,TEN,HOU,5.50
Chris Ivory,RB,JAX,NYJ,5.40
Kyle Juszczyk,FB,SF,ARI,5.30
Eddie Lacy,RB,SEA,IND,5.20
Mike Gillislee,RB,NE,CAR,4.90
Jake Elliott,K,PHI,LAC,0.00
Steven Hauschka,K,BUF,ATL,0.00
Robbie Gould,K,SF,ARI,0.00
Stephen Gostkowski,K,NE,CAR,0.00
Phil Dawson,K,ARI,SF,0.00
Chandler Catanzaro,K,NYJ,JAX,0.00
Harrison Butker,K,KC,WAS,0.00
Brandon McManus,K,DEN,OAK,0.00
Graham Gano,K,CAR,NE,0.00
Wil Lutz,K,NO,MIA,0.00
Jason Myers,K,JAX,NYJ,0.00
Chris Boswell,K,PIT,BAL,0.00
Blair Walsh,K,SEA,IND,0.00
Dustin Hopkins,K,WAS,KC,0.00
Randy Bullock,K,CIN,CLE,0.00
Nick Folk,K,TB,NYG,0.00
Dan Bailey,K,DAL,LAR,0.00
Matt Prater,K,DET,MIN,0.00
Younghoe Koo,K,LAC,PHI,0.00
Mason Crosby,K,GB,CHI,0.00
Matt Bryant,K,ATL,BUF,0.00
Aldrick Rosas,K,NYG,TB,0.00
Giorgio Tavecchio,K,OAK,DEN,0.00
Adam Vinatieri,K,IND,SEA,0.00
Justin Tucker,K,BAL,PIT,0.00
Connor Barth,K,CHI,GB,0.00
Ryan Succop,K,TEN,HOU,0.00
Kai Forbath,K,MIN,DET,0.00
Zane Gonzalez,K,CLE,CIN,0.00
Cody Parkey,K,MIA,NO,0.00
Michael Palardy,K,CAR,NE,0.00
New Orleans Saints,DST,NO,MIA,16.00
Jacksonville Jaguars,DST,JAX,NYJ,15.00
Buffalo Bills,DST,BUF,ATL,14.00
Pittsburgh Steelers,DST,PIT,BAL,14.00
Detroit Lions,DST,DET,MIN,12.00
