,Player,Position,Team,Opponent,Points,PlayerID
0,Matthew Stafford,QB,DET,DAL,31.72,00-0026498
1,Peyton Manning,QB,DEN,WAS,28.86,00-0010346
2,Colin Kaepernick,QB,SF,JAX,27.96,00-0027974
3,Cam Newton,QB,CAR,TB,27.84,00-0027939
4,Aaron Rodgers,QB,GB,MIN,22.5,00-0023459
5,Jason Campbell,QB,CLE,KC,21.42,00-0023460
6,Alex Smith,QB,KC,CLE,21.0,00-0023436
7,Tony Romo,QB,DAL,DET,20.84,00-0021678
8,Matt Ryan,QB,ATL,ARI,16.34,00-0026143
9,Christian Ponder,QB,MIN,GB,15.6,00-0027950
10,Mike Glennon,QB,TB,CAR,15.2,00-0030520
11,Russell Wilson,QB,SEA,LAR,15.16,00-0029263
12,Carson Palmer,QB,ARI,ATL,14.78,00-0021429
13,Ryan Tannehill,QB,MIA,NE,13.88,00-0029701
14,Chad Henne,QB,JAX,SF,13.22,00-0026197
15,Ben Roethlisberger,QB,PIT,OAK,13.1,00-0022924
16,Thaddeus Lewis,QB,BUF,NO,10.86,
17,Eli Manning,QB,NYG,PHI,9.74,00-0022803
18,Tom Brady,QB,NE,MIA,8.14,00-0019596
19,Robert Griffin III,QB,WAS,DEN,6.98,00-0029532
20,Kellen Clemens,QB,LA,SEA,5.42,00-0024264
21,Geno Smith,QB,NYJ,CIN,5.16,00-0030565
22,Matt Barkley,QB,PHI,NYG,4.32,00-0030533
23,Chris Simms,QB,NYJ,CIN,4.18,00-0022005
24,Josh Johnson,QB,CIN,NYJ,1.7,
25,Colt McCoy,QB,SF,JAX,0.52,00-0027688
26,Michael Vick,QB,PHI,NYG,0.3,
27,Kirk Cousins,QB,WAS,DEN,0.02,00-0029604
28,Luke McCown,QB,NO,BUF,0.0,00-0022864
29,Joe Webb,QB,MIN,GB,0.0,00-0027796
30,Jordy Nelson,WR,GB,MIN,34.3,00-0026176
31,Kenny Stills,WR,NO,BUF,31.3,00-0030085
32,Josh Gordon,WR,CLE,KC,27.2,00-0029664
33,Harry Douglas,WR,ATL,ARI,27.1,00-0026224
34,Golden Tate,WR,SEA,LAR,26.3,00-0027891
35,Emmanuel Sanders,WR,PIT,OAK,23.8,00-0027685
36,Dez Bryant,WR,DAL,DET,22.3,00-0027902
37,Terrelle Pryor,WR,OAK,PIT,21.12,00-0028825
38,Demaryius Thomas,WR,DEN,WAS,20.5,00-0027874
39,Steve Johnson,WR,BUF,NO,20.2,00-0026364
40,Wes Welker,WR,DEN,WAS,20.1,00-0022427
41,Drew Davis,WR,ATL,ARI,18.7,00-0028307
42,AJ Green,WR,CIN,NYJ,17.5,00-0027942
43,Antonio Brown,WR,PIT,OAK,17.4,00-0027793
44,Aaron Dobson,WR,NE,MIA,16.0,00-0030540
45,David Nelson,WR,NYJ,CIN,16.0,00-0027322
46,Victor Cruz,WR,NYG,PHI,15.6,00-0027265
47,Terrance Williams,WR,DAL,DET,14.9,00-0030542
48,Larry Fitzgerald,WR,ARI,ATL,14.8,00-0022921
49,Cecil Shorts,WR,JAX,SF,14.4,00-0028052
50,DeSean Jackson,WR,PHI,NYG,14.3,00-0026189
51,Jarrett Boykin,WR,GB,MIN,13.9,00-0029051
52,Mike Brown,WR,JAX,SF,13.3,
53,Ted Ginn,WR,CAR,TB,13.0,00-0025396
54,Vincent Jackson,WR,TB,CAR,12.9,00-0023496
55,Lance Moore,WR,NO,BUF,12.4,00-0023310
56,Hakeem Nicks,WR,NYG,PHI,12.1,00-0027005
57,Michael Floyd,WR,ARI,ATL,12.0,00-0029638
58,Pierre Garcon,WR,WAS,DEN,11.6,00-0026345
59,Chris Givens,WR,LA,SEA,11.5,
60,Cordarrelle Patterson,WR,MIN,GB,10.6,00-0030578
61,Anquan Boldin,WR,SF,JAX,9.6,00-0022084
62,Kris Durham,WR,DET,DAL,9.4,00-0028045
63,Marquise Goodwin,WR,BUF,NO,8.6,00-0030068
64,Rod Streater,WR,OAK,PIT,8.5,00-0029129
65,M White,WR,GB,MIN,8.5,
66,Jason Avant,WR,PHI,NYG,8.4,00-0024324
67,Eric Decker,WR,DEN,WAS,8.2,00-0027690
68,Steve Smith,WR,CAR,TB,8.2,
69,Darius Johnson,WR,ATL,ARI,8.0,00-0029778
70,Mike Wallace,WR,MIA,NE,7.9,00-0026901
71,Leonard Hankerson,WR,WAS,DEN,7.7,00-0028017
72,Tiquan Underwood,WR,TB,CAR,7.7,00-0027156
73,Brian Hartline,WR,MIA,NE,7.7,00-0027077
74,Brandon Gibson,WR,MIA,NE,7.4,00-0026937
75,Justin Blackmon,WR,JAX,SF,7.0,00-0029707
76,Jerricho Cotchery,WR,PIT,OAK,6.9,00-0022811
77,Donnie Avery,WR,KC,CLE,6.5,00-0026173
78,Tim Wright,TE,TB,CAR,15.8,
79,Vernon Davis,TE,SF,JAX,14.2,00-0024221
80,Scott Chandler,TE,BUF,NO,14.2,00-0025516
81,Jordan Cameron,TE,CLE,KC,12.1,00-0028040
82,Greg Olsen,TE,CAR,TB,11.1,00-0025418
83,Jermaine Gresham,TE,CIN,NYJ,9.4,00-0027873
84,Kyle Rudolph,TE,MIN,GB,9.1,00-0027981
85,Joel Dreessen,TE,DEN,WAS,8.9,00-0023630
86,Charles Clay,TE,MIA,NE,8.8,00-0028112
87,Benjamin Watson,TE,NO,BUF,7.5,00-0022943
88,Brandon Myers,TE,NYG,PHI,7.2,00-0027135
89,Jared Cook,TE,LA,SEA,6.1,00-0027061
90,Brandon Pettigrew,TE,DET,DAL,6.1,00-0026996
91,Julius Thomas,TE,DEN,WAS,5.9,00-0028067
92,Tony Gonzalez,TE,ATL,ARI,5.6,00-0006101
