Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Matt Bryant,K,9,ATL,TB,3,3,100,50,4,4,0.00,2016
2,Cairo Santos,K,9,KC,JAX,4,4,100,51,1,1,0.00,2016
3,Matt Prater,K,9,DET,MIN,3,3,100,58,1,1,0.00,2016
4,Josh Lambo,K,9,LAC,TEN,3,3,100,36,4,5,0.00,2016
5,Sebastian Janikowski,K,9,OAK,DEN,3,4,75,35,3,3,0.00,2016
6,Nick Folk,K,9,NYJ,MIA,3,3,100,28,2,2,0.00,2016
7,Caleb Sturgis,K,9,PHI,NYG,3,4,75,38,2,2,0.00,2016
8,Phil Dawson,K,9,SF,NO,3,3,100,49,2,2,0.00,2016
9,Wil Lutz,K,9,NO,SF,2,3,67,41,5,5,0.00,2016
10,Brandon McManus,K,9,DEN,OAK,2,2,100,55,2,2,0.00,2016
11,Andrew Franks,K,9,MIA,NYJ,2,2,100,33,3,3,0.00,2016
12,Mason Crosby,K,9,GB,IND,2,3,67,34,2,2,0.00,2016
13,Justin Tucker,K,9,BAL,PIT,2,2,100,49,1,1,0.00,2016
14,Graham Gano,K,9,CAR,LAR,2,3,67,38,1,1,0.00,2016
15,Adam Vinatieri,K,9,IND,GB,1,1,100,28,4,4,0.00,2016
16,Steven Hauschka,K,9,SEA,BUF,1,1,100,49,4,4,0.00,2016
17,Dan Bailey,K,9,DAL,CLE,0,0,0,0,5,5,0.00,2016
18,Ryan Succop,K,9,TEN,LAC,0,0,0,0,5,5,0.00,2016
19,Dan Carpenter,K,9,BUF,SEA,1,2,50,31,2,2,0.00,2016
20,Cody Parkey,K,9,CLE,DAL,1,2,50,31,1,1,0.00,2016
21,Robbie Gould,K,9,NYG,PHI,0,0,0,0,4,4,0.00,2016
22,Blair Walsh,K,9,MIN,DET,1,2,50,33,1,2,0.00,2016
23,Greg Zuerlein,K,9,LAR,CAR,1,3,33,25,1,1,0.00,2016
24,Roberto Aguayo,K,9,TB,ATL,0,0,0,0,2,2,0.00,2016
25,Chris Boswell,K,9,PIT,BAL,0,0,0,0,2,2,0.00,2016
26,Jason Myers,K,9,JAX,KC,0,1,0,0,2,2,0.00,2016
