Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Sebastian Janikowski,K,12,OAK,CHI,6,6,100,47,1,1,0.00,2011
2,Shayne Graham,K,12,MIA,DAL,4,5,80,28,1,1,0.00,2011
3,Rob Bironas,K,12,TEN,TB,3,4,75,52,2,2,0.00,2011
4,Mike Nugent,K,12,CIN,CLE,3,3,100,40,2,2,0.00,2011
5,Jay Feely,K,12,ARI,LAR,3,3,100,37,2,2,0.00,2011
6,Billy Cundiff,K,12,BAL,SF,3,3,100,39,1,1,0.00,2011
7,Phil Dawson,K,12,CLE,CIN,2,3,67,54,2,2,0.00,2011
8,Neil Rackers,K,12,HOU,JAX,2,2,100,53,2,2,0.00,2011
9,Robbie Gould,K,12,CHI,OAK,2,2,100,53,2,2,0.00,2011
10,Matt Prater,K,12,DEN,LAC,3,3,100,41,1,1,0.00,2011
11,Thomas Howard,K,12,CIN,CLE,0,0,0,0,0,0,0.00,2011
12,Mason Crosby,K,12,GB,DET,2,2,100,35,3,3,0.00,2011
13,Olindo Mare,K,12,CAR,IND,2,3,67,41,3,3,0.00,2011
14,Nick Novak,K,12,LAC,DEN,2,4,50,53,1,1,0.00,2011
15,Ryan Succop,K,12,KC,PIT,3,3,100,49,0,0,0.00,2011
16,Dan Bailey,K,12,DAL,MIA,2,2,100,32,2,2,0.00,2011
17,David Akers,K,12,SF,BAL,2,2,100,52,0,0,0.00,2011
18,Dave Rayner,K,12,BUF,NYJ,1,1,100,53,3,3,0.00,2011
19,Josh Brown,K,12,LAR,ARI,2,3,67,48,2,2,0.00,2011
20,Stephen Gostkowski,K,12,NE,PHI,1,2,50,45,5,5,0.00,2011
21,Alex Henery,K,12,PHI,NE,2,2,100,43,2,2,0.00,2011
22,Adam Vinatieri,K,12,IND,CAR,2,2,100,43,1,1,0.00,2011
23,Josh Scobee,K,12,JAX,HOU,2,3,67,35,1,1,0.00,2011
24,Shaun Suisham,K,12,PIT,KC,2,2,100,49,1,1,0.00,2011
25,John Kasay,K,12,NO,NYG,0,0,0,0,7,7,0.00,2011
26,Matt Bryant,K,12,ATL,MIN,1,1,100,37,3,3,0.00,2011
27,Lawrence Tynes,K,12,NYG,NO,1,2,50,42,3,3,0.00,2011
28,Connor Barth,K,12,TB,TEN,1,1,100,43,2,2,0.00,2011
29,Steven Hauschka,K,12,SEA,WAS,1,2,50,36,2,2,0.00,2011
30,Graham Gano,K,12,WAS,SEA,1,2,50,25,2,2,0.00,2011
31,DJ Smith,K,12,GB,DET,0,0,0,0,0,0,0.00,2011
32,Nick Folk,K,12,NYJ,BUF,0,0,0,0,4,4,0.00,2011
33,Ryan Longwell,K,12,MIN,ATL,0,0,0,0,2,2,0.00,2011
34,Jason Hanson,K,12,DET,GB,0,1,0,0,1,1,0.00,2011
