Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,DeAndre Hopkins,WR,6,HOU,JAX,15,10,67,148,2,29,10,15,0,0,0,0,0,39.80,2015
2,Martavis Bryant,WR,6,PIT,ARI,8,6,75,137,2,88,17,23,1,8,0,0,0,35.50,2015
3,Keenan Allen,WR,6,LAC,GB,15,14,93,157,0,38,11,11,0,0,0,0,0,32.70,2015
4,Alshon Jeffery,WR,6,CHI,DET,11,8,73,147,1,45,13,18,0,0,0,0,0,31.70,2015
5,Calvin Johnson,WR,6,DET,CHI,9,6,67,166,1,57,18,28,0,0,0,0,0,31.60,2015
6,John Brown,WR,6,ARI,PIT,14,10,71,196,0,45,14,20,0,0,0,1,1,31.60,2015
7,Steve Smith,WR,6,BAL,SF,10,7,70,137,1,34,14,20,0,0,0,0,0,29.70,2015
8,Brandon Marshall,WR,6,NYJ,WAS,9,7,78,111,1,35,12,16,0,0,0,1,1,26.10,2015
9,Lance Moore,WR,6,DET,CHI,6,5,83,106,1,42,18,21,0,0,0,0,0,24.60,2015
10,Marvin Jones,WR,6,CIN,BUF,12,9,75,95,1,42,8,11,0,0,0,0,0,24.50,2015
11,Demaryius Thomas,WR,6,DEN,CLE,17,10,59,111,0,20,7,11,0,0,0,0,0,24.10,2015
12,Emmanuel Sanders,WR,6,DEN,CLE,12,4,33,109,1,75,9,27,0,0,0,0,0,23.90,2015
13,Travis Benjamin,WR,6,CLE,DEN,13,9,69,117,0,47,9,13,0,0,0,0,0,23.70,2015
14,Stefon Diggs,WR,6,MIN,KC,9,7,78,129,0,31,14,18,0,0,0,0,0,22.90,2015
15,Allen Robinson,WR,6,JAX,HOU,12,6,50,86,1,25,7,14,0,0,0,0,0,20.60,2015
16,Danny Amendola,WR,6,NE,IND,9,7,78,105,0,35,12,15,0,0,0,0,0,20.50,2015
17,TY Hilton,WR,6,IND,NE,9,6,67,74,1,27,8,12,0,0,0,0,0,19.40,2015
18,Odell Beckham Jr,WR,6,NYG,PHI,8,7,88,61,1,17,8,9,0,0,0,0,0,19.10,2015
19,Donte Moncrief,WR,6,IND,NE,11,6,55,69,1,20,6,12,0,0,0,0,0,18.90,2015
20,Torrey Smith,WR,6,SF,BAL,6,3,50,96,1,76,16,32,0,0,0,0,0,18.60,2015
21,Anquan Boldin,WR,6,SF,BAL,9,5,56,102,0,51,11,20,0,0,0,0,0,18.20,2015
22,Larry Fitzgerald,WR,6,ARI,PIT,10,8,80,93,0,44,9,12,0,0,0,0,0,17.30,2015
23,Julian Edelman,WR,6,NE,IND,10,6,60,50,1,13,5,8,1,2,0,0,0,17.20,2015
24,Bryan Walters,WR,6,JAX,HOU,12,8,67,87,0,29,7,11,0,0,0,0,0,16.70,2015
25,Riley Cooper,WR,6,PHI,NYG,6,3,50,76,1,43,13,25,0,0,0,0,0,16.60,2015
26,Michael Floyd,WR,6,ARI,PIT,8,5,63,50,1,18,6,10,0,0,0,0,0,16.00,2015
27,Golden Tate,WR,6,DET,CHI,8,6,75,40,1,22,5,7,0,0,0,0,0,16.00,2015
28,Jarvis Landry,WR,6,MIA,TEN,4,3,75,42,0,19,11,14,2,24,1,0,0,15.60,2015
29,Julio Jones,WR,6,ATL,NO,10,6,60,93,0,30,9,16,0,0,0,0,0,15.30,2015
30,Eric Decker,WR,6,NYJ,WAS,7,4,57,59,1,35,8,15,0,0,0,1,1,14.90,2015
31,Sammy Watkins,WR,6,BUF,CIN,5,4,80,48,1,22,10,12,0,0,0,0,0,14.80,2015
32,Albert Wilson,WR,6,KC,MIN,6,3,50,57,1,42,10,19,0,0,0,0,0,14.70,2015
33,Malcom Floyd,WR,6,LAC,GB,12,5,42,95,0,50,8,19,0,0,0,0,0,14.50,2015
34,Rishard Matthews,WR,6,MIA,TEN,6,6,100,85,0,24,14,14,0,0,0,0,0,14.50,2015
35,Pierre Garcon,WR,6,WAS,NYJ,8,5,63,28,1,12,4,6,0,0,0,0,0,13.80,2015
36,Ricardo Lockette,WR,6,SEA,CAR,2,2,100,43,1,40,22,22,0,0,0,0,0,12.30,2015
37,Quinton Patton,WR,6,SF,BAL,3,2,67,38,1,21,13,19,0,0,0,0,0,11.80,2015
38,Roddy White,WR,6,ATL,NO,4,3,75,23,1,8,6,8,0,0,0,0,0,11.30,2015
39,Kamar Aiken,WR,6,BAL,SF,8,3,38,22,1,12,3,7,0,0,0,0,0,11.20,2015
40,Allen Hurns,WR,6,JAX,HOU,7,2,29,30,1,19,4,15,0,0,0,0,0,11.00,2015
41,James Jones,WR,6,GB,LAC,5,2,40,30,1,22,6,15,0,0,0,0,0,11.00,2015
42,Griff Whalen,WR,6,IND,NE,3,2,67,30,1,18,10,15,0,0,0,0,0,11.00,2015
43,Jordan Matthews,WR,6,PHI,NYG,11,6,55,59,0,19,5,10,0,0,0,1,1,10.90,2015
44,Dontrelle Inman,WR,6,LAC,GB,7,3,43,18,1,9,3,6,0,0,0,0,0,10.80,2015
45,Cecil Shorts,WR,6,HOU,JAX,6,4,67,63,0,31,11,16,0,0,0,0,0,10.30,2015
46,Jeff Janis,WR,6,GB,LAC,4,2,50,79,0,46,20,40,0,0,0,0,0,9.90,2015
47,Eddie Royal,WR,6,CHI,DET,7,5,71,49,0,30,7,10,0,0,0,1,0,9.90,2015
48,Willie Snead,WR,6,NO,ATL,5,4,80,55,0,24,11,14,0,0,0,0,0,9.50,2015
49,Rueben Randle,WR,6,NYG,PHI,6,5,83,44,0,15,7,9,0,0,0,0,0,9.40,2015
50,Miles Austin,WR,6,PHI,NYG,3,3,100,60,0,37,20,20,0,0,0,0,0,9.00,2015
