Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Miami Dolphins,DST,6,MIA,TEN,6,6,8,2,2,0,1,0,10,24.00,2015
2,Philadelphia Eagles,DST,6,PHI,NYG,8,3,5,2,1,0,1,0,7,19.00,2015
3,New Orleans Saints,DST,6,NO,ATL,5,5,8,0,3,0,0,1,21,19.00,2015
4,Denver Broncos,DST,6,DEN,CLE,5,4,9,2,1,0,1,0,23,17.00,2015
5,Houston Texans,DST,6,HOU,JAX,3,3,8,3,0,0,1,0,20,16.00,2015
6,Cleveland Browns,DST,6,CLE,DEN,2,0,2,3,0,0,1,0,26,13.00,2015
7,Washington Redskins,DST,6,WAS,NYJ,5,0,4,1,2,0,0,1,34,11.00,2015
8,Pittsburgh Steelers,DST,6,PIT,ARI,6,1,5,2,1,0,0,0,13,11.00,2015
9,Indianapolis Colts,DST,6,IND,NE,0,2,6,1,0,0,1,0,34,9.00,2015
10,New York Giants,DST,6,NYG,PHI,3,1,3,3,1,0,0,0,27,9.00,2015
11,Minnesota Vikings,DST,6,MIN,KC,3,2,4,0,1,0,0,0,10,8.00,2015
12,Kansas City Chiefs,DST,6,KC,MIN,9,2,3,2,0,0,0,0,16,7.00,2015
13,Seattle Seahawks,DST,6,SEA,CAR,4,3,6,2,0,0,0,0,27,7.00,2015
14,Chicago Bears,DST,6,CHI,DET,3,2,8,1,3,0,0,0,37,6.00,2015
15,New York Jets,DST,6,NYJ,WAS,4,1,7,2,0,0,0,0,20,6.00,2015
16,Green Bay Packers,DST,6,GB,LAC,7,3,13,0,1,0,0,0,20,6.00,2015
17,Arizona Cardinals,DST,6,ARI,PIT,8,1,2,0,2,0,0,0,25,5.00,2015
18,Tennessee Titans,DST,6,TEN,MIA,4,2,3,2,0,0,0,0,38,5.00,2015
19,San Francisco 49ers,DST,6,SF,BAL,3,0,1,2,0,0,0,0,20,5.00,2015
20,New England Patriots,DST,6,NE,IND,1,3,10,0,0,0,0,0,27,5.00,2015
21,Cincinnati Bengals,DST,6,CIN,BUF,3,2,7,1,0,0,0,0,21,4.00,2015
22,Carolina Panthers,DST,6,CAR,SEA,5,4,7,0,0,0,0,0,23,4.00,2015
23,Los Angeles Chargers,DST,6,LAC,GB,5,3,5,0,0,0,0,0,27,3.00,2015
24,Baltimore Ravens,DST,6,BAL,SF,4,3,7,0,0,0,0,0,25,3.00,2015
25,Detroit Lions,DST,6,DET,CHI,3,1,7,1,0,0,0,0,34,2.00,2015
26,Jacksonville Jaguars,DST,6,JAX,HOU,4,1,5,0,0,0,0,0,31,1.00,2015
27,Atlanta Falcons,DST,6,ATL,NO,3,1,4,0,0,0,0,0,31,0.00,2015
28,Buffalo Bills,DST,6,BUF,CIN,3,0,1,0,0,0,0,0,34,-1.00,2015
