Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Zach Ertz,TE,14,PHI,WAS,13,10,77,112,0,29,9,11,0,0,0,0,0,24.20,2016
2,Tyler Eifert,TE,14,CIN,CLE,6,5,83,48,2,14,8,10,0,0,0,0,0,21.80,2016
3,Travis Kelce,TE,14,KC,OAK,8,5,63,101,0,34,13,20,0,0,0,0,0,18.10,2016
4,Martellus Bennett,TE,14,NE,BAL,4,4,100,70,1,27,18,18,0,0,0,0,0,17.00,2016
5,Kyle Rudolph,TE,14,MIN,JAX,8,4,50,60,1,44,8,15,0,0,0,0,0,16.00,2016
6,Charles Clay,TE,14,BUF,PIT,6,3,50,52,1,40,9,17,0,0,0,0,0,14.20,2016
7,Trey Burton,TE,14,PHI,WAS,10,7,70,65,0,16,7,9,0,0,0,0,0,13.50,2016
8,Greg Olsen,TE,14,CAR,LAC,7,4,57,87,0,36,12,22,0,0,0,0,0,12.70,2016
9,Antonio Gates,TE,14,LAC,CAR,9,5,56,61,0,27,7,12,0,0,0,0,0,11.10,2016
10,Jack Doyle,TE,14,IND,HOU,6,5,83,55,0,15,9,11,0,0,0,0,0,10.50,2016
11,AJ Derby,TE,14,DEN,TEN,5,5,100,57,0,17,11,11,0,0,0,1,1,9.70,2016
12,Jermaine Gresham,TE,14,ARI,MIA,7,5,71,45,0,14,6,9,0,0,0,0,0,9.50,2016
13,Hunter Henry,TE,14,LAC,CAR,5,2,40,13,1,9,3,7,0,0,0,0,0,9.30,2016
14,Dion Sims,TE,14,MIA,ARI,2,2,100,9,1,7,5,5,0,0,0,0,0,8.90,2016
15,Cameron Brate,TE,14,TB,NO,5,4,80,47,0,18,9,12,0,0,0,0,0,8.70,2016
16,Eric Ebron,TE,14,DET,CHI,5,4,80,32,0,14,6,8,0,0,0,0,0,7.20,2016
17,Jason Witten,TE,14,DAL,NYG,7,4,57,26,0,13,4,7,0,0,0,0,0,6.60,2016
18,Austin Seferian-Jenkins,TE,14,NYJ,SF,3,3,100,35,0,14,12,12,0,0,0,0,0,6.50,2016
19,CJ Fiedorowicz,TE,14,HOU,IND,7,3,43,32,0,20,5,11,0,0,0,0,0,6.20,2016
20,Delanie Walker,TE,14,TEN,DEN,7,2,29,30,0,23,4,15,1,8,0,0,0,5.80,2016
21,Dennis Pitta,TE,14,BAL,NE,5,4,80,18,0,10,4,5,0,0,0,0,0,5.80,2016
22,Gary Barnidge,TE,14,CLE,CIN,5,3,60,27,0,13,5,9,0,0,0,0,0,5.70,2016
23,Mychal Rivera,TE,14,OAK,KC,5,3,60,26,0,14,5,9,0,0,0,0,0,5.60,2016
24,Ladarius Green,TE,14,PIT,BUF,6,2,33,25,0,18,4,13,0,0,0,0,0,4.50,2016
25,Nick Boyle,TE,14,BAL,NE,3,3,100,15,0,7,5,5,0,0,0,0,0,4.50,2016
