Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Andre Johnson,WR,14,HOU,BAL,14,9,64,140,2,46,10,16,0,0,0,0,0,38.00,2010
2,DeSean Jackson,WR,14,PHI,DAL,8,4,50,210,1,91,26,53,2,6,0,0,0,34.60,2010
3,Deion Branch,WR,14,NE,CHI,10,8,80,151,1,59,15,19,0,0,0,0,0,32.10,2010
4,Pierre Garcon,WR,14,IND,TEN,7,6,86,93,2,43,13,16,0,0,0,0,0,27.30,2010
5,Derrick Mason,WR,14,BAL,HOU,10,6,60,78,2,26,8,13,0,0,0,0,0,25.80,2010
6,Wes Welker,WR,14,NE,CHI,13,8,62,115,0,24,9,14,0,0,0,0,0,22.50,2010
7,Hines Ward,WR,14,PIT,CIN,10,8,80,115,0,29,12,14,0,0,0,0,0,22.50,2010
8,Marques Colston,WR,14,NO,LAR,13,5,39,46,2,17,4,9,0,0,0,0,0,21.60,2010
9,Santana Moss,WR,14,WAS,TB,10,7,70,82,1,22,8,12,0,0,0,0,0,21.20,2010
10,Malcom Floyd,WR,14,LAC,KC,6,4,67,51,2,18,9,13,0,0,0,1,0,21.10,2010
11,Arrelious Benn,WR,14,TB,WAS,4,4,100,122,0,64,31,31,1,17,0,0,0,20.90,2010
12,Jacoby Jones,WR,14,HOU,BAL,9,5,56,52,1,26,6,10,0,0,0,0,0,18.20,2010
13,Lance Moore,WR,14,NO,LAR,6,5,83,70,1,31,12,14,0,0,0,0,0,18.00,2010
14,Louis Murphy,WR,14,OAK,JAX,11,6,55,59,1,15,5,10,0,0,0,0,0,17.90,2010
15,Reggie Wayne,WR,14,IND,TEN,7,4,57,106,0,50,15,27,0,0,0,0,0,17.60,2010
16,Ruvell Martin,WR,14,SEA,SF,6,4,67,73,1,36,12,18,0,0,0,0,0,17.30,2010
17,Josh Morgan,WR,14,SF,SEA,3,3,100,82,1,46,27,27,0,0,0,0,0,17.20,2010
18,Hakeem Nicks,WR,14,NYG,MIN,9,7,78,96,0,30,11,14,0,0,0,0,0,16.60,2010
19,Roddy White,WR,14,ATL,CAR,14,8,57,79,0,18,6,10,0,0,0,0,0,15.90,2010
20,Mike Wallace,WR,14,PIT,CIN,9,5,56,78,0,33,9,16,1,12,0,0,0,14.00,2010
21,Larry Fitzgerald,WR,14,ARI,DEN,11,6,55,72,0,25,7,12,0,0,0,0,0,13.20,2010
22,Chad Johnson,WR,14,CIN,PIT,9,6,67,71,0,16,8,12,0,0,0,0,0,13.10,2010
23,Blair White,WR,14,IND,TEN,8,7,88,52,0,20,7,7,0,0,0,1,0,12.20,2010
24,Brandon Gibson,WR,14,LAR,NO,7,4,57,67,0,32,10,17,1,13,0,0,0,12.00,2010
