,Player,Position,Team,Opponent,Points,PlayerID
0,Aaron Rodgers,QB,GB,LAR,28.68,00-0023459
1,Robert Griffin III,QB,WAS,NYG,25.22,00-0029532
2,Carson Palmer,QB,OAK,JAX,21.32,00-0021429
3,Ryan Fitzpatrick,QB,BUF,TEN,21.3,00-0023682
4,Andrew Luck,QB,IND,CLE,19.64,00-0029668
5,Brandon Weeden,QB,CLE,IND,18.96,00-0029677
6,Eli Manning,QB,NYG,WAS,18.88,00-0022803
7,Tom Brady,QB,NE,NYJ,18.36,00-0019596
8,Cam Newton,QB,CAR,DAL,18.32,00-0027939
9,Mark Sanchez,QB,NYJ,NE,18.12,00-0026898
10,Matt Schaub,QB,HOU,BAL,18.04,00-0022787
11,Matthew Stafford,QB,DET,CHI,15.62,00-0026498
12,Ben Roethlisberger,QB,PIT,CIN,15.02,00-0022924
13,Tony Romo,QB,DAL,CAR,14.18,00-0021678
14,Jay Cutler,QB,CHI,DET,13.4,00-0024226
15,Sam Bradford,QB,LA,GB,13.2,00-0027854
16,John Skelton,QB,ARI,MIN,12.48,00-0027754
17,Matt Hasselbeck,QB,TEN,BUF,12.0,00-0007091
18,Alex Smith,QB,SF,SEA,9.7,00-0023436
19,Joe Flacco,QB,BAL,HOU,8.58,00-0026158
20,Blaine Gabbert,QB,JAX,OAK,8.4,00-0027948
21,Andy Dalton,QB,CIN,PIT,7.1,00-0027973
22,Russell Wilson,QB,SEA,SF,4.88,00-0029263
23,Christian Ponder,QB,MIN,ARI,4.52,00-0027950
24,Chad Henne,QB,JAX,OAK,3.24,00-0026197
25,Tim Tebow,QB,NYJ,NE,1.2,00-0027876
26,Jason Campbell,QB,CHI,DET,0.5,00-0023460
27,Chase Daniel,QB,NO,TB,0.0,00-0026544
28,Colin Kaepernick,QB,SF,SEA,-0.1,00-0027974
29,Jordy Nelson,WR,GB,LAR,29.2,00-0026176
30,Victor Cruz,WR,NYG,WAS,29.1,00-0027265
31,Andre Roberts,WR,ARI,MIN,26.3,00-0027691
32,Lance Moore,WR,NO,TB,24.1,00-0023310
33,Jeremy Kerley,WR,NYJ,NE,22.2,00-0028091
34,Santana Moss,WR,WAS,NYG,20.7,00-0020494
35,Marques Colston,WR,NO,TB,20.3,00-0024466
36,Brandon Marshall,WR,CHI,DET,20.1,00-0024334
37,Miles Austin,WR,DAL,CAR,19.7,00-0023921
38,Steve Johnson,WR,BUF,TEN,18.1,00-0026364
39,Antonio Brown,WR,PIT,CIN,17.9,00-0027793
40,Andre Johnson,WR,HOU,BAL,17.6,00-0022044
41,Kevin Walter,WR,HOU,BAL,17.4,00-0021931
42,Greg Little,WR,CLE,IND,17.2,00-0027997
43,Cecil Shorts,WR,JAX,OAK,16.9,00-0028052
44,Nate Washington,WR,TEN,BUF,16.3,00-0023367
45,Brandon LaFell,WR,CAR,DAL,15.3,00-0027681
46,Steve Smith,WR,CAR,DAL,15.3,
47,Donald Jones,WR,BUF,TEN,14.7,00-0027518
48,Percy Harvin,WR,MIN,ARI,14.7,00-0026998
49,Ryan Broyles,WR,DET,CHI,14.1,00-0029209
50,Titus Young,WR,DET,CHI,14.1,00-0027982
51,Josh Gordon,WR,CLE,IND,13.9,00-0029664
52,Mike Wallace,WR,PIT,CIN,13.9,00-0026901
53,Denarius Moore,WR,OAK,JAX,13.6,00-0028086
54,Reggie Wayne,WR,IND,CLE,13.3,00-0020498
55,Leonard Hankerson,WR,WAS,NYG,13.0,00-0028017
56,Wes Welker,WR,NE,NYJ,12.6,00-0022427
57,Darrius Heyward-Bey,WR,OAK,JAX,12.5,00-0026983
58,Joseph Morgan,WR,NO,TB,11.8,00-0028532
59,Chris Givens,WR,LA,GB,11.7,
60,Tiquan Underwood,WR,TB,NO,11.5,00-0027156
61,James Jones,WR,GB,LAR,11.3,00-0025465
62,Brandon Gibson,WR,LA,GB,11.0,00-0026937
63,Devery Henderson,WR,NO,TB,10.5,00-0022929
64,Hakeem Nicks,WR,NYG,WAS,10.3,00-0027005
65,Austin Pettis,WR,LA,GB,9.7,00-0028016
66,Stephen Hill,WR,NYJ,NE,9.5,00-0028995
67,Josh Cooper,WR,CLE,IND,9.3,00-0028930
68,Donnie Avery,WR,IND,CLE,8.6,00-0026173
69,Tandon Doss,WR,BAL,HOU,8.5,00-0028061
70,Torrey Smith,WR,BAL,HOU,8.1,00-0027996
71,Ben Obomanu,WR,SEA,SF,8.0,00-0024463
72,AJ Green,WR,CIN,PIT,7.8,00-0027942
73,Louis Murphy,WR,CAR,DAL,7.8,00-0027089
74,Brad Smith,WR,BUF,TEN,7.7,00-0024318
75,Mike Williams,WR,TB,NO,7.6,00-0033536
76,Ryan Whalen,WR,CIN,PIT,7.1,00-0028105
77,Heath Miller,TE,PIT,CIN,19.3,00-0023465
