Player,Position,Team,Opponent,Points
Aaron Rodgers,QB,GB,LAR,28.68
Robert Griffin III,QB,WAS,NYG,25.22
Carson Palmer,QB,OAK,JAX,21.32
Ryan Fitzpatrick,QB,BUF,TEN,21.30
Andrew Luck,QB,IND,CLE,19.64
Brandon Weeden,QB,CLE,IND,18.96
Eli Manning,QB,NYG,WAS,18.88
Tom Brady,QB,NE,NYJ,18.36
Cam Newton,QB,CAR,DAL,18.32
Mark Sanchez,QB,NYJ,NE,18.12
Matt Schaub,QB,HOU,BAL,18.04
Matthew Stafford,QB,DET,CHI,15.62
Ben Roethlisberger,QB,PIT,CIN,15.02
Tony Romo,QB,DAL,CAR,14.18
Jay Cutler,QB,CHI,DET,13.40
Sam Bradford,QB,LAR,GB,13.20
John Skelton,QB,ARI,MIN,12.48
Matt Hasselbeck,QB,TEN,BUF,12.00
Alex Smith,QB,SF,SEA,9.70
Joe Flacco,QB,BAL,HOU,8.58
Blaine Gabbert,QB,JAX,OAK,8.40
Andy Dalton,QB,CIN,PIT,7.10
Russell Wilson,QB,SEA,SF,4.88
Christian Ponder,QB,MIN,ARI,4.52
Chad Henne,QB,JAX,OAK,3.24
Tim Tebow,QB,NYJ,NE,1.20
Jason Campbell,QB,CHI,DET,0.50
Chase Daniel,QB,NO,TB,0.00
Colin Kaepernick,QB,SF,SEA,-0.10
Jordy Nelson,WR,GB,LAR,29.20
Victor Cruz,WR,NYG,WAS,29.10
Andre Roberts,WR,ARI,MIN,26.30
Lance Moore,WR,NO,TB,24.10
Jeremy Kerley,WR,NYJ,NE,22.20
Santana Moss,WR,WAS,NYG,20.70
Marques Colston,WR,NO,TB,20.30
Brandon Marshall,WR,CHI,DET,20.10
Miles Austin,WR,DAL,CAR,19.70
Steve Johnson,WR,BUF,TEN,18.10
Antonio Brown,WR,PIT,CIN,17.90
Andre Johnson,WR,HOU,BAL,17.60
Kevin Walter,WR,HOU,BAL,17.40
Greg Little,WR,CLE,IND,17.20
Cecil Shorts,WR,JAX,OAK,16.90
Nate Washington,WR,TEN,BUF,16.30
Brandon LaFell,WR,CAR,DAL,15.30
