Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,David Akers,K,13,SF,LAR,4,4,100,36,2,2,0.00,2011
2,Connor Barth,K,13,TB,CAR,4,4,100,50,1,1,0.00,2011
3,Graham Gano,K,13,WAS,NYJ,4,4,100,46,1,1,0.00,2011
4,Nick Folk,K,13,NYJ,WAS,2,3,67,51,4,4,0.00,2011
5,Ryan Longwell,K,13,MIN,DEN,3,3,100,40,3,3,0.00,2011
6,Rob Bironas,K,13,TEN,BUF,3,3,100,48,2,2,0.00,2011
7,Dan Carpenter,K,13,MIA,OAK,2,2,100,48,4,4,0.00,2011
8,Thomas Howard,K,13,CIN,PIT,0,0,0,0,0,0,0.00,2011
9,Matt Prater,K,13,DEN,MIN,2,2,100,46,3,3,0.00,2011
10,Lawrence Tynes,K,13,NYG,GB,2,2,100,50,3,3,0.00,2011
11,Olindo Mare,K,13,CAR,TB,1,1,100,43,5,5,0.00,2011
12,Mason Crosby,K,13,GB,NYG,1,2,50,31,5,5,0.00,2011
13,Nick Novak,K,13,LAC,JAX,1,1,100,29,5,5,0.00,2011
14,Steven Hauschka,K,13,SEA,PHI,1,1,100,49,4,4,0.00,2011
15,John Kasay,K,13,NO,DET,1,1,100,39,4,4,0.00,2011
16,Dan Bailey,K,13,DAL,ARI,2,4,50,50,1,1,0.00,2011
17,Jay Feely,K,13,ARI,DAL,2,2,100,48,1,1,0.00,2011
18,DJ Smith,K,13,GB,NYG,0,0,0,0,0,0,0.00,2011
19,Stephen Gostkowski,K,13,NE,IND,1,1,100,39,4,4,0.00,2011
20,Billy Cundiff,K,13,BAL,CLE,1,3,33,21,3,3,0.00,2011
21,Adam Vinatieri,K,13,IND,NE,1,1,100,31,3,3,0.00,2011
22,Dave Rayner,K,13,BUF,TEN,1,1,100,27,2,2,0.00,2011
23,Neil Rackers,K,13,HOU,ATL,1,2,50,43,2,2,0.00,2011
24,Jason Hanson,K,13,DET,NO,1,3,33,31,2,2,0.00,2011
25,Shaun Suisham,K,13,PIT,CIN,0,1,0,0,5,5,0.00,2011
26,Ryan Succop,K,13,KC,CHI,1,1,100,21,1,1,0.00,2011
27,Phil Dawson,K,13,CLE,BAL,1,1,100,21,1,1,0.00,2011
28,Matt Bryant,K,13,ATL,HOU,1,1,100,19,1,1,0.00,2011
29,Robbie Gould,K,13,CHI,KC,1,2,50,32,0,0,0.00,2011
30,Alex Henery,K,13,PHI,SEA,0,0,0,0,2,2,0.00,2011
31,Sebastian Janikowski,K,13,OAK,MIA,0,0,0,0,2,2,0.00,2011
32,Josh Scobee,K,13,JAX,LAC,0,0,0,0,2,2,0.00,2011
33,Mike Nugent,K,13,CIN,PIT,0,1,0,0,1,1,0.00,2011
34,Josh Brown,K,13,LAR,SF,0,0,0,0,0,0,0.00,2011
