,Player,Position,Team,Opponent,Points,PlayerID
0,Drew Brees,QB,NO,DET,24.98,00-0020531
1,Aaron Rodgers,QB,GB,CAR,24.3,00-0023459
2,Andrew Luck,QB,IND,CIN,24.26,00-0029668
3,Ryan Tannehill,QB,MIA,CHI,23.88,00-0029701
4,Eli Manning,QB,NYG,DAL,23.02,00-0022803
5,Tony Romo,QB,DAL,NYG,22.66,00-0021678
6,Tom Brady,QB,NE,NYJ,22.44,00-0019596
7,Ryan Fitzpatrick,QB,HOU,PIT,19.08,00-0023682
8,Matthew Stafford,QB,DET,NO,18.06,00-0026498
9,Ben Roethlisberger,QB,PIT,HOU,17.9,00-0022924
10,Kyle Orton,QB,BUF,MIN,17.22,00-0023541
11,Carson Palmer,QB,ARI,OAK,17.12,00-0021429
12,Geno Smith,QB,NYJ,NE,16.74,00-0030565
13,Joe Flacco,QB,BAL,ATL,16.72,00-0026158
14,Alex Smith,QB,KC,LAC,15.74,00-0023436
15,Colin Kaepernick,QB,SF,DEN,15.32,00-0027974
16,Cam Newton,QB,CAR,GB,15.3,00-0027939
17,Philip Rivers,QB,LAC,KC,15.2,00-0022942
18,Charlie Whitehurst,QB,TEN,WAS,14.4,00-0024296
19,Austin Davis,QB,LA,SEA,14.0,00-0028957
20,Matt Ryan,QB,ATL,BAL,12.82,00-0026143
21,Blake Bortles,QB,JAX,CLE,11.06,00-0031407
22,Jay Cutler,QB,CHI,MIA,9.9,00-0024226
23,Colt McCoy,QB,WAS,TEN,9.42,00-0027688
24,Teddy Bridgewater,QB,MIN,BUF,8.98,00-0031237
25,Derek Carr,QB,OAK,ARI,7.12,00-0031280
26,Brian Hoyer,QB,CLE,JAX,6.5,00-0026625
27,Blaine Gabbert,QB,SF,DEN,6.02,00-0027948
28,Derek Anderson,QB,CAR,GB,5.72,00-0023645
29,Andy Dalton,QB,CIN,IND,5.04,00-0027973
30,Kirk Cousins,QB,WAS,TEN,3.56,00-0029604
31,Michael Vick,QB,NYJ,NE,0.6,
32,Brock Osweiler,QB,DEN,SF,0.0,00-0029682
33,Luke McCown,QB,NO,DET,0.0,00-0022864
34,Matt Schaub,QB,OAK,ARI,0.0,00-0022787
35,Brandon Weeden,QB,DAL,NYG,0.0,00-0029677
36,Matt Flynn,QB,GB,CAR,-0.3,00-0026349
37,Golden Tate,WR,DET,NO,34.4,00-0027891
38,Doug Baldwin,WR,SEA,LAR,28.3,00-0028434
39,Roddy White,WR,ATL,BAL,28.0,00-0023462
40,Randall Cobb,WR,GB,CAR,27.3,00-0028002
41,Dez Bryant,WR,DAL,NYG,27.1,00-0027902
42,Kenny Stills,WR,NO,DET,24.3,00-0030085
43,Antonio Brown,WR,PIT,HOU,22.12,00-0027793
44,Odell Beckham Jr,WR,NYG,DAL,20.7,00-0031235
45,TY Hilton,WR,IND,CIN,20.7,00-0029608
46,Marques Colston,WR,NO,DET,20.1,00-0024466
47,Andrew Hawkins,WR,CLE,JAX,20.0,00-0027918
48,Pierre Garcon,WR,WAS,TEN,19.7,00-0026345
49,Steve Johnson,WR,SF,DEN,18.9,00-0026364
50,Kendall Wright,WR,TEN,WAS,18.8,00-0029708
51,DeAndre Hopkins,WR,HOU,PIT,18.8,00-0030564
52,Jordy Nelson,WR,GB,CAR,18.0,00-0026176
53,Torrey Smith,WR,BAL,ATL,17.1,00-0027996
54,Allen Robinson,WR,JAX,CLE,16.0,00-0031428
55,Mike Wallace,WR,MIA,CHI,16.0,00-0026901
56,Kelvin Benjamin,WR,CAR,GB,15.1,00-0031359
57,Wes Welker,WR,DEN,SF,14.0,00-0022427
58,Michael Floyd,WR,ARI,OAK,13.7,00-0029638
59,Greg Jennings,WR,MIN,BUF,13.7,00-0024267
60,Corey Fuller,WR,DET,NO,13.4,00-0030095
61,Bruce Ellington,WR,SF,DEN,13.4,00-0031326
62,Dwayne Bowe,WR,KC,LAC,13.4,00-0025410
63,Rueben Randle,WR,NYG,DAL,13.4,00-0029262
64,Emmanuel Sanders,WR,DEN,SF,13.1,00-0027685
65,Andre Johnson,WR,HOU,PIT,12.7,00-0022044
66,Derek Hagan,WR,TEN,WAS,12.5,00-0024297
67,Martavis Bryant,WR,PIT,HOU,12.0,00-0031373
68,Anquan Boldin,WR,SF,DEN,12.0,00-0022084
69,Keenan Allen,WR,LAC,KC,11.8,00-0030279
70,Brenton Bersin,WR,CAR,GB,11.1,00-0029394
71,Brandon Marshall,WR,CHI,MIA,10.8,00-0024334
72,Julio Jones,WR,ATL,BAL,10.6,00-0027944
73,Eric Decker,WR,NYJ,NE,10.5,00-0027690
74,Chris Hogan,WR,BUF,MIN,10.3,00-0028237
75,Jarius Wright,WR,MIN,BUF,10.0,00-0029572
76,Steve Smith,WR,BAL,ATL,9.7,
77,Brandon LaFell,WR,NE,NYJ,9.5,00-0027681
78,Brandon Lloyd,WR,SF,DEN,9.3,00-0022097
79,Lance Moore,WR,PIT,HOU,9.2,00-0023310
80,Cordarrelle Patterson,WR,MIN,BUF,9.2,00-0030578
81,Julian Edelman,WR,NE,NYJ,9.2,00-0027150
82,Davante Adams,WR,GB,CAR,9.1,00-0031381
83,Danny Amendola,WR,NE,NYJ,8.9,00-0026035
84,Terrance Williams,WR,DAL,NYG,8.8,00-0030542
85,Owen Daniels,TE,BAL,ATL,17.8,00-0024313
86,Charles Clay,TE,MIA,CHI,15.8,00-0028112
87,Cooper Helfet,TE,SEA,LAR,15.1,00-0029534
88,Antonio Gates,TE,LAC,KC,15.1,00-0021547
89,Jermaine Gresham,TE,CIN,IND,14.8,00-0027873
90,Dwayne Allen,TE,IND,CIN,14.2,00-0029689
91,Jeff Cumberland,TE,NYJ,NE,14.0,00-0027321
92,Larry Donnell,TE,NYG,DAL,14.0,00-0028838
93,Rob Gronkowski,TE,NE,NYJ,11.8,00-0027656
94,Martellus Bennett,TE,CHI,MIA,10.8,00-0026201
95,Coby Fleener,TE,IND,CIN,10.4,00-0029697
