Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Todd Gurley,RB,8,LAR,SF,20,133,7,1,3,3,13,0,0,0,26.60,2015
2,Dion Lewis,RB,8,NE,MIA,5,19,4,0,9,6,93,1,0,0,23.20,2015
3,Charcandrick West,RB,8,KC,DET,20,97,5,1,6,4,25,0,0,0,22.20,2015
4,CJ Anderson,RB,8,DEN,GB,14,101,7,1,1,1,5,0,0,0,20.60,2015
5,Shane Vereen,RB,8,NYG,NO,2,3,2,0,9,8,60,1,0,0,20.30,2015
6,Devonta Freeman,RB,8,ATL,TB,21,88,4,0,8,6,43,0,0,0,19.10,2015
7,Ronnie Hillman,RB,8,DEN,GB,19,60,3,2,2,1,-5,0,0,0,18.50,2015
8,Darren McFadden,RB,8,DAL,SEA,20,64,3,0,8,6,49,0,1,0,17.30,2015
9,Mark Ingram,RB,8,NO,NYG,16,80,5,0,5,4,39,0,0,0,15.90,2015
10,Latavius Murray,RB,8,OAK,NYJ,20,113,6,0,2,1,6,0,0,0,15.90,2015
11,Adrian Peterson,RB,8,MIN,CHI,20,103,5,0,2,2,6,0,0,0,15.90,2015
12,DeAngelo Williams,RB,8,PIT,CIN,9,71,8,0,4,4,39,0,0,0,15.00,2015
13,Lamar Miller,RB,8,MIA,NE,9,15,2,1,5,5,19,0,0,0,14.40,2015
14,Jonathan Stewart,RB,8,CAR,IND,24,82,3,1,2,1,1,0,1,1,14.30,2015
15,Taiwan Jones,RB,8,OAK,NYJ,2,5,3,0,1,1,59,1,0,0,13.40,2015
16,Frank Gore,RB,8,IND,CAR,22,70,3,0,3,3,22,0,1,0,12.20,2015
17,Alfred Blue,RB,8,HOU,TEN,14,39,3,0,5,5,33,0,0,0,12.20,2015
18,Chris Johnson,RB,8,ARI,CLE,30,109,4,0,1,0,0,0,2,2,11.90,2015
19,Eddie Lacy,RB,8,GB,DEN,11,38,4,1,2,1,9,0,1,0,11.70,2015
20,CJ Spiller,RB,8,NO,NYG,4,21,5,0,4,2,15,1,0,0,11.60,2015
21,Antonio Andrews,RB,8,TEN,HOU,16,64,4,0,3,3,18,0,0,0,11.20,2015
22,Melvin Gordon,RB,8,LAC,BAL,18,54,3,0,6,5,7,0,0,0,11.10,2015
23,Matt Forte,RB,8,CHI,MIN,10,41,4,0,4,4,28,0,0,0,10.90,2015
24,Theo Riddick,RB,8,DET,KC,5,17,3,0,7,6,30,0,0,0,10.70,2015
25,Rashad Jennings,RB,8,NYG,NO,10,54,5,0,3,2,31,0,0,0,10.50,2015
26,Marshawn Lynch,RB,8,SEA,DAL,21,71,3,0,2,2,11,0,0,0,10.20,2015
27,Duke Johnson,RB,8,CLE,ARI,1,3,3,0,2,2,68,0,0,0,9.10,2015
28,Jonas Gray,RB,8,MIA,NE,2,1,1,0,5,4,50,0,0,0,9.10,2015
29,Doug Martin,RB,8,TB,ATL,23,71,3,0,1,1,7,0,0,0,8.80,2015
30,LeGarrette Blount,RB,8,NE,MIA,17,72,4,0,1,1,2,0,0,0,8.40,2015
31,Justin Forsett,RB,8,BAL,LAC,17,69,4,0,1,1,5,0,0,0,8.40,2015
32,Jeremy Hill,RB,8,CIN,PIT,15,60,4,0,1,1,8,0,0,0,7.80,2015
33,Le'Veon Bell,RB,8,PIT,CIN,10,45,5,0,2,2,13,0,0,0,7.80,2015
34,Dexter McCluster,RB,8,TEN,HOU,3,15,5,0,6,4,23,0,0,0,7.80,2015
35,Charles Sims,RB,8,TB,ATL,6,22,4,0,4,3,24,0,0,0,7.60,2015
36,Spencer Ware,RB,8,KC,DET,2,12,6,1,0,0,0,0,0,0,7.20,2015
37,Chris Ivory,RB,8,NYJ,OAK,15,17,1,0,5,3,24,0,0,0,7.10,2015
38,David Johnson,RB,8,ARI,CLE,1,4,4,0,2,2,44,0,1,0,6.80,2015
39,Danny Woodhead,RB,8,LAC,BAL,3,9,3,0,3,2,36,0,0,0,6.50,2015
40,Tre Mason,RB,8,LAR,SF,15,46,3,0,1,1,6,0,0,0,6.20,2015
41,Javorius Allen,RB,8,BAL,LAC,4,1,0,0,4,3,30,0,0,0,6.10,2015
42,Joique Bell,RB,8,DET,KC,7,56,8,0,1,0,0,0,0,0,5.60,2015
43,Marcel Reece,FB,8,OAK,NYJ,0,0,0,0,3,3,26,0,0,0,5.60,2015
44,Giovani Bernard,RB,8,CIN,PIT,1,12,12,0,3,2,22,0,0,0,5.40,2015
45,Branden Oliver,RB,8,LAC,BAL,4,18,5,0,2,2,16,0,0,0,5.40,2015
46,Mike Tolbert,FB,8,CAR,IND,0,0,0,0,1,1,40,0,0,0,5.00,2015
47,Kyle Juszczyk,FB,8,BAL,LAC,0,0,0,0,2,1,39,0,0,0,4.90,2015
48,Jeremy Langford,RB,8,CHI,MIN,12,46,4,0,1,0,0,0,0,0,4.60,2015
49,Kendall Gaskins,FB,8,SF,LAR,5,6,1,0,3,2,17,0,0,0,4.30,2015
50,Matt Asiata,RB,8,MIN,CHI,1,5,5,0,3,3,6,0,0,0,4.10,2015
