,Player,Position,Team,Opponent,Points,PlayerID
0,Carson Palmer,QB,ARI,CLE,33.56,00-0021429
1,Tom Brady,QB,NE,MIA,33.34,00-0019596
2,Derek Carr,QB,OAK,NYJ,32.12,00-0031280
3,Alex Smith,QB,KC,DET,27.6,00-0023436
4,Philip Rivers,QB,LAC,BAL,27.04,00-0022942
5,Joe Flacco,QB,BAL,LAC,25.96,00-0026158
6,Matt Ryan,QB,ATL,TB,25.08,00-0026143
7,Geno Smith,QB,NYJ,OAK,21.0,00-0030565
8,Josh McCown,QB,CLE,ARI,20.24,00-0021206
9,Cam Newton,QB,CAR,IND,20.02,00-0027939
10,Jay Cutler,QB,CHI,MIN,19.54,00-0024226
11,Jameis Winston,QB,TB,ATL,19.48,00-0031503
12,Andrew Luck,QB,IND,CAR,17.74,00-0029668
13,Brian Hoyer,QB,HOU,TEN,17.3,00-0026625
14,Peyton Manning,QB,DEN,GB,15.6,00-0010346
15,Russell Wilson,QB,SEA,DAL,14.6,00-0029263
16,Nick Foles,QB,LA,SF,13.34,00-0029567
17,Ryan Tannehill,QB,MIA,NE,12.9,00-0029701
18,Teddy Bridgewater,QB,MIN,CHI,12.58,00-0031237
19,Andy Dalton,QB,CIN,PIT,11.64,00-0027973
20,Ben Roethlisberger,QB,PIT,CIN,11.48,00-0022924
21,Matthew Stafford,QB,DET,KC,11.18,00-0026498
22,Colin Kaepernick,QB,SF,LAR,9.28,00-0027974
23,Matt Cassel,QB,DAL,SEA,8.18,00-0023662
24,Aaron Rodgers,QB,GB,DEN,6.18,00-0023459
25,Zach Mettenberger,QB,TEN,HOU,4.84,00-0031266
26,Ryan Fitzpatrick,QB,NYJ,OAK,3.04,00-0023682
27,Johnny Manziel,QB,CLE,ARI,0.58,00-0031409
28,Dan Orlovsky,QB,DET,KC,0.4,00-0023578
29,Chase Daniel,QB,KC,DET,0.16,00-0026544
30,Scott Tolzien,QB,GB,DEN,0.0,00-0028595
31,Charlie Whitehurst,QB,TEN,HOU,0.0,00-0024296
32,Joe Webb,QB,CAR,IND,0.0,00-0027796
33,Luke McCown,QB,NO,NYG,0.0,00-0022864
34,Jimmy Garoppolo,QB,NE,MIA,0.0,00-0031345
35,AJ Green,WR,CIN,PIT,31.8,00-0027942
36,Alshon Jeffery,WR,CHI,MIN,30.6,00-0029137
37,Marques Colston,WR,NO,NYG,28.4,00-0024466
38,Demaryius Thomas,WR,DEN,GB,27.8,00-0027874
39,Julian Edelman,WR,NE,MIA,27.1,00-0027150
40,Tavon Austin,WR,LA,SF,26.9,00-0030525
41,Brandin Cooks,WR,NO,NYG,26.5,00-0031236
42,Michael Crabtree,WR,OAK,NYJ,26.2,00-0026986
43,Malcom Floyd,WR,LAC,BAL,25.2,00-0022414
44,Willie Snead,WR,NO,NYG,25.0,00-0030663
45,Michael Floyd,WR,ARI,CLE,23.6,00-0029638
46,DeAndre Hopkins,WR,HOU,TEN,23.4,00-0030564
47,Brandon Marshall,WR,NYJ,OAK,22.8,00-0024334
48,Larry Fitzgerald,WR,ARI,CLE,22.4,00-0022921
49,Stefon Diggs,WR,MIN,CHI,21.5,00-0031588
50,Andre Holmes,WR,OAK,NYJ,19.4,00-0028263
51,Brian Hartline,WR,CLE,ARI,19.2,00-0027077
52,Dwayne Harris,WR,NYG,NO,18.7,00-0028114
53,Andre Johnson,WR,IND,CAR,18.1,00-0022044
54,Eric Decker,WR,NYJ,OAK,18.0,00-0027690
55,Nate Washington,WR,HOU,TEN,17.4,00-0023367
56,Antonio Brown,WR,PIT,CIN,16.7,00-0027793
57,Corey Brown,WR,CAR,IND,14.6,00-0031118
58,Keenan Allen,WR,LAC,BAL,14.5,00-0030279
59,Calvin Johnson,WR,DET,KC,13.5,00-0025389
60,Steve Smith,WR,BAL,LAC,13.2,
61,Rishard Matthews,WR,MIA,NE,13.2,00-0029580
62,Jarvis Landry,WR,MIA,NE,13.1,00-0031382
63,Jeremy Maclin,WR,KC,DET,12.5,00-0026995
64,De'Anthony Thomas,WR,KC,DET,12.2,00-0031060
65,Kamar Aiken,WR,BAL,LAC,12.2,00-0028497
66,Lance Moore,WR,DET,KC,11.9,00-0023310
67,Golden Tate,WR,DET,KC,11.9,00-0027891
68,Rueben Randle,WR,NYG,NO,10.5,00-0029262
69,Jeremy Kerley,WR,NYJ,OAK,10.3,00-0028091
70,Kenbrell Thompkins,WR,NYJ,OAK,10.1,00-0030000
71,JJ Nelson,WR,ARI,CLE,10.0,00-0032112
72,Griff Whalen,WR,IND,CAR,9.8,00-0029033
73,Amari Cooper,WR,OAK,NYJ,9.8,00-0031544
74,Randall Cobb,WR,GB,DEN,9.7,00-0028002
75,Martavis Bryant,WR,PIT,CIN,8.9,00-0031373
76,Kenny Stills,WR,MIA,NE,8.8,00-0030085
77,Chris Givens,WR,BAL,LAC,8.7,
78,Brandon LaFell,WR,NE,MIA,8.7,00-0027681
79,Ted Ginn,WR,CAR,IND,8.0,00-0025396
80,Mike Evans,WR,TB,ATL,7.8,00-0031408
81,Taylor Gabriel,WR,CLE,ARI,7.2,00-0031228
82,Kendall Wright,WR,TEN,HOU,6.8,00-0029708
83,Rob Gronkowski,TE,NE,MIA,26.3,00-0027656
84,Heath Miller,TE,PIT,CIN,23.5,00-0023465
85,Greg Olsen,TE,CAR,IND,19.9,00-0025418
86,Gary Barnidge,TE,CLE,ARI,18.3,00-0026281
