,Player,Position,Team,Opponent,Points,PlayerID
202,Rob Bironas,K,TEN,SF,0.0,00-0020962
203,Caleb Sturgis,K,MIA,BUF,0.0,00-0030390
204,Alex Henery,K,PHI,DAL,0.0,00-0028058
205,Blair Walsh,K,MIN,NYG,0.0,00-0029576
206,Los Angeles Chargers,DST,LAC,JAX,15.0,
207,San Francisco 49ers,DST,SF,TEN,14.0,
208,Buffalo Bills,DST,BUF,MIA,14.0,
209,New York Jets,DST,NYJ,NE,12.0,
210,New England Patriots,DST,NE,NYJ,12.0,
211,Atlanta Falcons,DST,ATL,TB,11.0,
212,Indianapolis Colts,DST,IND,DEN,11.0,
213,Seattle Seahawks,DST,SEA,ARI,11.0,
214,New York Giants,DST,NYG,MIN,11.0,
215,Minnesota Vikings,DST,MIN,NYG,10.0,
216,Green Bay Packers,DST,GB,CLE,9.0,
217,Kansas City Chiefs,DST,KC,HOU,8.0,
218,Houston Texans,DST,HOU,KC,7.0,
219,Philadelphia Eagles,DST,PHI,DAL,7.0,
220,Miami Dolphins,DST,MIA,BUF,7.0,
221,Baltimore Ravens,DST,BAL,PIT,6.0,
222,Arizona Cardinals,DST,ARI,SEA,6.0,
223,Washington Redskins,DST,WAS,CHI,6.0,
224,Chicago Bears,DST,CHI,WAS,5.0,
225,Los Angeles Rams,DST,LA,CAR,4.0,
226,Tennessee Titans,DST,TEN,SF,2.0,
227,Tampa Bay Buccaneers,DST,TB,ATL,2.0,
228,Pittsburgh Steelers,DST,PIT,BAL,2.0,
229,Cincinnati Bengals,DST,CIN,DET,2.0,
230,Jacksonville Jaguars,DST,JAX,LAC,1.0,
231,Detroit Lions,DST,DET,CIN,1.0,
232,Denver Broncos,DST,DEN,IND,0.0,
233,Cleveland Browns,DST,CLE,GB,0.0,
