Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Kansas City Chiefs,DST,14,KC,WAS,7,6,4,1,1,0,0,2,10,26.00,2013
2,Tampa Bay Buccaneers,DST,14,TB,BUF,9,7,13,4,1,0,0,0,6,24.00,2013
3,Arizona Cardinals,DST,14,ARI,LAR,7,4,7,2,0,1,1,0,10,20.00,2013
4,Atlanta Falcons,DST,14,ATL,GB,4,5,5,1,1,0,1,0,22,15.00,2013
5,Detroit Lions,DST,14,DET,PHI,6,0,0,1,0,0,0,2,34,13.00,2013
6,New York Jets,DST,14,NYJ,OAK,5,3,4,1,0,0,0,1,27,13.00,2013
7,New Orleans Saints,DST,14,NO,CAR,7,5,7,0,0,0,0,0,13,9.00,2013
8,Pittsburgh Steelers,DST,14,PIT,MIA,5,2,3,1,0,0,1,0,34,9.00,2013
9,Los Angeles Chargers,DST,14,LAC,NYG,3,2,5,2,1,0,0,0,14,9.00,2013
10,Philadelphia Eagles,DST,14,PHI,DET,3,0,0,0,3,0,0,0,20,9.00,2013
11,Baltimore Ravens,DST,14,BAL,MIN,3,0,2,0,1,0,0,1,26,8.00,2013
12,Cleveland Browns,DST,14,CLE,NE,4,4,6,1,1,0,0,0,27,8.00,2013
13,Jacksonville Jaguars,DST,14,JAX,HOU,5,3,8,2,0,0,0,0,20,8.00,2013
14,Minnesota Vikings,DST,14,MIN,BAL,5,2,5,3,0,0,0,0,29,7.00,2013
15,San Francisco 49ers,DST,14,SF,SEA,1,2,1,1,0,0,0,0,17,7.00,2013
16,Green Bay Packers,DST,14,GB,ATL,3,1,1,1,1,0,0,0,21,6.00,2013
17,Buffalo Bills,DST,14,BUF,TB,8,1,1,2,0,0,0,0,27,5.00,2013
18,Denver Broncos,DST,14,DEN,TEN,5,2,4,1,1,0,0,0,28,5.00,2013
19,Miami Dolphins,DST,14,MIA,PIT,3,3,2,0,1,0,0,0,28,5.00,2013
20,Seattle Seahawks,DST,14,SEA,SF,6,2,3,1,0,0,0,0,19,5.00,2013
21,Los Angeles Rams,DST,14,LAR,ARI,5,1,2,0,1,0,0,0,30,3.00,2013
22,Carolina Panthers,DST,14,CAR,NO,3,2,6,0,0,0,0,0,31,1.00,2013
23,Chicago Bears,DST,14,CHI,DAL,2,2,2,0,0,0,0,0,28,1.00,2013
24,Houston Texans,DST,14,HOU,JAX,4,1,4,0,0,0,0,0,27,1.00,2013
25,New England Patriots,DST,14,NE,CLE,3,1,5,0,0,0,0,0,26,1.00,2013
26,New York Giants,DST,14,NYG,LAC,2,2,4,0,1,0,0,0,37,0.00,2013
27,Cincinnati Bengals,DST,14,CIN,IND,0,0,4,0,0,0,0,0,28,-1.00,2013
28,Oakland Raiders,DST,14,OAK,NYJ,4,1,6,1,0,0,0,0,37,-1.00,2013
29,Washington Redskins,DST,14,WAS,KC,5,0,1,1,0,0,0,0,45,-2.00,2013
30,Dallas Cowboys,DST,14,DAL,CHI,3,1,3,0,0,0,0,0,45,-3.00,2013
31,Indianapolis Colts,DST,14,IND,CIN,1,0,0,0,0,0,0,0,42,-4.00,2013
32,Tennessee Titans,DST,14,TEN,DEN,2,0,1,0,0,0,0,0,51,-4.00,2013
