Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Arian Foster,RB,6,HOU,KC,18,71,4,2,6,6,26,0,0,0,27.70,2010
2,Ryan Torain,RB,6,WAS,IND,20,100,5,2,1,1,9,0,0,0,26.90,2010
3,Chris Johnson,RB,6,TEN,JAX,26,111,4,1,2,2,20,0,0,0,24.10,2010
4,Chris Ivory,RB,6,NO,TB,15,158,11,0,1,1,17,0,1,0,21.50,2010
5,Steven Jackson,RB,6,LAR,LAC,29,109,4,1,2,1,2,0,0,0,21.10,2010
6,Thomas Jones,RB,6,KC,HOU,19,100,5,1,2,1,10,0,0,0,21.00,2010
7,Joseph Addai,RB,6,IND,WAS,17,128,8,1,2,0,0,0,1,1,20.80,2010
8,LaDainian Tomlinson,RB,6,NYJ,DEN,16,55,3,2,2,2,12,0,0,0,20.70,2010
9,Ray Rice,RB,6,BAL,NE,28,88,3,0,10,8,38,0,0,0,20.60,2010
10,Ahmad Bradshaw,RB,6,NYG,DET,19,133,7,0,2,2,10,0,0,0,19.30,2010
11,Felix Jones,RB,6,DAL,MIN,14,32,2,0,10,10,61,0,0,0,19.30,2010
12,Rashard Mendenhall,RB,6,PIT,CLE,27,84,3,1,4,3,15,0,0,0,18.90,2010
13,Frank Gore,RB,6,SF,OAK,25,149,6,0,5,0,0,0,0,0,17.90,2010
14,Danny Woodhead,RB,6,NE,BAL,11,63,6,0,7,5,52,0,0,0,16.50,2010
15,Jamaal Charles,RB,6,KC,HOU,16,93,6,0,4,4,24,0,0,0,15.70,2010
16,Brandon Jacobs,RB,6,NYG,DET,9,35,4,2,0,0,0,0,0,0,15.50,2010
17,Peyton Hillis,RB,6,CLE,PIT,12,41,3,0,7,6,49,0,0,0,15.00,2010
18,Justin Forsett,RB,6,SEA,CHI,10,67,7,1,4,1,9,0,0,0,14.60,2010
19,Marshawn Lynch,RB,6,SEA,CHI,17,44,3,1,3,3,9,0,0,0,14.30,2010
20,Adrian Peterson,RB,6,MIN,DAL,24,73,3,1,1,1,-2,0,0,0,14.10,2010
21,Matt Forte,RB,6,CHI,SEA,8,11,1,1,7,3,40,0,0,0,14.10,2010
22,Cadillac Williams,RB,6,TB,NO,10,18,2,0,8,7,63,0,1,1,14.10,2010
23,Derrick Ward,RB,6,HOU,KC,3,58,19,1,1,1,12,0,0,0,14.00,2010
24,Keiland Williams,RB,6,WAS,IND,2,12,6,0,5,4,19,1,0,0,13.10,2010
25,LeSean McCoy,RB,6,PHI,ATL,21,64,3,0,4,4,21,0,0,0,12.50,2010
26,Brandon Jackson,RB,6,GB,MIA,12,53,4,0,3,3,29,0,0,0,11.20,2010
27,Darren Sproles,RB,6,LAC,LAR,1,9,9,0,6,5,48,0,0,0,10.70,2010
28,Jahvid Best,RB,6,DET,NYG,12,16,1,0,6,6,31,0,0,0,10.70,2010
29,Ryan Mathews,RB,6,LAC,LAR,12,64,5,0,4,3,12,0,0,0,10.60,2010
30,Ladell Betts,RB,6,NO,TB,6,20,3,1,1,1,6,0,0,0,9.60,2010
31,Ronnie Brown,RB,6,MIA,GB,19,73,4,0,1,1,2,0,0,0,8.50,2010
32,Maurice Jones-Drew,RB,6,JAX,TEN,17,57,3,0,2,2,8,0,0,0,8.50,2010
33,BenJarvus Green-Ellis,RB,6,NE,BAL,10,20,2,1,0,0,0,0,0,0,8.00,2010
34,Michael Bush,RB,6,OAK,SF,20,47,2,0,3,2,12,0,0,0,7.90,2010
35,Marion Barber,RB,6,DAL,MIN,10,31,3,0,3,3,15,0,0,0,7.60,2010
36,Heath Evans,FB,6,NO,TB,0,0,0,0,1,1,4,1,0,0,7.40,2010
37,Ricky Williams,RB,6,MIA,GB,13,64,5,0,1,1,-1,0,0,0,7.30,2010
38,Dexter McCluster,RB,6,KC,HOU,2,27,14,0,4,3,13,0,0,0,7.00,2010
39,Mike Tolbert,FB,6,LAC,LAR,3,3,1,1,0,0,0,0,0,0,6.30,2010
40,Javon Ringer,RB,6,TEN,JAX,10,42,4,0,1,1,8,0,0,0,6.00,2010
41,Michael Turner,RB,6,ATL,PHI,15,45,3,0,2,1,4,0,0,0,5.90,2010
42,Julius Jones,RB,6,NO,TB,9,32,4,0,2,1,6,0,0,0,4.80,2010
43,Jason Snelling,RB,6,ATL,PHI,3,17,6,0,3,2,10,0,0,0,4.70,2010
44,Chester Taylor,RB,6,CHI,SEA,4,31,8,0,2,1,4,0,0,0,4.50,2010
45,Shonn Greene,RB,6,NYJ,DEN,9,43,5,0,1,0,0,0,0,0,4.30,2010
46,Mike Hart,RB,6,IND,WAS,11,43,4,0,0,0,0,0,0,0,4.30,2010
47,Eldra Buckley,RB,6,PHI,ATL,12,40,3,0,0,0,0,0,0,0,4.00,2010
48,Knowshon Moreno,RB,6,DEN,NYJ,12,48,4,0,0,0,0,0,1,1,3.80,2010
49,Deji Karim,RB,6,JAX,TEN,3,3,1,0,4,2,9,0,0,0,3.20,2010
50,Isaac Redman,RB,6,PIT,CLE,6,31,5,0,0,0,0,0,0,0,3.10,2010
