Player,Position,Team,Opponent,Points
Matt Schaub,QB,HOU,KC,23.50
Tony Romo,QB,DAL,MIN,23.00
Peyton Manning,QB,IND,WAS,22.18
Ben Roethlisberger,QB,PIT,CLE,21.78
Drew Brees,QB,NO,TB,21.72
Matt Cassel,QB,KC,HOU,20.84
Joe Flacco,QB,BAL,NE,19.90
Chad Henne,QB,MIA,GB,17.14
Matt Ryan,QB,ATL,PHI,16.30
Alex Smith,QB,SF,OAK,15.64
Colt McCoy,QB,CLE,PIT,15.44
Eli Manning,QB,NYG,DET,14.98
Kyle Orton,QB,DEN,NYJ,14.56
Drew Stanton,QB,DET,NYG,13.88
Tom Brady,QB,NE,BAL,13.78
Jay Cutler,QB,CHI,SEA,13.50
Matt Hasselbeck,QB,SEA,CHI,13.38
Josh Freeman,QB,TB,NO,12.96
Philip Rivers,QB,LAC,LAR,12.96
Sam Bradford,QB,LAR,LAC,12.72
Donovan McNabb,QB,WAS,IND,11.94
Mark Sanchez,QB,NYJ,DEN,9.82
Tim Tebow,QB,DEN,NYJ,8.30
Kerry Collins,QB,TEN,JAX,8.30
Brett Favre,QB,MIN,DAL,7.72
Shaun Hill,QB,DET,NYG,7.64
Vince Young,QB,TEN,JAX,6.44
Trent Edwards,QB,JAX,TEN,5.20
Jason Campbell,QB,OAK,SF,3.42
Josh Johnson,QB,TB,NO,1.78
David Garrard,QB,JAX,TEN,0.96
Sage Rosenfels,QB,NYG,DET,0.00
Chase Daniel,QB,NO,TB,0.00
Andre Johnson,WR,HOU,KC,30.80
Calvin Johnson,WR,DET,NYG,28.60
Greg Jennings,WR,GB,MIA,28.30
Brandon Marshall,WR,MIA,GB,25.70
Mike Williams,WR,SEA,CHI,25.30
Deion Branch,WR,NE,BAL,24.80
Pierre Garcon,WR,IND,WAS,23.30
Derrick Mason,WR,BAL,NE,21.00
DeSean Jackson,WR,PHI,ATL,20.80
Patrick Crayton,WR,LAC,LAR,20.70
Johnny Knox,WR,CHI,SEA,20.00
Austin Collie,WR,IND,WAS,18.70
Mike Wallace,WR,PIT,CLE,18.00
Roy Williams,WR,DAL,MIN,17.80
Danario Alexander,WR,LAR,LAC,17.20
Robert Meachem,WR,NO,TB,17.10
Mike Thomas,WR,JAX,TEN,16.80
Hines Ward,WR,PIT,CLE,16.40
Anquan Boldin,WR,BAL,NE,16.20
Michael Crabtree,WR,SF,OAK,15.70
Santana Moss,WR,WAS,IND,15.70
Nate Burleson,WR,DET,NYG,15.30
Mario Manningham,WR,NYG,DET,15.10
