Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Dan Carpenter,K,6,MIA,GB,3,3,100,53,2,2,0.00,2010
2,Rob Bironas,K,6,TEN,JAX,3,3,100,36,3,3,0.00,2010
3,Stephen Gostkowski,K,6,NE,BAL,3,3,100,38,2,2,0.00,2010
4,Matt Prater,K,6,DEN,NYJ,2,3,67,59,2,2,0.00,2010
5,Sebastian Janikowski,K,6,OAK,SF,3,3,100,40,0,0,0.00,2010
6,Adam Vinatieri,K,6,IND,WAS,2,4,50,43,3,3,0.00,2010
7,Robbie Gould,K,6,CHI,SEA,2,3,67,34,2,2,0.00,2010
8,Mason Crosby,K,6,GB,MIA,2,2,100,46,2,2,0.00,2010
9,Billy Cundiff,K,6,BAL,NE,2,2,100,26,2,2,0.00,2010
10,Jason Hanson,K,6,DET,NYG,2,2,100,50,2,2,0.00,2010
11,Josh Brown,K,6,LAR,LAC,2,2,100,48,2,2,0.00,2010
12,Nick Folk,K,6,NYJ,DEN,1,1,100,56,3,3,0.00,2010
13,Ryan Succop,K,6,KC,HOU,1,1,100,24,4,4,0.00,2010
14,David Akers,K,6,PHI,ATL,1,4,25,30,4,4,0.00,2010
15,Garrett Hartley,K,6,NO,TB,1,2,50,27,4,4,0.00,2010
16,Ryan Longwell,K,6,MIN,DAL,1,1,100,38,3,3,0.00,2010
17,Graham Gano,K,6,WAS,IND,1,2,50,39,3,3,0.00,2010
18,Neil Rackers,K,6,HOU,KC,0,0,0,0,5,5,0.00,2010
19,Matt Bryant,K,6,ATL,PHI,1,2,50,26,2,2,0.00,2010
20,Nate Kaeding,K,6,LAC,LAR,1,2,50,41,2,2,0.00,2010
21,Joe Nedney,K,6,SF,OAK,1,1,100,25,2,2,0.00,2010
22,S Graham,K,6,NYG,DET,0,0,0,0,4,4,0.00,2010
23,Phil Dawson,K,6,CLE,PIT,1,1,100,39,1,1,0.00,2010
24,Jeff Reed,K,6,PIT,CLE,0,0,0,0,4,4,0.00,2010
25,Olindo Mare,K,6,SEA,CHI,0,0,0,0,3,3,0.00,2010
26,David Buehler,K,6,DAL,MIN,0,0,0,0,3,3,0.00,2010
27,Josh Scobee,K,6,JAX,TEN,1,1,100,33,0,0,0.00,2010
28,Connor Barth,K,6,TB,NO,0,2,0,0,0,0,0.00,2010
