,Player,Position,Team,Opponent,FantasyData_FantasyPoints,PlayerID
0,Drew Brees,QB,NO,CHI,19.71,00-0020531
1,Dak Prescott,QB,DAL,WAS,19.64,00-0033077
2,Kirk Cousins,QB,WAS,DAL,19.36,00-0029604
3,Cam Newton,QB,CAR,TB,18.96,00-0027939
4,Russell Wilson,QB,SEA,HOU,18.62,00-0029263
5,Andy Dalton,QB,CIN,IND,18.21,00-0027973
6,Jameis Winston,QB,TB,CAR,17.67,00-0031503
7,Philip Rivers,QB,LAC,NE,17.35,00-0022942
8,Tyrod Taylor,QB,BUF,OAK,16.86,00-0028118
9,Matt Ryan,QB,ATL,NYJ,16.69,00-0026143
10,Derek Carr,QB,OAK,BUF,15.92,00-0031280
11,Alex Smith,QB,KC,DEN,15.52,00-0023436
12,Ben Roethlisberger,QB,PIT,DET,15.37,00-0022924
13,Josh McCown,QB,NYJ,ATL,15.35,00-0021206
14,Deshaun Watson,QB,HOU,SEA,15.23,00-0033537
15,Matthew Stafford,QB,DET,PIT,15.03,00-0026498
16,Case Keenum,QB,MIN,CLE,14.25,00-0028986
17,Jacoby Brissett,QB,IND,CIN,13.57,00-0033119
18,CJ Beathard,QB,SF,PHI,13.03,00-0033936
19,Matt Moore,QB,MIA,BAL,13.08,00-0025708
20,Trevor Siemian,QB,DEN,KC,12.79,00-0032156
21,Joe Flacco,QB,BAL,MIA,11.55,00-0026158
22,Mitch Trubisky,QB,CHI,NO,11.42,00-0033869
23,Deshone Kizer,QB,CLE,MIN,10.19,00-0033899
24,Cody Kessler,QB,CLE,MIN,1.76,00-0033104
25,Brian Hoyer,QB,SF,PHI,0.31,00-0026625
26,Kevin Hogan,QB,CLE,MIN,0.3,00-0032784
27,Brock Osweiler,QB,DEN,KC,0.3,00-0029682
28,Mike Glennon,QB,CHI,NO,0.27,00-0030520
29,Bryce Petty,QB,NYJ,ATL,0.27,00-0031568
30,Nick Foles,QB,PHI,SF,0.26,00-0029567
31,Ryan Fitzpatrick,QB,TB,CAR,0.25,00-0023682
32,AJ McCarron,QB,CIN,IND,0.23,00-0031288
33,EJ Manuel,QB,OAK,BUF,0.22,00-0030526
34,Colt McCoy,QB,WAS,DAL,0.22,00-0027688
35,Landry Jones,QB,PIT,DET,0.22,00-0030524
36,Austin Davis,QB,SEA,HOU,0.21,00-0028957
37,Kellen Clemens,QB,LAC,NE,0.19,00-0024264
38,Jimmy Garoppolo,QB,NE,LAC,0.19,00-0031345
39,Chase Daniel,QB,NO,CHI,0.19,00-0026544
40,Derek Anderson,QB,CAR,TB,0.18,00-0023645
41,Patrick Mahomes,QB,KC,DEN,0.18,00-0033873
42,Ryan Mallett,QB,BAL,MIA,0.17,00-0028012
43,Matt Schaub,QB,ATL,NYJ,0.17,00-0022787
44,Cooper Rush,QB,DAL,WAS,0.12,00-0033662
45,Paxton Lynch,QB,DEN,KC,0.12,00-0033108
46,Tom Savage,QB,HOU,SEA,0.1,00-0031064
47,Scott Tolzien,QB,IND,CIN,0.05,00-0028595
48,Julio Jones,WR,ATL,NYJ,14.42,00-0027944
49,Mike Evans,WR,TB,CAR,14.2,00-0031408
50,Keenan Allen,WR,LAC,NE,12.35,00-0030279
51,Michael Thomas,WR,NO,CHI,12.27,00-0032765
52,Dez Bryant,WR,DAL,WAS,12.07,00-0027902
53,Doug Baldwin,WR,SEA,HOU,11.94,00-0028434
54,DeAndre Hopkins,WR,HOU,SEA,11.75,00-0030564
55,Jarvis Landry,WR,MIA,BAL,11.35,00-0031382
56,Michael Crabtree,WR,OAK,BUF,11.15,00-0026986
57,Tyreek Hill,WR,KC,DEN,10.71,00-0033040
58,Kelvin Benjamin,WR,CAR,TB,10.77,00-0031359
59,Amari Cooper,WR,OAK,BUF,10.95,00-0031544
60,Adam Thielen,WR,MIN,CLE,10.57,00-0030035
61,Brandin Cooks,WR,NE,LAC,10.9,00-0031236
62,Demaryius Thomas,WR,DEN,KC,10.29,00-0027874
63,Alshon Jeffery,WR,PHI,SF,10.43,00-0029137
64,Stefon Diggs,WR,MIN,CLE,10.18,00-0031588
65,Chris Hogan,WR,NE,LAC,10.24,00-0028237
66,Pierre Garcon,WR,SF,PHI,9.58,00-0026345
67,Devin Funchess,WR,CAR,TB,9.61,00-0032055
68,DeSean Jackson,WR,TB,CAR,9.84,00-0026189
69,Ted Ginn,WR,NO,CHI,9.49,00-0025396
70,Marvin Jones,WR,DET,PIT,9.55,00-0029293
71,Emmanuel Sanders,WR,DEN,KC,9.08,00-0027685
72,Nelson Agholor,WR,PHI,SF,9.01,00-0031549
73,TY Hilton,WR,IND,CIN,9.02,00-0029608
74,Kenny Stills,WR,MIA,BAL,8.72,00-0030085
75,Mohamed Sanu,WR,ATL,NYJ,8.31,00-0029632
76,Devante Parker,WR,MIA,BAL,8.12,00-0031547
77,Jeremy Maclin,WR,BAL,MIA,7.86,00-0026995
78,Tyrell Williams,WR,LAC,NE,7.94,00-0032160
79,Tyler Lockett,WR,SEA,HOU,7.58,00-0032211
80,Will Fuller,WR,HOU,SEA,7.76,00-0033127
81,Danny Amendola,WR,NE,LAC,7.4,00-0026035
82,Robby Anderson,WR,NYJ,ATL,7.58,00-0032688
83,Paul Richardson,WR,SEA,HOU,7.58,00-0031257
84,Jermaine Kearse,WR,NYJ,ATL,7.5,00-0029159
85,Brandon LaFell,WR,CIN,IND,6.97,00-0027681
86,Jamison Crowder,WR,WAS,DAL,7.0,00-0031941
87,Marquise Goodwin,WR,SF,PHI,7.11,00-0030068
88,Josh Doctson,WR,WAS,DAL,7.12,00-0032760
