Player,Position,Team,Opponent,FantasyData_FantasyPoints
Drew Brees,QB,NO,CHI,19.71
Dak Prescott,QB,DAL,WAS,19.64
Kirk Cousins,QB,WAS,DAL,19.36
Cam Newton,QB,CAR,TB,18.96
Russell Wilson,QB,SEA,HOU,18.62
Andy Dalton,QB,CIN,IND,18.21
Jameis Winston,QB,TB,CAR,17.67
Philip Rivers,QB,LAC,NE,17.35
Tyrod Taylor,QB,BUF,OAK,16.86
Matt Ryan,QB,ATL,NYJ,16.69
Derek Carr,QB,OAK,BUF,15.92
Alex Smith,QB,KC,DEN,15.52
Ben Roethlisberger,QB,PIT,DET,15.37
Josh McCown,QB,NYJ,ATL,15.35
Deshaun Watson,QB,HOU,SEA,15.23
Matthew Stafford,QB,DET,PIT,15.03
Case Keenum,QB,MIN,CLE,14.25
Jacoby Brissett,QB,IND,CIN,13.57
CJ Beathard,QB,SF,PHI,13.03
Matt Moore,QB,MIA,BAL,13.08
Trevor Siemian,QB,DEN,KC,12.79
Joe Flacco,QB,BAL,MIA,11.55
Mitch Trubisky,QB,CHI,NO,11.42
Deshone Kizer,QB,CLE,MIN,10.19
Cody Kessler,QB,CLE,MIN,1.76
Brian Hoyer,QB,SF,PHI,0.31
Kevin Hogan,QB,CLE,MIN,0.30
Brock Osweiler,QB,DEN,KC,0.30
Mike Glennon,QB,CHI,NO,0.27
Bryce Petty,QB,NYJ,ATL,0.27
Nick Foles,QB,PHI,SF,0.26
Ryan Fitzpatrick,QB,TB,CAR,0.25
AJ McCarron,QB,CIN,IND,0.23
EJ Manuel,QB,OAK,BUF,0.22
Colt McCoy,QB,WAS,DAL,0.22
Landry Jones,QB,PIT,DET,0.22
Austin Davis,QB,SEA,HOU,0.21
Kellen Clemens,QB,LAC,NE,0.19
Jimmy Garoppolo,QB,NE,LAC,0.19
Chase Daniel,QB,NO,CHI,0.19
Derek Anderson,QB,CAR,TB,0.18
Patrick Mahomes,QB,KC,DEN,0.18
Ryan Mallett,QB,BAL,MIA,0.17
Matt Schaub,QB,ATL,NYJ,0.17
Cooper Rush,QB,DAL,WAS,0.12
Paxton Lynch,QB,DEN,KC,0.12
Tom Savage,QB,HOU,SEA,0.10
Scott Tolzien,QB,IND,CIN,0.05
Julio Jones,WR,ATL,NYJ,14.42
Mike Evans,WR,TB,CAR,14.20
Keenan Allen,WR,LAC,NE,12.35
Michael Thomas,WR,NO,CHI,12.27
Dez Bryant,WR,DAL,WAS,12.07
Doug Baldwin,WR,SEA,HOU,11.94
DeAndre Hopkins,WR,HOU,SEA,11.75
Jarvis Landry,WR,MIA,BAL,11.35
Michael Crabtree,WR,OAK,BUF,11.15
Tyreek Hill,WR,KC,DEN,10.71
Kelvin Benjamin,WR,CAR,TB,10.77
Amari Cooper,WR,OAK,BUF,10.95
Adam Thielen,WR,MIN,CLE,10.57
Brandin Cooks,WR,NE,LAC,10.90
Demaryius Thomas,WR,DEN,KC,10.29
Alshon Jeffery,WR,PHI,SF,10.43
Stefon Diggs,WR,MIN,CLE,10.18
Chris Hogan,WR,NE,LAC,10.24
Pierre Garcon,WR,SF,PHI,9.58
Devin Funchess,WR,CAR,TB,9.61
DeSean Jackson,WR,TB,CAR,9.84
Ted Ginn,WR,NO,CHI,9.49
Marvin Jones,WR,DET,PIT,9.55
Emmanuel Sanders,WR,DEN,KC,9.08
Nelson Agholor,WR,PHI,SF,9.01
TY Hilton,WR,IND,CIN,9.02
Kenny Stills,WR,MIA,BAL,8.72
Mohamed Sanu,WR,ATL,NYJ,8.31
Devante Parker,WR,MIA,BAL,8.12
Jeremy Maclin,WR,BAL,MIA,7.86
Tyrell Williams,WR,LAC,NE,7.94
Tyler Lockett,WR,SEA,HOU,7.58
Will Fuller,WR,HOU,SEA,7.76
Danny Amendola,WR,NE,LAC,7.40
Robby Anderson,WR,NYJ,ATL,7.58
Paul Richardson,WR,SEA,HOU,7.58
Jermaine Kearse,WR,NYJ,ATL,7.50
Brandon LaFell,WR,CIN,IND,6.97
Jamison Crowder,WR,WAS,DAL,7.00
Marquise Goodwin,WR,SF,PHI,7.11
Josh Doctson,WR,WAS,DAL,7.12
TJ Jones,WR,DET,PIT,6.90
Jordan Matthews,WR,BUF,OAK,6.73
Adam Humphries,WR,TB,CAR,6.69
Donte Moncrief,WR,IND,CIN,6.66
Cole Beasley,WR,DAL,WAS,6.60
Willie Snead,WR,NO,CHI,6.64
Ricardo Louis,WR,CLE,MIN,6.45
Travis Kelce,TE,KC,DEN,10.51
Jordan Reed,TE,WAS,DAL,9.52
Hunter Henry,TE,LAC,NE,9.55
Jimmy Graham,TE,SEA,HOU,8.90
Austin Seferian-Jenkins,TE,NYJ,ATL,8.36
Jason Witten,TE,DAL,WAS,8.15
Kyle Rudolph,TE,MIN,CLE,7.82
Cameron Brate,TE,TB,CAR,7.84
Jared Cook,TE,OAK,BUF,7.66
Jack Doyle,TE,IND,CIN,6.75
Tyler Kroft,TE,CIN,IND,7.11
Zach Miller,TE,CHI,NO,7.15
Ed Dickson,TE,CAR,TB,6.69
Austin Hooper,TE,ATL,NYJ,6.37
Benjamin Watson,TE,BAL,MIA,5.96
George Kittle,TE,SF,PHI,5.91
Vernon Davis,TE,WAS,DAL,5.92
Ryan Griffin,TE,HOU,SEA,5.70
Nick O'Leary,TE,BUF,OAK,5.59
Julius Thomas,TE,MIA,BAL,5.32
Eric Ebron,TE,DET,PIT,5.31
Coby Fleener,TE,NO,CHI,5.41
AJ Derby,TE,DEN,KC,4.73
David Njoku,TE,CLE,MIN,4.93
OJ Howard,TE,TB,CAR,4.94
Jesse James,TE,PIT,DET,4.64
Stephen Anderson,TE,HOU,SEA,4.15
Darren Fells,TE,DET,PIT,4.15
Antonio Gates,TE,LAC,NE,4.00
Dion Sims,TE,CHI,NO,3.82
Seth DeValve,TE,CLE,MIN,3.47
Virgil Green,TE,DEN,KC,3.25
Vance McDonald,TE,PIT,DET,2.96
Nick Boyle,TE,BAL,MIA,2.44
Luke Willson,TE,SEA,HOU,2.37
Demetrius Harris,TE,KC,DEN,2.22
Trey Burton,TE,PHI,SF,2.26
Michael Hoomanawanui,TE,NO,CHI,1.82
Maxx Williams,TE,BAL,MIA,1.67
Eric Tomlinson,TE,NYJ,ATL,1.69
Josh Hill,TE,NO,CHI,1.42
Jeff Heuerman,TE,DEN,KC,1.17
Garrett Celek,TE,SF,PHI,1.03
James Hanna,TE,DAL,WAS,0.94
Brent Celek,TE,PHI,SF,0.82
CJ Uzomah,TE,CIN,IND,0.80
Jordan Leggett,TE,NYJ,ATL,0.77
Levine Toilolo,TE,ATL,NYJ,0.64
Ezekiel Elliott,RB,DAL,WAS,16.87
Melvin Gordon,RB,LAC,NE,15.04
Kareem Hunt,RB,KC,DEN,14.78
Mark Ingram,RB,NO,CHI,14.59
Devonta Freeman,RB,ATL,NYJ,13.87
Christian McCaffrey,RB,CAR,TB,11.65
Jay Ajayi,RB,MIA,BAL,13.15
Alvin Kamara,RB,NO,CHI,11.78
Jordan Howard,RB,CHI,NO,13.00
Joe Mixon,RB,CIN,IND,12.28
Carlos Hyde,RB,SF,PHI,11.02
Jerick McKinnon,RB,MIN,CLE,11.03
Chris Thompson,RB,WAS,DAL,10.47
Lamar Miller,RB,HOU,SEA,10.84
Doug Martin,RB,TB,CAR,11.02
Javorius Allen,RB,BAL,MIA,10.00
Tevin Coleman,RB,ATL,NYJ,9.62
Ameer Abdullah,RB,DET,PIT,9.85
Wendell Smallwood,RB,PHI,SF,9.31
Bilal Powell,RB,NYJ,ATL,8.98
Deandre Washington,RB,OAK,BUF,9.16
Matt Forte,RB,NYJ,ATL,8.71
James White,RB,NE,LAC,8.35
Theo Riddick,RB,DET,PIT,8.19
Duke Johnson,RB,CLE,MIN,8.10
CJ Anderson,RB,DEN,KC,9.29
Jalen Richard,RB,OAK,BUF,8.86
Latavius Murray,RB,MIN,CLE,8.50
Jonathan Stewart,RB,CAR,TB,8.84
LeGarrette Blount,RB,PHI,SF,8.95
Frank Gore,RB,IND,CIN,8.22
Tarik Cohen,RB,CHI,NO,7.34
Rob Kelley,RB,WAS,DAL,8.56
Isaiah Crowell,RB,CLE,MIN,7.59
Dion Lewis,RB,NE,LAC,7.86
Alex Collins,RB,BAL,MIA,7.50
Austin Ekeler,RB,LAC,NE,6.30
Giovani Bernard,RB,CIN,IND,6.39
Marlon Mack,RB,IND,CIN,6.17
Thomas Rawls,RB,SEA,HOU,5.99
Eddie Lacy,RB,SEA,HOU,5.62
Jamaal Charles,RB,DEN,KC,5.19
Mike Gillislee,RB,NE,LAC,5.83
Charles Sims,RB,TB,CAR,4.13
Rex Burkhead,RB,NE,LAC,4.90
JD McKissic,RB,SEA,HOU,4.60
Devontae Booker,RB,DEN,KC,4.34
Mike Tolbert,FB,BUF,OAK,4.96
Wil Lutz,K,NO,CHI,9.00
