Player,Position,Team,Opponent,ESPN_FantasyPoints
Kenneth Dixon,RB,BAL,Mia,0
Cardale Jones,QB,LAC,NE,0
Tajae Sharpe,WR,TEN,** BYE **,--
Paul Perkins,RB,NYG,** BYE **,--
Jordan Payton,WR,CLE,Min,0
Jonathan Williams,RB,BUF,Oak,0
Kevin Hogan,QB,CLE,Min,0
Temarrick Hemingway,TE,LAR,** BYE **,--
Moritz Bohringer,WR,MIN,Cle,0
Keenan Reynolds,WR,BAL,Mia,0
Jerell Adams,TE,NYG,** BYE **,--
Nate Sudfeld,QB,WSH,Dal,0
Kolby Listenbee,WR,BUF,Oak,0
Danny Vitale,RB,CLE,Min,0
Brandon Allen,QB,LAR,** BYE **,--
Michael Thomas,WR,LAR,** BYE **,--
Jeff Driskel,QB,CIN,Ind,0
Kelvin Taylor,RB,ATL,NYJ,0
Aaron Burbridge,WR,SF,Phi,0
Darius Jackson,RB,CLE,Min,0
Rico Gathers,TE,DAL,Wsh,0
Brandon Doughty,QB,MIA,Bal,0
Devin Lucien,WR,NE,LAC,0
Demarcus Ayers,WR,PIT,Det,0
Daniel Braverman,WR,CHI,NO,0
Thomas Duarte,TE,MIA,Bal,0
Daniel Lasco,RB,NO,Chi,0
Devin Lewis Fuller,WR,ATL,NYJ,0
Charone Peake,WR,NYJ,Atl,0
Keith Marshall,RB,WSH,Dal,0
Kenny Lawler,WR,SEA,Hou,0
Zac Brooks,RB,SEA,Hou,0
Beau Sandland,TE,GB,** BYE **,--
Trevone Boykin,QB,SEA,Hou,0
Ben Braunecker,TE,CHI,NO,0
Cole Wick,TE,DET,Pit,0
Taylor Heinicke,QB,MIN,Cle,0
Matt LaCosse,TE,NYG,** BYE **,--
Erik Swoope,TE,IND,Cin,0
Brandon Wilds,RB,CLE,Min,0
Jhurell Pressley,RB,ATL,NYJ,0
Anthony Denham,TE,PHI,SF,0
Byron Marshall,RB,PHI,SF,0
Max McCaffrey,WR,JAX,** BYE **,--
Reggie Bell,WR,NO,Chi,0
Jake Kumerow,WR,CIN,Ind,0
George Atkinson III,RB,OAK,Buf,0
James Wilder Jr.,RB,BUF,Oak,0
D.J. Foster,RB,ARI,** BYE **,--
Bryce Williams,TE,CAR,TB,0
Marquez North,WR,LAR,** BYE **,--
Andy Jones,WR,HOU,Sea,0
Roger Lewis,WR,NYG,** BYE **,--
Xavier Rush,WR,NO,Chi,0
Dom Williams,WR,PHI,SF,0
Damiere Byrd,WR,CAR,TB,0
R.J. Harris,WR,NO,Chi,0
Paul McRoberts,WR,LAR,** BYE **,--
Wendall Williams,WR,HOU,Sea,0
Anthony Dable,WR,ATL,NYJ,0
Darius Jennings,WR,TEN,** BYE **,--
Devon Cajuste,WR,SF,Phi,0
Mitch Mathews,WR,MIA,Bal,0
Stephen Morris,QB,IND,Cin,0
Dreamius Smith,RB,LAC,NE,0
Devon Johnson,RB,CAR,TB,0
Keyarris Garrett,WR,CAR,TB,0
Jalin Marshall,WR,NYJ,Atl,0
Alan Cross,TE,TB,Car,0
Braedon Bowman,TE,NO,Chi,0
Tanner McEvoy,WR,SEA,Hou,0
Brian Parker,TE,NYJ,Atl,0
Troymaine Pope,RB,IND,Cin,0
Glenn Gronkowski,RB,NE,LAC,0
Joe Callahan,QB,GB,** BYE **,--
Johnny Holton,WR,OAK,Buf,0
Julian Howsare,RB,NYJ,Atl,0
Kenneth Farrow,RB,LAC,NE,0
Nelson Spruce,WR,LAR,** BYE **,--
Joshua Perkins,TE,ATL,NYJ,0
Paul Lasike,RB,CHI,NO,0
Scott Simonson,TE,CAR,TB,0
Xavier Grimble,TE,PIT,Det,0
Peyton Barber,RB,TB,Car,0
Don Jackson,RB,GB,** BYE **,--
Geronimo Allison,WR,GB,** BYE **,--
Paul Turner,WR,PHI,SF,0
George Farmer,RB,SEA,Hou,0
Mack Brown,RB,WSH,Dal,0
D.J. Tialavea,TE,ATL,NYJ,0
Matt Lengel,TE,NE,LAC,0
Alex Ellis,TE,JAX,** BYE **,--
Aldrick Rosas,K,NYG,** BYE **,--
Chad Williams,WR,ARI,** BYE **,--
Donnel Pumphrey,RB,PHI,SF,0
De'Angelo Henderson,RB,DEN,KC,0
Jonnu Smith,TE,TEN,** BYE **,--
Elijah Hood,RB,OAK,Buf,0
Brad Kaaya,QB,DET,Pit,0
Chad Kelly,QB,DEN,KC,0
Marquez Williams,RB,JAX,** BYE **,--
Josh Reynolds,WR,LAR,** BYE **,--
Josh Malone,WR,CIN,Ind,0
Leonard Fournette,RB,JAX,** BYE **,--
Malachi Dupre,WR,GB,** BYE **,--
Taywan Taylor,WR,TEN,** BYE **,--
Rodney Adams,WR,MIN,Cle,0
