Player,Position,Team,Opponent,ESPN_FantasyPoints
Blake Bell,TE,MIN,Cle,0.5
David Morgan II,TE,MIN,Cle,0.5
Jehu Chesson,WR,KC,Den,0.5
Anthony Sherman,RB,KC,Den,0.5
Ryan Switzer,WR,DAL,Wsh,0.5
Anthony Fasano,TE,MIA,Bal,0.5
Jarius Wright,WR,MIN,Cle,0.5
Khari Lee,TE,BUF,Oak,0.5
MarQueis Gray,TE,MIA,Bal,0.5
Akeem Hunt,RB,KC,Den,0.5
Leonte Carroo,WR,MIA,Bal,0.5
Andy Janovich,RB,DEN,KC,0.4
Golden Tate,WR,DET,Pit,0.4
Terrell Watson,RB,PIT,Det,0.4
Michael Burton,RB,CHI,NO,0.4
Andre Roberts,WR,ATL,NYJ,0.3
Pharoh Cooper,WR,LAR,** BYE **,--
Jacob Hollister,TE,NE,LAC,0.3
Luke Stocker,TE,TB,Car,0.3
Raheem Mostert,RB,SF,Phi,0.3
James Develin,RB,NE,LAC,0.3
Noah Brown,WR,DAL,Wsh,0.3
Ryan Hewitt,RB,CIN,Ind,0.3
Adam Shaheen,TE,CHI,NO,0.2
Randall Telfer,TE,CLE,Min,0.2
