,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
791,Rashad Ross,WR,BUF,Oak,0,
792,Nic Jacobs,TE,JAX,** BYE **,--,
793,Freddie Martino,WR,TB,Car,0,
794,Blake Annen,TE,BUF,Oak,0,
795,RaShaun Allen,TE,HOU,Sea,0,
796,Justin Perillo,TE,CHI,NO,0,
797,Connor Shaw,QB,CHI,NO,0,
798,Roosevelt Nix,RB,PIT,Det,0,
799,Kevin Smith,WR,SEA,Hou,0,
800,Andre Debose,WR,IND,Cin,0,
801,Jason Myers,K,JAX,** BYE **,--,00-0031492
802,James O'Shaughnessy,TE,JAX,** BYE **,--,00-0031951
803,David Johnson,RB,ARI,** BYE **,--,00-0032187
804,MyCole Pruitt,TE,CHI,NO,0,
805,DiAndre Campbell,WR,SF,Phi,0,
806,Gerald Christian,TE,ARI,** BYE **,--,
807,Issac Blakeney,WR,PIT,Det,0,
808,Geremy Davis,WR,LAC,NE,0,
809,Da'Ron Brown,WR,LAC,NE,0,
810,Neal Sterling,TE,NYJ,Atl,0,
811,Marcus Murphy,RB,NYJ,Atl,0,
812,Kenny Bell,WR,BAL,Mia,0,
813,Dres Anderson,WR,HOU,Sea,0,
814,Jeremy Langford,RB,BAL,Mia,0,
815,Keith Mumphery,WR,HOU,Sea,0,
816,J.J. Nelson,WR,ARI,** BYE **,--,00-0032112
817,Jalston Fowler,RB,TEN,** BYE **,--,00-0032130
818,DeAndrew White,WR,HOU,Sea,0,
819,Malcolm Johnson,RB,SEA,Hou,0,
820,Dylan Thompson,QB,LA,** BYE **,--,
821,Kaelin Clay,WR,BUF,Oak,0,00-0032115
822,Sean Mannion,QB,LA,** BYE **,--,00-0032245
823,Joey Iosefa,RB,NE,LAC,0,
824,Dezmin Lewis,WR,BUF,Oak,0,
825,Garrett Grayson,QB,NO,Chi,0,
826,David Cobb,RB,CHI,NO,0,
827,Devin Smith,WR,NYJ,Atl,0,00-0031934
828,Evan Spencer,WR,TB,Car,0,
829,Rashad Greene Sr.,WR,JAX,** BYE **,--,00-0032170
830,Karlos Williams,RB,PIT,Det,0,
831,Darren Waller,TE,BAL,Mia,0,00-0031610
832,Marcus Mariota,QB,TEN,** BYE **,--,00-0032268
833,Ty Montgomery,RB,GB,** BYE **,--,00-0032200
834,Brett Hundley,QB,GB,** BYE **,--,00-0031589
835,Kenny Hilliard,RB,WSH,Dal,0,
836,Josh Robinson,RB,IND,Cin,0,
837,Aaron Ripkowski,RB,GB,** BYE **,--,00-0031612
838,Rory Anderson,TE,BUF,Oak,0,
839,Chris Conley,WR,KC,Den,0,00-0032128
840,Ben Koyack,TE,JAX,** BYE **,--,00-0032139
841,Kennard Backman,TE,DET,Pit,0,
842,Tyler Varga,RB,IND,Cin,0,
843,Dorial Green-Beckham,WR,PHI,SF,0,
844,T.J. Yeldon,RB,JAX,** BYE **,--,00-0032209
845,Todd Gurley II,RB,LA,** BYE **,--,00-0032241
846,Matt Jones,RB,IND,Cin,0,00-0031939
847,Mike Davis,RB,SEA,Hou,0,
848,Kevin White,WR,CHI,NO,0,00-0031545
849,Cameron Artis-Payne,RB,CAR,TB,0,00-0031599
850,Jaelen Strong,WR,JAX,** BYE **,--,00-0031560
851,Vince Mayle,WR,BAL,Mia,0,00-0032188
852,Mario Alford,WR,CLE,Min,0,
853,DeAndre Smelter,WR,SF,Phi,0,
854,Duron Carter,WR,IND,Cin,0,
855,Antwan Goodley,WR,GB,** BYE **,--,
856,Michael Dyer,RB,OAK,Buf,0,
857,John Crockett,RB,OAK,Buf,0,
858,Terrence Magee,RB,CLE,Min,0,
859,Seantavius Jones,WR,KC,Den,0,
860,Gus Johnson,RB,LAC,NE,0,
861,Zach Zenner,RB,DET,Pit,0,00-0031665
862,Malcolm Brown,RB,LA,** BYE **,--,00-0031806
863,Kyle Brindza,K,NYJ,Atl,0,
864,Terron Ward,RB,ATL,NYJ,0,00-0031682
865,Jarryd Hayne,RB,SF,Phi,0,
866,Josh Lambo,K,JAX,** BYE **,--,
867,Andrew Franks,K,MIA,Bal,0,
868,Brandon Wegher,RB,LA,** BYE **,--,
869,Alonzo Harris,RB,GB,** BYE **,--,
870,Cameron Meredith,WR,CHI,NO,0,00-0031912
871,E.J. Bibbs,TE,WSH,Dal,0,
872,Lucky Whitehead,WR,NYJ,Atl,0,
873,Nikita Whitlock,RB,NYG,** BYE **,--,
874,Quincy Enunwa,WR,NYJ,Atl,0,00-0031023
875,Jerome Cunningham,TE,TEN,** BYE **,--,
876,Matt Hazel,WR,IND,Cin,0,
877,Chris Harper,WR,NYJ,Atl,0,
