Player,Position,Team,Opponent,FantasyFootball_FantasyPoints
Tevin Coleman,RB,ATL,@NYJ,6.0
Isaiah Crowell,RB,CLE,MIN,6.0
Matt Forte,RB,NYJ,ATL,6.0
Ameer Abdullah,RB,DET,PIT,5.5
Doug Martin,RB,TB,CAR,5.5
Thomas Rawls,RB,SEA,HOU,5.5
Jamaal Charles,RB,DEN,@KC,5.0
Alex Collins,RB,BAL,MIA,4.5
Wendell Smallwood,RB,PHI,SF,4.5
Jonathan Stewart,RB,CAR,@TB,4.5
James White,RB,NE,LAC,4.5
Giovani Bernard,RB,CIN,IND,4.0
D'Onta Foreman,RB,HOU,@SEA,4.0
Rob Kelley,RB,WAS,DAL,4.0
Eddie Lacy,RB,SEA,HOU,4.0
Mike Tolbert,RB,BUF,OAK,4.0
Matt Breida,RB,SF,@PHI,3.5
Devontae Booker,RB,DEN,@KC,2.5
Austin Ekeler,RB,LAC,@NE,2.5
Mike Gillislee,RB,NE,LAC,2.5
C.J. Prosise,RB,SEA,HOU,2.5
Kai Forbath,K,MIN,@CLE,11.0
Randy Bullock,K,CIN,IND,9.0
Graham Gano,K,CAR,@TB,9.0
Wil Lutz,K,NO,CHI,9.0
Blair Walsh,K,SEA,HOU,9.0
Harrison Butker,K,KC,DEN,8.0
Chandler Catanzaro,K,NYJ,ATL,8.0
Ka'imi Fairbairn,K,HOU,@SEA,8.0
Matt Prater,K,DET,PIT,8.0
Nick Rose,K,WAS,DAL,8.0
Giorgio Tavecchio,K,OAK,@BUF,8.0
Adam Vinatieri,K,IND,@CIN,8.0
Jake Elliott,K,PHI,SF,7.0
Stephen Gostkowski,K,NE,LAC,7.0
Mike Nugent,K,DAL,@WAS,7.0
Cody Parkey,K,MIA,@BAL,7.0
Chris Boswell,K,PIT,@DET,6.0
Matt Bryant,K,ATL,@NYJ,6.0
Steve Hauschka,K,BUF,OAK,6.0
Patrick Murray,K,TB,CAR,6.0
Nick Novak,K,LAC,@NE,6.0
Connor Barth,K,CHI,@NO,5.0
Zane Gonzalez,K,CLE,MIN,5.0
Robbie Gould,K,SF,@PHI,5.0
Brandon McManus,K,DEN,@KC,5.0
Justin Tucker,K,BAL,MIA,5.0
