Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Rob Gronkowski,TE,14,NE,WAS,10,6,60,160,2,50,16,27,0,0,0,0,0,37.00,2011
2,Antonio Gates,TE,14,LAC,BUF,9,7,78,68,2,17,8,10,0,0,0,0,0,25.80,2011
3,Owen Daniels,TE,14,HOU,CIN,10,7,70,100,0,27,10,14,0,0,0,0,0,20.00,2011
4,Brandon Pettigrew,TE,14,DET,MIN,7,6,86,57,1,17,8,10,0,0,0,0,0,17.70,2011
5,Kevin Boss,TE,14,OAK,GB,7,5,71,43,1,13,6,9,0,0,0,0,0,15.30,2011
6,Jake Ballard,TE,14,NYG,DAL,6,4,67,52,1,21,9,13,0,0,0,0,0,15.20,2011
7,Tony Gonzalez,TE,14,ATL,CAR,11,7,64,82,0,20,8,12,0,0,0,0,0,15.20,2011
8,Aaron Hernandez,TE,14,NE,WAS,7,5,71,84,0,29,12,17,0,0,0,0,0,13.40,2011
9,Greg Olsen,TE,14,CAR,ATL,6,2,33,53,1,44,9,27,0,0,0,0,0,13.30,2011
10,Visanthe Shiancoe,TE,14,MIN,DET,7,3,43,33,1,18,5,11,0,0,0,0,0,12.30,2011
11,Dennis Pitta,TE,14,BAL,IND,4,3,75,29,1,16,7,10,0,0,0,0,0,11.90,2011
12,Joel Dreessen,TE,14,HOU,CIN,3,3,100,22,1,10,7,7,0,0,0,0,0,11.20,2011
13,Jimmy Graham,TE,14,NO,TEN,9,5,56,55,0,33,6,11,0,0,0,0,0,10.50,2011
14,Marcedes Lewis,TE,14,JAX,TB,7,2,29,77,0,62,11,39,0,0,0,0,0,9.70,2011
15,Evan Moore,TE,14,CLE,PIT,5,4,80,55,0,33,11,14,0,0,0,0,0,9.50,2011
16,Jeremy Shockey,TE,14,CAR,ATL,4,2,50,10,1,6,3,5,0,0,0,0,0,9.00,2011
17,Anthony Fasano,TE,14,MIA,PHI,8,3,38,56,0,25,7,19,0,0,0,0,0,8.60,2011
