,Player,Position,Team,Opponent,Points,PlayerID
0,Tom Brady,QB,NE,WAS,29.08,00-0019596
1,Mark Sanchez,QB,NYJ,KC,26.64,00-0026898
2,Joe Webb,QB,MIN,DET,26.26,00-0027796
3,Eli Manning,QB,NYG,DAL,25.8,00-0022803
4,Drew Brees,QB,NO,TEN,25.08,00-0020531
5,Jake Locker,QB,TEN,NO,24.88,00-0027946
6,TJ Yates,QB,HOU,CIN,24.6,
7,John Skelton,QB,ARI,SF,22.78,00-0027754
8,Cam Newton,QB,CAR,ATL,20.64,00-0027939
9,Philip Rivers,QB,LAC,BUF,20.6,00-0022942
10,Aaron Rodgers,QB,GB,OAK,18.24,00-0023459
11,Ben Roethlisberger,QB,PIT,CLE,18.2,00-0022924
12,Matthew Stafford,QB,DET,MIN,17.48,00-0026498
13,Tim Tebow,QB,DEN,CHI,16.34,00-0027876
14,Joe Flacco,QB,BAL,IND,16.08,00-0026158
15,Rex Grossman,QB,WAS,NE,16.08,00-0022121
16,Blaine Gabbert,QB,JAX,TB,14.38,00-0027948
17,Josh Freeman,QB,TB,JAX,12.84,00-0026993
18,Tarvaris Jackson,QB,SEA,LAR,12.36,00-0024279
19,Michael Vick,QB,PHI,MIA,12.22,
20,Tyler Palko,QB,KC,NYJ,12.0,00-0024812
21,Carson Palmer,QB,OAK,GB,11.0,00-0021429
22,Andy Dalton,QB,CIN,HOU,10.76,00-0027973
23,Christian Ponder,QB,MIN,DET,9.9,00-0027950
24,Dan Orlovsky,QB,IND,BAL,8.44,00-0023578
25,Colt McCoy,QB,CLE,PIT,7.86,00-0027688
26,Ryan Fitzpatrick,QB,BUF,LAC,7.64,00-0023682
27,Alex Smith,QB,SF,ARI,6.7,00-0023436
28,Sam Bradford,QB,LA,SEA,6.62,00-0027854
29,Matt Moore,QB,MIA,PHI,5.9,00-0025708
30,Caleb Hanie,QB,CHI,DEN,5.7,00-0025970
31,JP Losman,QB,MIA,PHI,2.5,
32,Matt Hasselbeck,QB,TEN,NO,1.76,00-0007091
33,Seneca Wallace,QB,CLE,PIT,0.52,00-0022055
34,Kevin Kolb,QB,ARI,SF,0.08,00-0025423
35,Mark Brunell,QB,NYJ,KC,0.0,00-0002110
36,Charlie Batch,QB,PIT,CLE,0.0,00-0000865
37,Tyrod Taylor,QB,BAL,IND,0.0,00-0028118
38,Chase Daniel,QB,NO,TEN,0.0,00-0026544
39,Billy Volek,QB,LAC,BUF,-0.2,00-0019041
40,Matt Flynn,QB,GB,OAK,-0.2,00-0026349
41,Josh Johnson,QB,TB,JAX,-0.88,
42,Antonio Brown,WR,PIT,CLE,29.1,00-0027793
43,Julio Jones,WR,ATL,CAR,28.4,00-0027944
44,Nate Washington,WR,TEN,NO,28.0,00-0023367
45,Percy Harvin,WR,MIN,DET,26.9,00-0026998
46,Laurent Robinson,WR,DAL,NYG,26.7,00-0025462
47,Hakeem Nicks,WR,NYG,DAL,25.4,00-0027005
48,Doug Baldwin,WR,SEA,LAR,22.3,00-0028434
49,Wes Welker,WR,NE,WAS,21.6,00-0022427
50,Steve Smith,WR,CAR,ATL,21.5,
51,Roddy White,WR,ATL,CAR,21.4,00-0023462
52,Demaryius Thomas,WR,DEN,CHI,21.3,00-0027874
53,Jabar Gaffney,WR,WAS,NE,21.2,00-0021163
54,Kevin Walter,WR,HOU,CIN,19.6,00-0021931
55,Titus Young,WR,DET,MIN,18.7,00-0027982
56,Steve Johnson,WR,BUF,LAC,18.6,00-0026364
57,Torrey Smith,WR,BAL,IND,17.4,00-0027996
58,Jordy Nelson,WR,GB,OAK,17.1,00-0026176
59,Santana Moss,WR,WAS,NE,17.1,00-0020494
60,Miles Austin,WR,DAL,NYG,16.8,00-0023921
61,Early Doucet,WR,ARI,SF,16.3,00-0026221
62,DeSean Jackson,WR,PHI,MIA,15.9,00-0026189
63,Victor Cruz,WR,NYG,DAL,15.3,00-0027265
64,Mario Manningham,WR,NYG,DAL,14.2,00-0026235
65,Donte' Stallworth,WR,WAS,NE,13.6,00-0021147
66,Michael Crabtree,WR,SF,ARI,13.3,00-0026986
67,Brandon Lloyd,WR,LA,SEA,13.2,00-0022097
68,Dwayne Bowe,WR,KC,NYJ,12.9,00-0025410
69,Darrius Heyward-Bey,WR,OAK,GB,12.8,00-0026983
70,Patrick Crayton,WR,LAC,BUF,12.7,00-0022766
71,Brandon Marshall,WR,MIA,PHI,12.7,00-0024334
72,Dez Bryant,WR,DAL,NYG,12.0,00-0027902
73,Louis Murphy,WR,OAK,GB,12.0,00-0027089
74,Jerome Simpson,WR,CIN,HOU,11.8,00-0026186
75,Mike Wallace,WR,PIT,CLE,11.8,00-0026901
76,Jerheme Urban,WR,KC,NYJ,11.5,00-0021647
77,Matt Willis,WR,DEN,CHI,11.5,00-0024756
78,Donald Driver,WR,GB,OAK,11.5,00-0004541
79,Jerricho Cotchery,WR,PIT,CLE,11.3,00-0022811
80,AJ Green,WR,CIN,HOU,10.9,00-0027942
81,Anquan Boldin,WR,BAL,IND,10.7,00-0022084
82,Vincent Jackson,WR,LAC,BUF,10.5,00-0023496
83,Pierre Garcon,WR,IND,BAL,9.6,00-0026345
84,Jarett Dillard,WR,JAX,TB,9.5,00-0027105
85,Santonio Holmes,WR,NYJ,KC,9.2,00-0024240
86,David Anderson,WR,WAS,NE,9.2,00-0024465
87,Kyle Williams,WR,SF,ARI,8.9,
88,Andre Roberts,WR,ARI,SF,8.8,00-0027691
89,Devin Aromashodu,WR,MIN,DET,8.7,00-0024447
90,Owen Daniels,TE,HOU,CIN,20.0,00-0024313
91,Brandon Pettigrew,TE,DET,MIN,17.7,00-0026996
92,Kevin Boss,TE,OAK,GB,15.3,00-0025540
93,Jake Ballard,TE,NYG,DAL,15.2,00-0027259
94,Tony Gonzalez,TE,ATL,CAR,15.2,00-0006101
95,Aaron Hernandez,TE,NE,WAS,13.4,00-0027713
96,Greg Olsen,TE,CAR,ATL,13.3,00-0025418
97,Visanthe Shiancoe,TE,MIN,DET,12.3,00-0022054
98,Dennis Pitta,TE,BAL,IND,11.9,00-0027714
99,Joel Dreessen,TE,HOU,CIN,11.2,00-0023630
100,Jimmy Graham,TE,NO,TEN,10.5,00-0027696
101,Marcedes Lewis,TE,JAX,TB,9.7,00-0024243
102,Evan Moore,TE,CLE,PIT,9.5,00-0026123
103,Jeremy Shockey,TE,CAR,ATL,9.0,00-0021148
104,Anthony Fasano,TE,MIA,PHI,8.6,00-0024268
105,Jacob Tamme,TE,IND,BAL,8.3,00-0026267
106,John Phillips,TE,DAL,NYG,8.2,00-0027139
107,Brent Celek,TE,PHI,MIA,7.9,00-0025549
108,Jermaine Gresham,TE,CIN,HOU,7.5,00-0027873
109,Ryan Taylor,TE,GB,OAK,7.4,
110,Dustin Keller,TE,NYJ,KC,7.4,00-0026170
111,Kellen Winslow,TE,TB,JAX,5.8,00-0022922
112,Jeff King,TE,ARI,SF,4.6,00-0024369
113,Vernon Davis,TE,SF,ARI,4.2,00-0024221
114,David Johnson,TE,PIT,CLE,4.2,
115,Jason Witten,TE,DAL,NYG,4.2,00-0022127
116,Craig Stevens,TE,TEN,NO,4.1,00-0026225
117,Ed Dickson,TE,BAL,IND,3.9,00-0027675
118,Mike Caussin,TE,BUF,LAC,3.9,00-0027500
119,Alex Smith,TE,CLE,PIT,3.9,
120,Lance Kendricks,TE,LA,SEA,3.6,00-0027985
121,Anthony McCoy,TE,SEA,LAR,3.3,00-0027783
122,Zach Miller,TE,SEA,LAR,3.3,00-0027125
123,Benjamin Watson,TE,CLE,PIT,3.1,00-0022943
124,Randy McMichael,TE,LAC,BUF,2.7,00-0021236
125,Josh Baker,TE,NYJ,KC,2.7,00-0028291
126,Dallas Clark,TE,IND,BAL,2.2,00-0022165
127,Travis Beckum,TE,NYG,DAL,2.1,00-0027070
128,Heath Miller,TE,PIT,CLE,2.1,00-0023465
129,John Gilmore,TE,NO,TEN,1.9,00-0021304
130,Deon Butler,TE,SEA,LAR,1.8,00-0027063
131,Anthony Hill,TE,IND,BAL,1.5,00-0026908
132,Kyle Rudolph,TE,MIN,DET,1.0,00-0027981
133,Lee Smith,TE,BUF,LAC,1.0,00-0028097
134,Cameron Morrah,TE,SEA,LAR,0.1,00-0026963
135,Zack Pianalto,TE,TB,JAX,0.0,00-0028509
136,Logan Paulsen,TE,WAS,NE,0.0,00-0027215
137,Virgil Green,TE,DEN,CHI,0.0,00-0028142
138,Ray Rice,RB,BAL,IND,28.9,00-0026195
139,Brandon Jacobs,RB,NYG,DAL,25.1,00-0023545
140,Marion Barber,RB,CHI,DEN,24.0,00-0023544
141,Ryan Mathews,RB,LAC,BUF,23.8,00-0027864
142,Marshawn Lynch,RB,SEA,LAR,23.3,00-0025399
143,Ryan Grant,RB,GB,OAK,22.8,
144,LeSean McCoy,RB,PHI,MIA,22.1,00-0027029
145,Felix Jones,RB,DAL,NYG,21.7,00-0026162
146,Steven Jackson,RB,LA,SEA,21.3,00-0022736
147,Reggie Bush,RB,MIA,PHI,21.0,00-0024217
148,Toby Gerhart,RB,MIN,DET,19.9,00-0027888
149,Michael Bush,RB,OAK,GB,18.7,00-0025487
150,Roy Helu,RB,WAS,NE,18.2,00-0028043
151,DeAngelo Williams,RB,CAR,ATL,16.1,00-0024242
152,Darren Sproles,RB,NO,TEN,16.1,00-0023564
153,LaDainian Tomlinson,RB,NYJ,KC,14.4,00-0020536
154,LeGarrette Blount,RB,TB,JAX,14.0,00-0027325
155,Frank Gore,RB,SF,ARI,13.2,00-0023500
156,Jacquizz Rodgers,RB,ATL,CAR,12.3,00-0028083
157,Ben Tate,RB,HOU,CIN,11.7,00-0027890
158,Pierre Thomas,RB,NO,TEN,11.7,00-0024813
159,Chris Johnson,RB,TEN,NO,11.6,
160,Kahlil Bell,RB,CHI,DEN,11.4,00-0026579
161,Arian Foster,RB,HOU,CIN,10.4,00-0026796
162,Cedric Benson,RB,CIN,HOU,10.1,00-0023439
163,Jonathan Stewart,RB,CAR,ATL,9.6,00-0026153
164,Lance Ball,RB,DEN,CHI,9.0,00-0026432
165,CJ Spiller,RB,BUF,LAC,8.6,
166,Mike Tolbert,FB,LAC,BUF,8.1,00-0026069
167,Keiland Williams,RB,DET,MIN,8.0,00-0027214
168,Jackie Battle,FB,KC,NYJ,7.9,00-0025701
169,Rashard Mendenhall,RB,PIT,CLE,7.6,00-0026163
170,Michael Turner,RB,ATL,CAR,7.6,00-0022821
171,Evan Royster,RB,WAS,NE,7.0,00-0028115
172,DJ Ware,RB,NYG,DAL,6.8,
173,Kendall Hunter,RB,SF,ARI,5.9,00-0028053
174,Danny Woodhead,RB,NE,WAS,5.5,00-0026019
175,Chris Ivory,RB,NO,TEN,5.3,00-0027531
176,Montario Hardesty,RB,CLE,PIT,5.3,00-0027666
177,Cadillac Williams,RB,LA,SEA,4.9,00-0023440
178,Jeremiah Johnson,RB,DEN,CHI,4.9,00-0026799
179,Marcel Reece,FB,OAK,GB,4.7,00-0026393
180,John Kuhn,FB,GB,OAK,4.6,00-0022999
181,Willis McGahee,RB,DEN,CHI,4.6,00-0022178
182,LaRod Stephens-Howling,RB,ARI,SF,4.5,00-0026956
183,Justin Forsett,RB,SEA,LAR,4.2,00-0026373
184,Kregg Lumpkin,RB,TB,JAX,4.2,00-0026029
185,DeMarco Murray,RB,DAL,NYG,4.1,00-0028009
186,Mike Nugent,K,CIN,HOU,0.0,00-0023482
187,DJ Smith,K,GB,OAK,0.0,
188,Steven Hauschka,K,SEA,LAR,0.0,
189,Matt Prater,K,DEN,CHI,0.0,00-0023853
190,Thomas Howard,K,CIN,HOU,0.0,00-0024253
191,Stephen Gostkowski,K,NE,WAS,0.0,00-0024333
192,Dan Bailey,K,DAL,NYG,0.0,00-0028660
193,John Kasay,K,NO,TEN,0.0,00-0009028
194,Jason Hanson,K,DET,MIN,0.0,00-0006800
195,Graham Gano,K,WAS,NE,0.0,00-0026858
196,Lawrence Tynes,K,NYG,DAL,0.0,00-0019778
197,Neil Rackers,K,HOU,CIN,0.0,00-0019676
198,Josh Brown,K,LA,SEA,0.0,00-0021940
199,Matt Bryant,K,ATL,CAR,0.0,00-0020578
200,Nick Novak,K,LAC,BUF,0.0,00-0023096
201,Robbie Gould,K,CHI,DEN,0.0,00-0023252
202,Ryan Succop,K,KC,NYJ,0.0,00-0026968
203,Billy Cundiff,K,BAL,IND,0.0,00-0020972
204,Alex Henery,K,PHI,MIA,0.0,00-0028058
205,Rob Bironas,K,TEN,NO,0.0,00-0020962
206,Josh Scobee,K,JAX,TB,0.0,00-0022874
207,Nick Folk,K,NYJ,KC,0.0,00-0025565
208,Dave Rayner,K,BUF,LAC,0.0,00-0023635
209,Adam Vinatieri,K,IND,BAL,0.0,00-0016919
210,Dan Carpenter,K,MIA,PHI,0.0,00-0026003
211,Ryan Longwell,K,MIN,DET,0.0,00-0010072
212,Olindo Mare,K,CAR,ATL,0.0,00-0010373
213,Phil Dawson,K,CLE,PIT,0.0,00-0004091
214,Jay Feely,K,ARI,SF,0.0,00-0019770
215,Shaun Suisham,K,PIT,CLE,0.0,00-0023001
216,Sebastian Janikowski,K,OAK,GB,0.0,00-0019646
217,Connor Barth,K,TB,JAX,0.0,00-0026138
218,Philadelphia Eagles,DST,PHI,MIA,21.0,
219,Los Angeles Chargers,DST,LAC,BUF,20.0,
220,Green Bay Packers,DST,GB,OAK,18.0,
221,Seattle Seahawks,DST,SEA,LAR,17.0,
222,Chicago Bears,DST,CHI,DEN,15.0,
223,Cincinnati Bengals,DST,CIN,HOU,14.0,
224,Pittsburgh Steelers,DST,PIT,CLE,14.0,
225,New York Jets,DST,NYJ,KC,13.0,
226,New England Patriots,DST,NE,WAS,12.0,
227,Buffalo Bills,DST,BUF,LAC,11.0,
228,Denver Broncos,DST,DEN,CHI,10.0,
229,Baltimore Ravens,DST,BAL,IND,10.0,
230,Miami Dolphins,DST,MIA,PHI,10.0,
231,Cleveland Browns,DST,CLE,PIT,9.0,
232,San Francisco 49ers,DST,SF,ARI,8.0,
233,New York Giants,DST,NYG,DAL,8.0,
234,Atlanta Falcons,DST,ATL,CAR,6.0,
235,Houston Texans,DST,HOU,CIN,6.0,
236,Arizona Cardinals,DST,ARI,SF,6.0,
237,Indianapolis Colts,DST,IND,BAL,6.0,
238,Oakland Raiders,DST,OAK,GB,6.0,
239,Minnesota Vikings,DST,MIN,DET,5.0,
240,Carolina Panthers,DST,CAR,ATL,4.0,
241,Tampa Bay Buccaneers,DST,TB,JAX,4.0,
242,New Orleans Saints,DST,NO,TEN,3.0,
243,Los Angeles Rams,DST,LA,SEA,3.0,
244,Washington Redskins,DST,WAS,NE,2.0,
245,Tennessee Titans,DST,TEN,NO,2.0,
246,Kansas City Chiefs,DST,KC,NYJ,1.0,
247,Dallas Cowboys,DST,DAL,NYG,-2.0,
