Player,Position,Team,Opponent,Points
Andrew Luck,QB,IND,DEN,31.70
Carson Palmer,QB,ARI,LAC,25.06
Jay Cutler,QB,CHI,BUF,22.96
Peyton Manning,QB,DEN,IND,22.46
Ben Roethlisberger,QB,PIT,CLE,21.40
Andy Dalton,QB,CIN,BAL,21.34
Nick Foles,QB,PHI,JAX,20.88
Joe Flacco,QB,BAL,CIN,20.50
Jake Locker,QB,TEN,KC,20.04
Drew Brees,QB,NO,ATL,19.52
Russell Wilson,QB,SEA,GB,18.54
Chad Henne,QB,JAX,PHI,18.44
Derek Anderson,QB,CAR,TB,18.20
EJ Manuel,QB,BUF,CHI,17.82
Colin Kaepernick,QB,SF,DAL,17.14
Josh McCown,QB,TB,CAR,16.02
Geno Smith,QB,NYJ,OAK,14.64
Matt Cassel,QB,MIN,LAR,14.60
Derek Carr,QB,OAK,NYJ,13.94
Ryan Tannehill,QB,MIA,NE,13.92
Philip Rivers,QB,LAC,ARI,13.52
Ryan Fitzpatrick,QB,HOU,WAS,13.24
Brian Hoyer,QB,CLE,PIT,13.00
Alex Smith,QB,KC,TEN,12.68
Tom Brady,QB,NE,MIA,12.26
Tony Romo,QB,DAL,SF,12.24
Aaron Rodgers,QB,GB,SEA,10.56
Robert Griffin III,QB,WAS,HOU,9.88
Eli Manning,QB,NYG,DET,8.52
Austin Davis,QB,LAR,MIN,6.68
Shaun Hill,QB,LAR,MIN,2.14
Luke McCown,QB,NO,ATL,0.00
Michael Vick,QB,NYJ,OAK,0.00
AJ Green,WR,CIN,BAL,28.60
Steve Smith,WR,BAL,CIN,27.80
Antonio Brown,WR,PIT,CLE,25.60
Cordarrelle Patterson,WR,MIN,LAR,24.80
Brandin Cooks,WR,NO,ATL,22.50
Kelvin Benjamin,WR,CAR,TB,21.20
Julio Jones,WR,ATL,NO,20.60
Michael Floyd,WR,ARI,LAC,20.10
Mike Wallace,WR,MIA,NE,20.10
Brandon Marshall,WR,CHI,BUF,20.10
Jeremy Maclin,WR,PHI,JAX,19.70
DeAndre Hopkins,WR,HOU,WAS,18.90
Reggie Wayne,WR,IND,DEN,18.80
Roddy White,WR,ATL,NO,18.20
Marques Colston,WR,NO,ATL,18.00
Anquan Boldin,WR,SF,DAL,17.90
Randall Cobb,WR,GB,SEA,17.80
Greg Jennings,WR,MIN,LAR,17.80
Pierre Garcon,WR,WAS,HOU,17.70
Julian Edelman,WR,NE,MIA,17.60
Jordy Nelson,WR,GB,SEA,17.30
Percy Harvin,WR,SEA,GB,17.00
Brian Quick,WR,LAR,MIN,16.90
Andrew Hawkins,WR,CLE,PIT,16.70
Kendall Wright,WR,TEN,KC,16.60
Markus Wheaton,WR,PIT,CLE,15.70
Golden Tate,WR,DET,NYG,15.70
Rod Streater,WR,OAK,NYJ,15.60
Donnie Avery,WR,KC,TEN,15.40
Andre Johnson,WR,HOU,WAS,15.30
Terrance Williams,WR,DAL,SF,15.00
Malcom Floyd,WR,LAC,ARI,15.00
Devin Hester,WR,ATL,NO,14.90
Emmanuel Sanders,WR,DEN,IND,14.80
Hakeem Nicks,WR,IND,DEN,14.60
DeSean Jackson,WR,WAS,HOU,13.30
Harry Douglas,WR,ATL,NO,12.90
James Jones,WR,OAK,NYJ,12.40
Eric Decker,WR,NYJ,OAK,12.40
Marqise Lee,WR,JAX,PHI,12.20
Alshon Jeffery,WR,CHI,BUF,12.10
Ricardo Lockette,WR,SEA,GB,11.80
Robert Woods,WR,BUF,CHI,11.80
Travis Benjamin,WR,CLE,PIT,11.00
John Brown,WR,ARI,LAC,10.90
Chris Owusu,WR,TB,CAR,10.00
Mohamed Sanu,WR,CIN,BAL,10.00
Nate Washington,WR,TEN,KC,9.90
Martellus Bennett,TE,CHI,BUF,21.00
Vernon Davis,TE,SF,DAL,20.40
Dennis Pitta,TE,BAL,CIN,18.30
Zach Ertz,TE,PHI,JAX,16.70
Larry Donnell,TE,NYG,DET,16.60
Dwayne Allen,TE,IND,DEN,16.40
Jimmy Graham,TE,NO,ATL,16.20
Antonio Gates,TE,LAC,ARI,14.10
Rob Gronkowski,TE,NE,MIA,14.00
Delanie Walker,TE,TEN,KC,12.70
Anthony Fasano,TE,KC,TEN,11.90
Niles Paul,TE,WAS,HOU,11.60
Levine Toilolo,TE,ATL,NO,10.90
Brandon Myers,TE,TB,CAR,10.10
Kyle Rudolph,TE,MIN,LAR,9.60
Jared Cook,TE,LAR,MIN,9.60
Marcedes Lewis,TE,JAX,PHI,9.50
Jeff Cumberland,TE,NYJ,OAK,9.00
Travis Kelce,TE,KC,TEN,7.90
Owen Daniels,TE,BAL,CIN,7.40
Zach Miller,TE,SEA,GB,7.20
Jordan Cameron,TE,CLE,PIT,6.70
Tyler Eifert,TE,CIN,BAL,6.70
Mychal Rivera,TE,OAK,NYJ,6.10
Joseph Fauria,TE,DET,NYG,5.60
Heath Miller,TE,PIT,CLE,5.60
Andrew Quarless,TE,GB,SEA,5.60
Coby Fleener,TE,IND,DEN,5.10
Jim Dray,TE,CLE,PIT,5.00
Charles Clay,TE,MIA,NE,4.70
Tim Wright,TE,NE,MIA,4.50
Brent Celek,TE,PHI,JAX,4.50
Ladarius Green,TE,LAC,ARI,4.40
Taylor Thompson,TE,TEN,KC,4.40
Austin Seferian-Jenkins,TE,TB,CAR,3.60
Jermaine Gresham,TE,CIN,BAL,3.60
Jason Witten,TE,DAL,SF,3.40
Rhett Ellison,TE,MIN,LAR,3.20
Lance Kendricks,TE,LAR,MIN,3.20
John Carlson,TE,ARI,LAC,3.00
Jace Amaro,TE,NYJ,OAK,2.70
Rob Housler,TE,ARI,LAC,2.60
Gary Barnidge,TE,CLE,PIT,2.30
Brian Leonhardt,TE,OAK,NYJ,2.20
Dante Rosario,TE,CHI,BUF,2.20
Logan Paulsen,TE,WAS,HOU,2.00
Dion Sims,TE,MIA,NE,1.90
Brandon Pettigrew,TE,DET,NYG,1.90
DeMarco Murray,RB,DAL,SF,25.30
Matt Forte,RB,CHI,BUF,24.90
Knowshon Moreno,RB,MIA,NE,22.40
Chris Johnson,RB,NYJ,OAK,20.10
Rashad Jennings,RB,NYG,DET,19.60
Justin Forsett,RB,BAL,CIN,19.40
Chris Ivory,RB,NYJ,OAK,19.20
Mark Ingram,RB,NO,ATL,19.10
Darren Sproles,RB,PHI,JAX,18.50
Shane Vereen,RB,NE,MIA,18.10
LeSean McCoy,RB,PHI,JAX,17.50
Giovani Bernard,RB,CIN,BAL,17.00
Lamar Miller,RB,MIA,NE,16.80
Montee Ball,RB,DEN,IND,16.30
Arian Foster,RB,HOU,WAS,16.00
CJ Spiller,RB,BUF,CHI,15.40
Isaiah Crowell,RB,CLE,PIT,15.20
Pierre Thomas,RB,NO,ATL,14.90
Ryan Mathews,RB,LAC,ARI,14.00
Ahmad Bradshaw,RB,IND,DEN,13.50
Antone Smith,RB,ATL,NO,13.10
Terrance West,RB,CLE,PIT,13.00
Joique Bell,RB,DET,NYG,12.60
Reggie Bush,RB,DET,NYG,12.40
Andre Ellington,RB,ARI,LAC,12.00
Stepfan Taylor,RB,ARI,LAC,11.60
Adrian Peterson,RB,MIN,LAR,11.30
Carlos Hyde,RB,SF,DAL,11.00
Jacquizz Rodgers,RB,ATL,NO,10.50
Fred Jackson,RB,BUF,CHI,10.40
Alfred Morris,RB,WAS,HOU,9.10
Benjamin Cunningham,RB,LAR,MIN,9.10
Bobby Rainey,RB,TB,CAR,9.00
Khiry Robinson,RB,NO,ATL,8.80
Derrick Coleman,FB,SEA,GB,8.50
Roy Helu,RB,WAS,HOU,8.10
Trent Richardson,RB,IND,DEN,8.10
Toby Gerhart,RB,JAX,PHI,7.70
Eddie Lacy,RB,GB,SEA,7.50
Jamaal Charles,RB,KC,TEN,7.40
DeAngelo Williams,RB,CAR,TB,7.20
Darrel Young,FB,WAS,HOU,7.20
Shonn Greene,RB,TEN,KC,7.10
James Starks,RB,GB,SEA,6.80
Jonathan Stewart,RB,CAR,TB,6.70
LeGarrette Blount,RB,PIT,CLE,6.60
Frank Gore,RB,SF,DAL,6.30
John Kuhn,FB,GB,SEA,6.20
Mike Nugent,K,CIN,BAL,0.00
Ryan Succop,K,TEN,KC,0.00
Blair Walsh,K,MIN,LAR,0.00
Shaun Suisham,K,PIT,CLE,0.00
Cody Parkey,K,PHI,JAX,0.00
Dan Carpenter,K,BUF,CHI,0.00
Steven Hauschka,K,SEA,GB,0.00
Shayne Graham,K,NO,ATL,0.00
Billy Cundiff,K,CLE,PIT,0.00
Nate Freese,K,DET,NYG,0.00
Stephen Gostkowski,K,NE,MIA,0.00
Graham Gano,K,CAR,TB,0.00
Robbie Gould,K,CHI,BUF,0.00
Greg Zuerlein,K,LAR,MIN,0.00
Brandon McManus,K,DEN,IND,0.00
Nick Folk,K,NYJ,OAK,0.00
Chandler Catanzaro,K,ARI,LAC,0.00
Adam Vinatieri,K,IND,DEN,0.00
Dan Bailey,K,DAL,SF,0.00
Randy Bullock,K,HOU,WAS,0.00
Nick Novak,K,LAC,ARI,0.00
Josh Scobee,K,JAX,PHI,0.00
Phil Dawson,K,SF,DAL,0.00
Mason Crosby,K,GB,SEA,0.00
Justin Tucker,K,BAL,CIN,0.00
Cairo Santos,K,KC,TEN,0.00
Patrick Murray,K,TB,CAR,0.00
