Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Houston Texans,DST,1,HOU,WAS,5,3,14,0,2,0,0,1,6,24.00,2014
2,Minnesota Vikings,DST,1,MIN,LAR,7,5,8,2,0,0,1,0,6,22.00,2014
3,San Francisco 49ers,DST,1,SF,DAL,4,3,4,3,1,0,1,0,17,18.00,2014
4,Tennessee Titans,DST,1,TEN,KC,6,4,5,3,0,0,0,0,10,14.00,2014
5,Philadelphia Eagles,DST,1,PHI,JAX,6,3,4,0,1,0,1,0,17,14.00,2014
6,Miami Dolphins,DST,1,MIA,NE,3,4,6,0,2,0,0,0,20,11.00,2014
7,Carolina Panthers,DST,1,CAR,TB,4,3,7,2,1,0,0,0,14,10.00,2014
8,Jacksonville Jaguars,DST,1,JAX,PHI,11,5,4,1,2,0,0,0,34,10.00,2014
9,Buffalo Bills,DST,1,BUF,CHI,3,2,3,2,1,0,0,0,20,9.00,2014
10,Los Angeles Chargers,DST,1,LAC,ARI,2,2,4,0,2,0,0,0,18,9.00,2014
11,Cincinnati Bengals,DST,1,CIN,BAL,4,3,7,1,1,0,0,0,16,8.00,2014
12,Seattle Seahawks,DST,1,SEA,GB,5,3,4,1,0,1,0,0,16,8.00,2014
13,Denver Broncos,DST,1,DEN,IND,5,3,6,2,0,0,0,0,24,7.00,2014
14,Detroit Lions,DST,1,DET,NYG,3,2,9,2,0,0,0,0,14,7.00,2014
15,Oakland Raiders,DST,1,OAK,NYJ,6,2,1,1,1,0,0,0,19,7.00,2014
16,New England Patriots,DST,1,NE,MIA,3,1,2,1,2,0,0,0,33,6.00,2014
17,Cleveland Browns,DST,1,CLE,PIT,6,4,4,1,0,0,0,0,30,5.00,2014
18,Kansas City Chiefs,DST,1,KC,TEN,4,4,8,0,0,0,0,0,26,4.00,2014
19,Washington Redskins,DST,1,WAS,HOU,3,1,4,0,1,0,0,0,17,4.00,2014
20,Arizona Cardinals,DST,1,ARI,LAC,8,0,4,1,0,0,0,0,17,3.00,2014
21,Atlanta Falcons,DST,1,ATL,NO,1,0,0,1,1,0,0,0,34,3.00,2014
22,Chicago Bears,DST,1,CHI,BUF,3,1,2,1,0,0,0,0,23,3.00,2014
23,New York Jets,DST,1,NYJ,OAK,4,2,3,0,0,0,0,0,14,3.00,2014
24,Pittsburgh Steelers,DST,1,PIT,CLE,8,3,5,0,0,0,0,0,27,3.00,2014
25,Green Bay Packers,DST,1,GB,SEA,1,1,1,0,1,0,0,0,36,2.00,2014
26,Tampa Bay Buccaneers,DST,1,TB,CAR,6,1,4,0,0,0,0,0,20,2.00,2014
27,Baltimore Ravens,DST,1,BAL,CIN,1,0,0,0,0,0,0,0,23,2.00,2014
28,Dallas Cowboys,DST,1,DAL,SF,2,1,3,0,0,0,0,0,28,1.00,2014
29,Indianapolis Colts,DST,1,IND,DEN,2,1,3,0,0,0,0,0,31,0.00,2014
30,Los Angeles Rams,DST,1,LAR,MIN,5,1,4,0,0,0,0,0,34,0.00,2014
31,New Orleans Saints,DST,1,NO,ATL,1,1,3,0,1,0,0,0,37,-1.00,2014
32,New York Giants,DST,1,NYG,DET,4,1,1,0,0,0,0,0,35,-3.00,2014
