Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Chicago Bears,DST,7,CHI,CAR,9,5,11,2,1,0,2,0,3,30.00,2017
2,Los Angeles Chargers,DST,7,LAC,DEN,8,5,6,1,2,0,0,1,0,27.00,2017
3,Jacksonville Jaguars,DST,7,JAX,IND,13,10,21,0,0,0,0,0,0,20.00,2017
4,Los Angeles Rams,DST,7,LAR,ARI,4,3,6,2,0,0,0,0,0,17.00,2017
5,Dallas Cowboys,DST,7,DAL,SF,9,5,9,0,3,0,0,0,10,15.00,2017
6,Carolina Panthers,DST,7,CAR,CHI,7,4,4,0,0,0,0,0,17,13.00,2017
7,Tennessee Titans,DST,7,TEN,CLE,4,2,7,3,0,0,0,0,9,12.00,2017
8,Pittsburgh Steelers,DST,7,PIT,CIN,6,4,7,2,0,0,0,0,14,9.00,2017
9,Cleveland Browns,DST,7,CLE,TEN,6,2,3,0,1,0,0,0,12,8.00,2017
10,Buffalo Bills,DST,7,BUF,TB,4,1,5,1,2,0,0,0,27,7.00,2017
11,Seattle Seahawks,DST,7,SEA,NYG,4,1,6,0,1,0,0,0,7,7.00,2017
12,New England Patriots,DST,7,NE,ATL,4,1,3,0,0,0,0,0,7,7.00,2017
13,Minnesota Vikings,DST,7,MIN,BAL,12,5,6,0,0,0,0,0,16,6.00,2017
14,New York Jets,DST,7,NYJ,MIA,8,3,12,2,0,0,0,0,31,6.00,2017
15,Miami Dolphins,DST,7,MIA,NYJ,4,3,5,1,1,0,0,0,28,6.00,2017
16,Philadelphia Eagles,DST,7,PHI,WAS,8,4,10,1,0,0,0,0,24,6.00,2017
17,Green Bay Packers,DST,7,GB,NO,4,1,3,2,0,0,0,0,26,5.00,2017
18,Indianapolis Colts,DST,7,IND,JAX,2,1,5,0,2,0,0,0,27,5.00,2017
19,New Orleans Saints,DST,7,NO,GB,3,1,3,1,0,0,0,0,17,4.00,2017
20,Washington Redskins,DST,7,WAS,PHI,8,3,6,1,0,0,0,0,34,4.00,2017
21,Denver Broncos,DST,7,DEN,LAC,6,3,4,0,0,0,0,0,21,3.00,2017
22,New York Giants,DST,7,NYG,SEA,6,1,7,0,1,0,0,0,24,3.00,2017
23,Baltimore Ravens,DST,7,BAL,MIN,5,0,3,1,0,0,0,0,24,2.00,2017
24,Tampa Bay Buccaneers,DST,7,TB,BUF,5,1,5,0,1,0,0,0,30,2.00,2017
25,Arizona Cardinals,DST,7,ARI,LAR,4,1,4,1,0,0,0,0,33,2.00,2017
26,Atlanta Falcons,DST,7,ATL,NE,4,2,2,0,0,0,0,0,23,2.00,2017
27,Kansas City Chiefs,DST,7,KC,OAK,6,0,0,0,0,0,0,0,31,1.00,2017
28,Oakland Raiders,DST,7,OAK,KC,3,1,5,0,0,0,0,0,30,0.00,2017
29,Cincinnati Bengals,DST,7,CIN,PIT,7,0,1,0,0,0,0,0,29,-1.00,2017
30,San Francisco 49ers,DST,7,SF,DAL,3,0,2,0,0,0,0,0,40,-4.00,2017
