Player,Position,Team,Opponent,Points
Matthew Stafford,QB,DET,ARI,28.08
Carson Wentz,QB,PHI,WAS,23.88
Trevor Siemian,QB,DEN,LAC,23.66
Matt Ryan,QB,ATL,CHI,20.94
Aaron Rodgers,QB,GB,SEA,20.54
Tyrod Taylor,QB,BUF,NYJ,19.76
Deshone Kizer,QB,CLE,PIT,19.58
Jared Goff,QB,LAR,IND,19.44
Marcus Mariota,QB,TEN,OAK,18.84
Derek Carr,QB,OAK,TEN,18.68
Philip Rivers,QB,LAC,DEN,18.68
Dak Prescott,QB,DAL,NYG,17.12
Ben Roethlisberger,QB,PIT,CLE,16.72
Drew Brees,QB,NO,MIN,15.64
Cam Newton,QB,CAR,SF,14.14
Kirk Cousins,QB,WAS,PHI,13.60
Mike Glennon,QB,CHI,ATL,12.52
Carson Palmer,QB,ARI,DET,11.92
Josh McCown,QB,NYJ,BUF,11.48
Tom Brady,QB,NE,KC,10.68
Blake Bortles,QB,JAX,HOU,10.30
Russell Wilson,QB,SEA,GB,9.32
Joe Flacco,QB,BAL,CIN,7.84
Eli Manning,QB,NYG,DAL,7.70
Deshaun Watson,QB,HOU,JAX,7.68
Brian Hoyer,QB,SF,CAR,5.22
Scott Tolzien,QB,IND,LAR,3.32
Jacoby Brissett,QB,IND,LAR,2.04
Andy Dalton,QB,CIN,BAL,2.00
Tom Savage,QB,HOU,JAX,0.48
Jake Rudock,QB,DET,ARI,0.00
Joe Webb,QB,BUF,NYJ,0.00
Matt Schaub,QB,ATL,CHI,0.00
Mitch Trubisky,QB,CHI,ATL,0.00
Sean Mannion,QB,LAR,IND,-0.22
Stefon Diggs,WR,MIN,NO,27.70
Adam Thielen,WR,MIN,NO,27.70
Golden Tate,WR,DET,ARI,24.40
Kenny Golladay,WR,DET,ARI,22.90
Jordy Nelson,WR,GB,SEA,20.90
Nelson Agholor,WR,PHI,WAS,20.60
Danny Amendola,WR,NE,KC,19.00
DeAndre Hopkins,WR,HOU,JAX,18.50
Cooper Kupp,WR,LAR,IND,17.60
Randall Cobb,WR,GB,SEA,17.50
Amari Cooper,WR,OAK,TEN,17.20
Bennie Fowler,WR,DEN,LAC,17.10
Corey Coleman,WR,CLE,PIT,16.30
JJ Nelson,WR,ARI,DET,15.30
Keenan Allen,WR,LAC,DEN,14.50
Michael Crabtree,WR,OAK,TEN,14.30
Pierre Garcon,WR,SF,CAR,14.10
Jeremy Maclin,WR,BAL,CIN,13.60
Larry Fitzgerald,WR,ARI,DET,13.40
Russell Shepard,WR,CAR,SF,13.30
Travis Benjamin,WR,LAC,DEN,13.30
Corey Davis,WR,TEN,OAK,12.90
Jermaine Kearse,WR,NYJ,BUF,12.90
Terrance Williams,WR,DAL,NYG,12.80
Terrelle Pryor,WR,WAS,PHI,12.60
AJ Green,WR,CIN,BAL,12.40
Rishard Matthews,WR,TEN,OAK,12.10
Sterling Shepard,WR,NYG,DAL,12.00
Brandin Cooks,WR,NE,KC,11.80
Marvin Jones,WR,DET,ARI,11.70
Demaryius Thomas,WR,DEN,LAC,11.70
Sammy Watkins,WR,LAR,IND,10.80
Mohamed Sanu,WR,ATL,CHI,10.70
Julio Jones,WR,ATL,CHI,10.60
Tyrell Williams,WR,LAC,DEN,10.40
Ryan Grant,WR,WAS,PHI,10.10
Doug Baldwin,WR,SEA,GB,10.00
Paul Richardson,WR,SEA,GB,9.90
Ted Ginn,WR,NO,MIN,9.80
Michael Thomas,WR,NO,MIN,9.50
Roger Lewis,WR,NYG,DAL,9.40
Seth Roberts,WR,OAK,TEN,8.90
Alshon Jeffery,WR,PHI,WAS,8.80
Albert Wilson,WR,KC,NE,8.70
Robert Woods,WR,LAR,IND,8.30
John Brown,WR,ARI,DET,8.20
Jordan Matthews,WR,BUF,NYJ,8.10
Davante Adams,WR,GB,SEA,7.70
Jason Witten,TE,DAL,NYG,18.90
Zach Ertz,TE,PHI,WAS,17.30
Coby Fleener,TE,NO,MIN,16.40
Charles Clay,TE,BUF,NYJ,15.30
Delanie Walker,TE,TEN,OAK,14.60
Kyle Rudolph,TE,MIN,NO,11.60
Jared Cook,TE,OAK,TEN,10.60
Demetrius Harris,TE,KC,NE,9.50
Travis Kelce,TE,KC,NE,9.40
CJ Fiedorowicz,TE,HOU,JAX,8.60
Jordan Reed,TE,WAS,PHI,8.60
Evan Engram,TE,NYG,DAL,8.40
Seth DeValve,TE,CLE,PIT,8.20
Zach Miller,TE,CHI,ATL,7.90
George Kittle,TE,SF,CAR,7.70
Martellus Bennett,TE,GB,SEA,7.30
Will Tye,TE,NYJ,BUF,6.40
AJ Derby,TE,DEN,LAC,6.40
Jack Doyle,TE,IND,LAR,6.10
Virgil Green,TE,DEN,LAC,5.40
Rob Gronkowski,TE,NE,KC,5.30
Dion Sims,TE,CHI,ATL,5.10
Gerald Everett,TE,LAR,IND,4.90
Eric Tomlinson,TE,NYJ,BUF,4.50
Jermaine Gresham,TE,ARI,DET,4.50
David Njoku,TE,CLE,PIT,4.00
Greg Olsen,TE,CAR,SF,3.80
Lance Kendricks,TE,GB,SEA,3.80
Jimmy Graham,TE,SEA,GB,3.80
Tyler Higbee,TE,LAR,IND,3.70
Antonio Gates,TE,LAC,DEN,3.70
Stephen Anderson,TE,HOU,JAX,3.40
Nick O'Leary,TE,BUF,NYJ,3.20
Jeff Heuerman,TE,DEN,LAC,3.00
Eric Ebron,TE,DET,ARI,2.90
James O'Shaughnessy,TE,JAX,HOU,2.80
Nick Boyle,TE,BAL,CIN,2.40
Derek Carrier,TE,LAR,IND,2.20
Brent Celek,TE,PHI,WAS,2.10
Nick Vannett,TE,SEA,GB,2.00
Rhett Ellison,TE,NYG,DAL,1.90
Maxx Williams,TE,BAL,CIN,1.50
Tyler Kroft,TE,CIN,BAL,1.50
