,Player,Position,Team,Opponent,Points,PlayerID
0,Matthew Stafford,QB,DET,ARI,28.08,00-0026498
1,Carson Wentz,QB,PHI,WAS,23.88,00-0032950
2,Trevor Siemian,QB,DEN,LAC,23.66,00-0032156
3,Matt Ryan,QB,ATL,CHI,20.94,00-0026143
4,Aaron Rodgers,QB,GB,SEA,20.54,00-0023459
5,Tyrod Taylor,QB,BUF,NYJ,19.76,00-0028118
6,Deshone Kizer,QB,CLE,PIT,19.58,00-0033899
7,Jared Goff,QB,LA,IND,19.44,00-0033106
8,Marcus Mariota,QB,TEN,OAK,18.84,00-0032268
9,Derek Carr,QB,OAK,TEN,18.68,00-0031280
10,Philip Rivers,QB,LAC,DEN,18.68,00-0022942
11,Dak Prescott,QB,DAL,NYG,17.12,00-0033077
12,Ben Roethlisberger,QB,PIT,CLE,16.72,00-0022924
13,Drew Brees,QB,NO,MIN,15.64,00-0020531
14,Cam Newton,QB,CAR,SF,14.14,00-0027939
15,Kirk Cousins,QB,WAS,PHI,13.6,00-0029604
16,Mike Glennon,QB,CHI,ATL,12.52,00-0030520
17,Carson Palmer,QB,ARI,DET,11.92,00-0021429
18,Josh McCown,QB,NYJ,BUF,11.48,00-0021206
19,Tom Brady,QB,NE,KC,10.68,00-0019596
20,Blake Bortles,QB,JAX,HOU,10.3,00-0031407
21,Russell Wilson,QB,SEA,GB,9.32,00-0029263
22,Joe Flacco,QB,BAL,CIN,7.84,00-0026158
23,Eli Manning,QB,NYG,DAL,7.7,00-0022803
24,Deshaun Watson,QB,HOU,JAX,7.68,00-0033537
25,Brian Hoyer,QB,SF,CAR,5.22,00-0026625
26,Scott Tolzien,QB,IND,LAR,3.32,00-0028595
27,Jacoby Brissett,QB,IND,LAR,2.04,00-0033119
28,Andy Dalton,QB,CIN,BAL,2.0,00-0027973
29,Tom Savage,QB,HOU,JAX,0.48,00-0031064
30,Jake Rudock,QB,DET,ARI,0.0,00-0032431
31,Joe Webb,QB,BUF,NYJ,0.0,00-0027796
32,Matt Schaub,QB,ATL,CHI,0.0,00-0022787
33,Mitch Trubisky,QB,CHI,ATL,0.0,00-0033869
34,Sean Mannion,QB,LA,IND,-0.22,00-0032245
35,Stefon Diggs,WR,MIN,NO,27.7,00-0031588
36,Adam Thielen,WR,MIN,NO,27.7,00-0030035
37,Golden Tate,WR,DET,ARI,24.4,00-0027891
38,Kenny Golladay,WR,DET,ARI,22.9,00-0033932
39,Jordy Nelson,WR,GB,SEA,20.9,00-0026176
40,Nelson Agholor,WR,PHI,WAS,20.6,00-0031549
41,Danny Amendola,WR,NE,KC,19.0,00-0026035
42,DeAndre Hopkins,WR,HOU,JAX,18.5,00-0030564
43,Cooper Kupp,WR,LA,IND,17.6,00-0033908
44,Randall Cobb,WR,GB,SEA,17.5,00-0028002
45,Amari Cooper,WR,OAK,TEN,17.2,00-0031544
46,Bennie Fowler,WR,DEN,LAC,17.1,00-0030670
47,Corey Coleman,WR,CLE,PIT,16.3,00-0032966
48,JJ Nelson,WR,ARI,DET,15.3,00-0032112
49,Keenan Allen,WR,LAC,DEN,14.5,00-0030279
