Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Antonio Brown,WR,1,PIT,CLE,11,11,100,182,0,50,17,17,0,0,0,1,0,32.20,2017
2,Tyreek Hill,WR,1,KC,NE,8,7,88,133,1,75,17,19,2,5,0,1,0,29.80,2017
3,Stefon Diggs,WR,1,MIN,NO,8,7,88,93,2,30,12,13,1,-6,0,0,0,27.70,2017
4,Adam Thielen,WR,1,MIN,NO,10,9,90,157,0,44,16,17,0,0,0,0,0,27.70,2017
5,Golden Tate,WR,1,DET,ARI,12,10,83,107,0,19,9,11,2,7,0,0,0,24.40,2017
6,Kenny Golladay,WR,1,DET,ARI,7,4,57,69,2,45,10,17,0,0,0,0,0,22.90,2017
7,Jordy Nelson,WR,1,GB,SEA,8,7,88,79,1,32,10,11,0,0,0,0,0,20.90,2017
8,Nelson Agholor,WR,1,PHI,WAS,8,6,75,86,1,58,11,14,0,0,0,0,0,20.60,2017
9,Danny Amendola,WR,1,NE,KC,7,6,86,100,0,27,14,17,0,0,0,1,0,19.00,2017
10,DeAndre Hopkins,WR,1,HOU,JAX,16,7,44,55,1,12,3,8,0,0,0,0,0,18.50,2017
11,Cooper Kupp,WR,1,LAR,IND,6,4,67,76,1,28,13,19,0,0,0,0,0,17.60,2017
12,Randall Cobb,WR,1,GB,SEA,13,9,69,85,0,29,7,9,0,0,0,0,0,17.50,2017
13,Amari Cooper,WR,1,OAK,TEN,13,5,39,62,1,23,5,12,0,0,0,1,0,17.20,2017
14,Bennie Fowler,WR,1,DEN,LAC,4,3,75,21,2,10,5,7,0,0,0,0,0,17.10,2017
15,Corey Coleman,WR,1,CLE,PIT,6,5,83,53,1,23,9,11,0,0,0,0,0,16.30,2017
16,JJ Nelson,WR,1,ARI,DET,6,5,83,43,1,14,7,9,0,0,0,0,0,15.30,2017
17,Keenan Allen,WR,1,LAC,DEN,10,5,50,35,1,9,4,7,0,0,0,0,0,14.50,2017
