,Player,Position,Team,Opponent,Points,PlayerID
0,Josh Freeman,QB,TB,KC,27.62,00-0026993
1,Michael Vick,QB,PHI,DET,27.34,
2,Sam Bradford,QB,LA,MIA,27.0,00-0027854
3,Andy Dalton,QB,CIN,CLE,26.74,00-0027973
4,Peyton Manning,QB,DEN,LAC,26.06,00-0010346
5,Christian Ponder,QB,MIN,WAS,25.38,00-0027950
6,Matthew Stafford,QB,DET,PHI,25.14,00-0026498
7,Tom Brady,QB,NE,SEA,24.8,00-0019596
8,Russell Wilson,QB,SEA,NE,24.42,00-0029263
9,Ben Roethlisberger,QB,PIT,TEN,21.92,00-0022924
10,Carson Palmer,QB,OAK,ATL,19.12,00-0021429
11,Tony Romo,QB,DAL,BAL,17.44,00-0021678
12,Ryan Tannehill,QB,MIA,LAR,17.0,00-0029701
13,Brandon Weeden,QB,CLE,CIN,16.54,00-0029677
14,Matt Hasselbeck,QB,TEN,PIT,14.8,00-0007091
15,Kevin Kolb,QB,ARI,BUF,14.72,00-0025423
16,Joe Flacco,QB,BAL,DAL,13.56,00-0026158
17,Matt Ryan,QB,ATL,OAK,12.46,00-0026143
18,Philip Rivers,QB,LAC,DEN,11.64,00-0022942
19,Eli Manning,QB,NYG,SF,11.52,00-0022803
20,Mark Sanchez,QB,NYJ,IND,11.18,00-0026898
21,Andrew Luck,QB,IND,NYJ,8.1,00-0029668
22,Matt Schaub,QB,HOU,GB,7.28,00-0022787
23,Ryan Fitzpatrick,QB,BUF,ARI,6.62,00-0023682
24,Brady Quinn,QB,KC,TB,6.3,00-0025409
25,Alex Smith,QB,SF,NYG,5.5,00-0023436
26,Colin Kaepernick,QB,SF,NYG,3.88,00-0027974
27,Tim Tebow,QB,NYJ,IND,1.62,00-0027876
28,John Skelton,QB,ARI,BUF,0.8,00-0027754
29,Graham Harrell,QB,GB,HOU,0.0,00-0027602
30,TJ Yates,QB,HOU,GB,-0.08,
31,Dez Bryant,WR,DAL,BAL,34.5,00-0027902
32,Wes Welker,WR,NE,SEA,32.8,00-0022427
33,Jeremy Maclin,WR,PHI,DET,28.0,00-0026995
34,Percy Harvin,WR,MIN,WAS,27.4,00-0026998
35,Denarius Moore,WR,OAK,ATL,24.4,00-0028086
36,Mike Williams,WR,TB,KC,24.3,00-0033536
37,Vincent Jackson,WR,TB,KC,22.6,00-0023496
38,Calvin Johnson,WR,DET,PHI,22.5,00-0025389
39,Eric Decker,WR,DEN,LAC,21.8,00-0027690
40,Larry Fitzgerald,WR,ARI,BUF,21.3,00-0022921
41,Randall Cobb,WR,GB,HOU,20.2,00-0028002
42,Roddy White,WR,ATL,OAK,19.2,00-0023462
43,Josh Gordon,WR,CLE,CIN,18.9,00-0029664
44,Michael Jenkins,WR,MIN,WAS,18.7,00-0022781
45,James Jones,WR,GB,HOU,18.3,00-0025465
46,Victor Cruz,WR,NYG,SF,17.8,00-0027265
47,Mike Wallace,WR,PIT,TEN,17.4,00-0026901
48,Sidney Rice,WR,SEA,NE,17.1,00-0025431
49,Kenny Britt,WR,TEN,PIT,16.2,00-0027006
50,Brandon Gibson,WR,LA,MIA,16.1,00-0026937
51,Andre Johnson,WR,HOU,GB,15.5,00-0022044
52,Doug Baldwin,WR,SEA,NE,15.4,00-0028434
53,Brandon Stokley,WR,DEN,LAC,14.8,00-0015754
54,Anquan Boldin,WR,BAL,DAL,14.8,00-0022084
55,Nate Burleson,WR,DET,PHI,14.6,00-0021999
56,Steve Johnson,WR,BUF,ARI,14.2,00-0026364
57,Brandon Lloyd,WR,NE,SEA,14.0,00-0022097
58,Marlon Moore,WR,MIA,LAR,13.6,00-0027356
59,Kendall Wright,WR,TEN,PIT,13.1,00-0029708
60,Mario Manningham,WR,SF,NYG,12.9,00-0026235
61,Reggie Wayne,WR,IND,NYJ,12.7,00-0020498
62,Derek Hagan,WR,OAK,ATL,12.5,00-0024297
63,Domenik Hixon,WR,NYG,SF,11.8,00-0024345
64,Demaryius Thomas,WR,DEN,LAC,11.7,00-0027874
