Player,Position,Team,Opponent,FantasyPoints
Mike Gillislee,RB,NE,@NYJ,12.0
Duke Johnson,RB,CLE,@HOU,12.0
D'Onta Foreman,RB,HOU,CLE,10.5
Jerick McKinnon,RB,MIN,GB,10.0
Ameer Abdullah,RB,DET,@NO,8.0
Jay Ajayi,RB,MIA,@ATL,7.5
Frank Gore,RB,IND,@TEN,7.5
Elijah McGuire,RB,NYJ,NE,7.5
DeMarco Murray,RB,TEN,IND,7.0
Doug Martin,RB,TB,@ARI,6.5
Christian McCaffrey,RB,CAR,PHI,6.5
Andre Ellington,RB,ARI,TB,6.0
Samaje Perine,RB,WAS,SF,6.0
Matt Breida,RB,SF,@WAS,5.5
Matt Forte,RB,NYJ,NE,5.5
Jonathan Stewart,RB,CAR,PHI,5.5
Tarik Cohen,RB,CHI,@BAL,5.0
Alex Collins,RB,BAL,CHI,5.0
Isaiah Crowell,RB,CLE,@HOU,5.0
Wayne Gallman,RB,NYG,@DEN,5.0
Adrian Peterson,RB,ARI,TB,5.0
Jamaal Charles,RB,DEN,NYG,4.5
Marlon Mack,RB,IND,@TEN,4.5
James White,RB,NE,@NYJ,4.5
Corey Clement,RB,PHI,@CAR,4.0
Orleans Darkwa,RB,NYG,@DEN,4.0
Latavius Murray,RB,MIN,GB,4.0
Theo Riddick,RB,DET,@NO,4.0
Shane Vereen,RB,NYG,@DEN,4.0
Derrick Henry,RB,TEN,IND,3.5
Chris Ivory,RB,JAC,LAR,3.5
Austin Ekeler,RB,LAC,@OAK,3.0
Harrison Butker,K,KC,PIT,11.0
Wil Lutz,K,NO,DET,11.0
Justin Tucker,K,BAL,CHI,11.0
Ka'imi Fairbairn,K,HOU,CLE,9.0
Dustin Hopkins,K,WAS,SF,9.0
Brandon McManus,K,DEN,NYG,9.0
Patrick Murray,K,TB,@ARI,9.0
Giorgio Tavecchio,K,OAK,LAC,9.0
Chandler Catanzaro,K,NYJ,NE,8.0
Phil Dawson,K,ARI,TB,8.0
Jake Elliott,K,PHI,@CAR,8.0
Kai Forbath,K,MIN,GB,8.0
Robbie Gould,K,SF,@WAS,8.0
Matt Bryant,K,ATL,MIA,7.0
Stephen Gostkowski,K,NE,@NYJ,7.0
Cody Parkey,K,MIA,@ATL,7.0
Chris Boswell,K,PIT,@KC,6.0
Mason Crosby,K,GB,@MIN,6.0
Graham Gano,K,CAR,PHI,6.0
Jason Myers,K,JAC,LAR,6.0
Nick Novak,K,LAC,@OAK,6.0
Matt Prater,K,DET,@NO,6.0
Ryan Succop,K,TEN,IND,6.0
Adam Vinatieri,K,IND,@TEN,6.0
Greg Zuerlein,K,LAR,@JAC,6.0
Connor Barth,K,CHI,@BAL,5.0
Aldrick Rosas,K,NYG,@DEN,5.0
Zane Gonzalez,K,CLE,@HOU,2.0
