,Player,Position,Team,Opponent,FantasyPoints,PlayerID
100,Julius Thomas,TE,MIA,@ATL,3.0,00-0028067
101,Ben Watson,TE,BAL,CHI,3.0,00-0022943
102,Gerald Everett,TE,LA,@JAC,2.5,00-0033895
103,Marcedes Lewis,TE,JAX,LAR,2.5,00-0024243
104,David Njoku,TE,CLE,@HOU,2.5,00-0033885
105,Nick Boyle,TE,BAL,CHI,2.0,00-0031598
106,Vernon Davis,TE,WAS,SF,2.0,00-0024221
107,A.J. Derby,TE,DEN,NYG,2.0,00-0031609
108,Darren Fells,TE,DET,@NO,2.0,00-0029738
109,Jermaine Gresham,TE,ARI,TB,2.0,00-0027873
110,O.J. Howard,TE,TB,@ARI,1.5,00-0033879
111,Trey Burton,TE,PHI,@CAR,1.0,00-0030710
112,Brent Celek,TE,PHI,@CAR,1.0,00-0025549
113,Rhett Ellison,TE,NYG,@DEN,1.0,00-0029587
114,Antonio Gates,TE,LAC,@OAK,1.0,00-0021547
115,Virgil Green,TE,DEN,NYG,1.0,00-0028142
116,Tyler Higbee,TE,LA,@JAC,1.0,00-0033110
117,Le'Veon Bell,RB,PIT,@KC,20.0,00-0030496
118,Todd Gurley,RB,LA,@JAC,18.5,00-0032241
119,Devonta Freeman,RB,ATL,MIA,18.0,00-0031285
120,Kareem Hunt,RB,KC,PIT,18.0,00-0033923
121,Melvin Gordon,RB,LAC,@OAK,17.0,00-0032144
122,Leonard Fournette,RB,JAX,LAR,16.5,00-0033856
123,Javorius Allen,RB,BAL,CHI,16.0,00-0031577
124,Lamar Miller,RB,HOU,CLE,15.5,00-0029615
125,C.J. Anderson,RB,DEN,NYG,14.5,00-0029854
126,Jordan Howard,RB,CHI,@BAL,14.0,00-0032780
127,Mark Ingram,RB,NO,DET,14.0,00-0027966
128,Carlos Hyde,RB,SF,@WAS,13.5,00-0031045
129,Aaron Jones,RB,GB,@MIN,13.5,00-0033293
130,Marshawn Lynch,RB,OAK,LAC,13.5,00-0025399
131,Tevin Coleman,RB,ATL,MIA,13.0,00-0032058
132,Alvin Kamara,RB,NO,DET,12.5,00-0033906
133,Chris Thompson,RB,WAS,SF,12.5,00-0030404
134,LeGarrette Blount,RB,PHI,@CAR,12.0,00-0027325
135,Mike Gillislee,RB,NE,@NYJ,12.0,00-0030433
136,Duke Johnson,RB,CLE,@HOU,12.0,00-0032257
137,D'Onta Foreman,RB,HOU,CLE,10.5,00-0033925
138,Jerick McKinnon,RB,MIN,GB,10.0,00-0031376
139,Ameer Abdullah,RB,DET,@NO,8.0,00-0032104
140,Jay Ajayi,RB,MIA,@ATL,7.5,00-0031590
141,Frank Gore,RB,IND,@TEN,7.5,00-0023500
142,Elijah McGuire,RB,NYJ,NE,7.5,00-0033295
143,DeMarco Murray,RB,TEN,IND,7.0,00-0028009
144,Doug Martin,RB,TB,@ARI,6.5,00-0029613
145,Christian McCaffrey,RB,CAR,PHI,6.5,00-0033280
146,Andre Ellington,RB,ARI,TB,6.0,00-0030287
147,Samaje Perine,RB,WAS,SF,6.0,00-0033526
148,Matt Breida,RB,SF,@WAS,5.5,00-0033308
149,Matt Forte,RB,NYJ,NE,5.5,00-0026184
150,Jonathan Stewart,RB,CAR,PHI,5.5,00-0026153
151,Tarik Cohen,RB,CHI,@BAL,5.0,00-0033556
152,Alex Collins,RB,BAL,CHI,5.0,00-0032426
153,Isaiah Crowell,RB,CLE,@HOU,5.0,00-0030656
154,Wayne Gallman,RB,NYG,@DEN,5.0,00-0033950
155,Adrian Peterson,RB,ARI,TB,5.0,00-0025394
156,Jamaal Charles,RB,DEN,NYG,4.5,00-0026213
157,Marlon Mack,RB,IND,@TEN,4.5,00-0033951
158,James White,RB,NE,@NYJ,4.5,00-0031062
159,Corey Clement,RB,PHI,@CAR,4.0,00-0033725
160,Orleans Darkwa,RB,NYG,@DEN,4.0,00-0030860
161,Latavius Murray,RB,MIN,GB,4.0,00-0030513
162,Theo Riddick,RB,DET,@NO,4.0,00-0030107
163,Shane Vereen,RB,NYG,@DEN,4.0,00-0027994
164,Derrick Henry,RB,TEN,IND,3.5,00-0032764
165,Chris Ivory,RB,JAX,LAR,3.5,00-0027531
