,Player,Position,Team,Salary,ESPN_FantasyPoints,FantasyData_FantasyPoints,FantasyFootball_FantasyPoints,CBS_FantasyPoints,AvgPointsPerGame,Avg,Max,Min
189,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
190,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
191,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
192,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
193,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
194,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
195,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
196,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
197,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
198,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
199,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
200,Brandon LaFell,WR,CIN,3700,8.1,6.97,4.5,7.0,6.433,6.22575,7.0,4.5
201,Giovani Bernard,RB,CIN,3700,8.6,6.39,4.0,8.0,8.2,6.6475,8.2,4.0
202,Phillip Dorsett,WR,NE,3700,0.5,,,0.0,1.886,0.943,1.886,0.0
203,Justin Hardy,WR,ATL,3700,2.2,,,5.0,3.767,4.3835,5.0,3.767
204,Adam Humphries,WR,TB,3700,6.5,6.69,4.5,7.0,8.517000000000001,6.67675,8.517000000000001,4.5
205,Alfred Blue,RB,HOU,3700,1.1,,,0.0,0.4,0.2,0.4,0.0
206,C.J. Prosise,RB,SEA,3700,5.4,,2.5,7.0,4.175,4.558333333333334,7.0,2.5
207,Vernon Davis,TE,WAS,3700,,5.92,5.0,7.0,8.2,6.53,8.2,5.0
208,Bengals ,DST,CIN,3600,,,,13.0,6.832999999999998,9.9165,13.0,6.832999999999998
209,Rex Burkhead,RB,NE,3600,4.5,4.9,,4.0,7.3,5.3999999999999995,7.3,4.0
210,Malcolm Mitchell,WR,NE,3600,0,,,,0.0,0.0,0.0,0.0
211,Mike Williams,WR,LAC,3600,4.7,,,7.0,1.25,4.125,7.0,1.25
212,Aldrick Robinson,WR,SF,3600,4,,,3.0,4.686,3.843,4.686,3.0
213,Kenjon Barner,RB,PHI,3600,0.1,,,2.0,1.325,1.6625,2.0,1.325
214,George Kittle,TE,SF,3600,7,5.91,4.0,5.0,7.2570000000000014,5.54175,7.2570000000000014,4.0
215,Jonathan Stewart,RB,CAR,3600,11.5,8.84,4.5,6.0,6.414,6.4384999999999994,8.84,4.5
216,Thomas Rawls,RB,SEA,3600,6.5,5.99,5.5,5.0,2.775,4.81625,5.99,2.775
217,Terrance Williams,WR,DAL,3600,8.3,,,8.0,6.167000000000002,7.083500000000001,8.0,6.167000000000002
218,Zach Zenner,RB,DET,3600,0,,,0.0,1.9,0.95,1.9,0.0
219,Dwayne Washington,RB,DET,3600,2.8,,,1.0,1.55,1.275,1.55,1.0
220,Ricardo Louis,WR,CLE,3500,8.5,6.45,,4.0,6.5710000000000015,5.673666666666667,6.5710000000000015,4.0
221,Zay Jones,WR,BUF,3500,6.8,,,4.0,2.55,3.275,4.0,2.55
222,Jack Doyle,TE,IND,3500,7.6,6.75,11.0,9.0,9.95,9.175,11.0,6.75
223,Donte Moncrief,WR,IND,3500,8.3,6.66,,9.0,7.3,7.653333333333333,9.0,6.66
224,Austin Ekeler,RB,LAC,3500,7.6,6.3,2.5,4.0,5.9,4.675000000000001,6.3,2.5
225,Kendall Wright,WR,CHI,3500,8.3,,,6.0,7.086,6.543,7.086,6.0
226,Brandon Coleman,WR,NO,3500,4.7,,,5.0,8.183,6.5915,8.183,5.0
227,Andre Roberts,WR,ATL,3500,0.3,,,0.0,0.3670000000000001,0.18350000000000005,0.3670000000000001,0.0
228,Marvin Hall,WR,ATL,3500,,,,0.0,11.0,5.5,11.0,0.0
229,Eddie Lacy,RB,SEA,3500,6.2,5.62,4.0,5.0,3.65,4.5675,5.62,3.65
230,Ryan Grant,WR,WAS,3500,,,,5.0,7.617000000000001,6.3085,7.617000000000001,5.0
231,Mack Brown,RB,WAS,3500,,,,0.0,1.6669999999999998,0.8334999999999999,1.6669999999999998,0.0
232,TJ Jones,WR,DET,3500,7.4,6.9,4.5,4.0,5.382999999999999,5.19575,6.9,4.0
233,Saints ,DST,NO,3400,,,,11.0,10.667,10.8335,11.0,10.667
234,Ed Dickson,TE,CAR,3400,8.3,6.69,3.5,9.0,7.643,6.7082500000000005,9.0,3.5
235,Russell Shepard,WR,CAR,3400,4.4,,,4.0,3.986,3.9930000000000003,4.0,3.986
236,Charles Sims,RB,TB,3400,5.6,4.13,,0.0,4.617,2.9156666666666666,4.617,0.0
237,Brice Butler,WR,DAL,3400,3.5,,,5.0,6.783,5.891500000000001,6.783,5.0
238,Kenny Britt,WR,CLE,3300,5.7,,,4.0,5.76,4.88,5.76,4.0
239,Laquon Treadwell,WR,MIN,3300,3.8,,,3.0,3.3,3.15,3.3,3.0
240,Seth Roberts,WR,OAK,3300,5.8,,,5.0,5.314,5.157,5.314,5.0
241,Jeremy Hill,RB,CIN,3300,4.6,,,2.0,2.6830000000000003,2.3415,2.6830000000000003,2.0
242,Curtis Samuel,WR,CAR,3300,2.6,,,4.0,2.017,3.0084999999999997,4.0,2.017
243,Bruce Ellington,WR,HOU,3300,5.4,,,4.0,6.74,5.37,6.74,4.0
244,J.D. McKissic,RB,SEA,3300,1.9,4.6,,,10.467,7.5335,10.467,4.6
245,Brandon Tate,WR,BUF,3200,0.1,,,3.0,2.625,2.8125,3.0,2.625
246,Andre Holmes,WR,BUF,3200,4.2,,,4.0,4.1,4.05,4.1,4.0
247,John Ross,WR,CIN,3200,4.1,,,3.0,0.2,1.6,3.0,0.2
248,Zach Miller,TE,CHI,3200,9.2,7.15,4.0,6.0,7.943,6.273249999999999,7.943,4.0
249,Markus Wheaton,WR,CHI,3200,0,,,,0.633,0.633,0.633,0.633
250,Nick Williams,WR,ATL,3200,0.6,,,0.0,6.0,3.0,6.0,0.0
251,Trent Taylor,WR,SF,3200,6.4,,,5.0,5.557,5.2785,5.557,5.0
252,Seahawks ,DST,SEA,3200,,,,16.0,9.5,12.75,16.0,9.5
253,Rod Smith,RB,DAL,3200,0.7,,,0.0,1.867,0.9335,1.867,0.0
254,Jarius Wright,WR,MIN,3100,0.5,,,3.0,3.1860000000000004,3.093,3.1860000000000004,3.0
255,Nick O'Leary,TE,BUF,3100,6.6,5.59,4.0,5.0,4.25,4.71,5.59,4.0
256,Tyler Boyd,WR,CIN,3100,0,,,2.0,2.575,2.2875,2.575,2.0
257,Tanner Gentry,WR,CHI,3100,5.7,,,3.0,2.167,2.5835,3.0,2.167
258,Falcons ,DST,ATL,3100,,,,11.0,5.0,8.0,11.0,5.0
259,Ryan Griffin,TE,HOU,3100,6.9,5.7,3.0,5.0,6.96,5.165,6.96,3.0
260,Michael Floyd,WR,MIN,3000,2.4,,,4.0,2.2,3.1,4.0,2.2
261,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
262,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
263,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
264,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
265,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
266,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
267,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
268,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0,0.0
269,Sammie Coates,WR,CLE,3000,0.1,,,0.0,0.42,0.21,0.42,0.0
270,Kasen Williams,WR,CLE,3000,4.3,,,4.0,2.9,3.45,4.0,2.9
271,Bryce Treggs,WR,CLE,3000,2.6,,,2.0,3.767,2.8834999999999997,3.767,2.0
272,Danny Vitale,RB,CLE,3000,0,,,0.0,0.5429999999999999,0.27149999999999996,0.5429999999999999,0.0
273,Stacy Coley,WR,MIN,3000,0,,,0.0,0.0,0.0,0.0,0.0
274,Rashard Higgins,WR,CLE,3000,4.9,,,2.0,4.5,3.25,4.5,2.0
275,Matthew Dayes,RB,CLE,3000,0.6,,,0.0,0.5429999999999999,0.27149999999999996,0.5429999999999999,0.0
276,Rodney Adams,WR,MIN,3000,0,,,0.0,0.0,0.0,0.0,0.0
277,C.J. Ham,RB,MIN,3000,0.7,,,0.0,1.8,0.9,1.8,0.0
278,Taiwan Jones,RB,BUF,3000,0,,,0.0,0.35,0.175,0.35,0.0
279,Patrick DiMarco,RB,BUF,3000,1.6,,,0.0,0.217,0.1085,0.217,0.0
280,Walter Powell,WR,BUF,3000,1.9,,4.5,6.0,0.0,3.5,6.0,0.0
281,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
282,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
283,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
284,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
285,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
286,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
287,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
288,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
289,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
290,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
291,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
292,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
293,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
294,Walter Powell,WR,BUF,3000,0,,4.5,6.0,0.0,3.5,6.0,0.0
295,Walter Powell,WR,BUF,3000,1.9,,4.5,0.0,0.0,1.5,4.5,0.0
296,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
297,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
298,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
299,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
300,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
301,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
302,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
303,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
304,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
305,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
306,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
307,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
308,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
309,Walter Powell,WR,BUF,3000,0,,4.5,0.0,0.0,1.5,4.5,0.0
310,Jamize Olawale,RB,OAK,3000,0.7,,,1.0,1.2,1.1,1.2,1.0
311,Cordarrelle Patterson,WR,OAK,3000,3.8,,,4.0,5.943,4.9715,5.943,4.0
312,Johnny Holton,WR,OAK,3000,0,,,0.0,1.914,0.957,1.914,0.0
313,Kamar Aiken,WR,IND,3000,4,,,5.0,3.114,4.057,5.0,3.114
314,George Winn,RB,IND,3000,0,,,,0.0,0.0,0.0,0.0
315,Tyler Kroft,TE,CIN,3000,8.3,7.11,10.5,10.0,8.7,9.0775,10.5,7.11
316,Quan Bray,WR,IND,3000,0.6,,,0.0,0.986,0.493,0.986,0.0
317,Josh Ferguson,RB,IND,3000,1.3,,,0.0,0.5,0.25,0.5,0.0
318,Josh Ferguson,RB,IND,3000,0,,,0.0,0.5,0.25,0.5,0.0
319,Josh Ferguson,RB,IND,3000,0,,,0.0,0.5,0.25,0.5,0.0
320,Josh Ferguson,RB,IND,3000,0,,,0.0,0.5,0.25,0.5,0.0
321,Josh Ferguson,RB,IND,3000,0,,,0.0,0.5,0.25,0.5,0.0
322,Josh Ferguson,RB,IND,3000,0,,,0.0,0.5,0.25,0.5,0.0
323,Tra Carson,RB,CIN,3000,,,,,0.0,0.0,0.0,0.0
324,Alex Erickson,WR,CIN,3000,2.2,,,4.0,2.533,3.2664999999999997,4.0,2.533
325,Matt Jones,RB,IND,3000,0,,,0.0,0.7,0.35,0.7,0.0
326,Cody Core,WR,CIN,3000,2.7,,,0.0,0.0,0.0,0.0,0.0
327,Chester Rogers,WR,IND,3000,3.2,,,2.0,2.05,2.025,2.05,2.0
328,Josh Malone,WR,CIN,3000,0,,,0.0,0.0,0.0,0.0,0.0
329,Matthew Slater,WR,NE,3000,0,,,0.0,0.0,0.0,0.0,0.0
330,James Develin,RB,NE,3000,0.3,,,0.0,0.7140000000000001,0.35700000000000004,0.7140000000000001,0.0
331,Brandon Bolden,RB,NE,3000,0,,,,0.0,0.0,0.0,0.0
332,Andre Williams,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0,0.0
333,Derek Watt,RB,LAC,3000,0.1,,,0.0,0.0,0.0,0.0,0.0
334,Derek Watt,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0,0.0
335,Derek Watt,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0,0.0
336,Derek Watt,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0,0.0
337,Dontrelle Inman,WR,CHI,3000,,,,,0.725,0.725,0.725,0.725
338,Zach Line,RB,NO,3000,0,,,0.0,0.0,0.0,0.0,0.0
339,Benny Cunningham,RB,CHI,3000,1.3,,,2.0,4.12,3.06,4.12,2.0
340,Josh Bellamy,WR,CHI,3000,2.8,,,0.0,3.057,1.5285,3.057,0.0
341,Michael Burton,RB,CHI,3000,0.4,,,0.0,0.35700000000000004,0.17850000000000002,0.35700000000000004,0.0
342,Tre McBride,WR,CHI,3000,6.1,,,2.0,0.7,1.35,2.0,0.7
343,Daniel Lasco II,RB,NO,3000,0,,,0.0,0.0,0.0,0.0,0.0
344,Daniel Lasco II,RB,NO,3000,0,,,0.0,0.0,0.0,0.0,0.0
345,Daniel Lasco II,RB,NO,3000,0,,,0.0,0.0,0.0,0.0,0.0
346,Tommylee Lewis,WR,NO,3000,1.2,,,4.0,3.24,3.62,4.0,3.24
347,Trey Edmunds,RB,NO,3000,0.2,,,,0.0,0.0,0.0,0.0
348,Austin Carr,WR,NO,3000,0,,,0.0,0.0,0.0,0.0,0.0
349,Taquan Mizzell,RB,CHI,3000,,,,0.0,0.0,0.0,0.0,0.0
350,Travaris Cadet,RB,NYJ,3000,0,,,0.0,1.967,0.9835,1.967,0.0
351,Derrick Coleman,RB,ATL,3000,0,,,0.0,0.35,0.175,0.35,0.0
352,Terron Ward,RB,ATL,3000,0,,,0.0,0.0,0.0,0.0,0.0
353,Lawrence Thomas,RB,NYJ,3000,,,,,0.667,0.667,0.667,0.667
354,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
355,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
356,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
357,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
358,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
359,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
360,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
361,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
362,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
363,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
364,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
365,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
366,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
367,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
368,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
369,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
370,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
371,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
372,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
373,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
374,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
375,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
376,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
377,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
378,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
379,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
380,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
381,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
382,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
383,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
384,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
385,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
386,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
387,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
388,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
389,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
390,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
391,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
392,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
393,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0,0.0
394,ArDarius Stewart,WR,NYJ,3000,2.2,,,3.0,1.3430000000000002,2.1715,3.0,1.3430000000000002
395,Chad Hansen,WR,NYJ,3000,0.5,,,0.0,0.0,0.0,0.0,0.0
396,Kyle Juszczyk,RB,SF,3000,4.4,,,3.0,4.62,3.81,4.62,3.0
397,Raheem Mostert,RB,SF,3000,0.3,,,0.0,0.28600000000000003,0.14300000000000002,0.28600000000000003,0.0
398,Marcus Johnson,WR,PHI,3000,1.1,,,0.0,0.7,0.35,0.7,0.0
399,Mack Hollins,WR,PHI,3000,2.3,,,0.0,3.629,1.8145,3.629,0.0
400,Shelton Gibson,WR,PHI,3000,0,,,0.0,0.0,0.0,0.0,0.0
401,Victor Bolden Jr.,WR,SF,3000,0.1,,,,0.0,0.0,0.0,0.0
402,Kendrick Bourne,WR,SF,3000,,,,,0.0,0.0,0.0,0.0
403,Fozzy Whittaker,RB,CAR,3000,1.2,,,,2.233,2.233,2.233,2.233
404,Kaelin Clay,WR,CAR,3000,,,,4.0,0.95,2.475,4.0,0.95
405,Bernard Reedy,WR,TB,3000,0.5,,,,0.55,0.55,0.55,0.55
406,Damiere Byrd,WR,CAR,3000,0,,,,0.3,0.3,0.3,0.3
407,Cameron Artis-Payne,RB,CAR,3000,0,,,0.0,0.0,0.0,0.0,0.0
408,Peyton Barber,RB,TB,3000,0,,,0.0,0.8170000000000001,0.40850000000000003,0.8170000000000001,0.0
409,Chris Godwin,WR,TB,3000,1.1,,,6.0,2.1,4.05,6.0,2.1
410,Alex Armah,RB,CAR,3000,,,,0.0,0.0,0.0,0.0,0.0
411,Jordan Todman,RB,HOU,3000,0,,,,0.0,0.0,0.0,0.0
412,Jay Prosch,RB,HOU,3000,0,,,0.0,0.467,0.2335,0.467,0.0
413,C.J. Fiedorowicz,TE,HOU,3000,0,,,,8.6,8.6,8.6,8.6
414,Braxton Miller,WR,HOU,3000,0,,,0.0,3.25,1.625,3.25,0.0
415,Tre Madden,RB,SEA,3000,,,,0.0,0.15,0.075,0.15,0.0
416,Tanner McEvoy,WR,SEA,3000,0,,,0.0,-0.16699999999999998,-0.08349999999999999,0.0,-0.16699999999999998
417,Amara Darboh,WR,SEA,3000,2.7,,,0.0,1.75,0.875,1.75,0.0
418,Chris Thompson,WR,HOU,3000,1.7,,,0.0,0.967,0.4835,0.967,0.0
419,Brian Quick,WR,WAS,3000,,,,0.0,0.42,0.21,0.42,0.0
420,Keith Smith,RB,DAL,3000,,,,0.0,0.5,0.25,0.5,0.0
421,Ryan Switzer,WR,DAL,3000,0.5,,,0.0,0.183,0.0915,0.183,0.0
422,Noah Brown,WR,DAL,3000,0.3,,,0.0,0.575,0.2875,0.575,0.0
423,Darrius Heyward-Bey,WR,PIT,3000,1.1,,,0.0,0.8140000000000001,0.40700000000000003,0.8140000000000001,0.0
424,Jared Abbrederis,WR,DET,3000,4.4,,,0.0,1.85,0.925,1.85,0.0
425,Justin Hunter,WR,PIT,3000,2.3,,,1.0,1.55,1.275,1.55,1.0
426,Roosevelt Nix,RB,PIT,3000,0,,,,0.0,0.0,0.0,0.0
427,Roosevelt Nix,RB,PIT,3000,0,,,,0.0,0.0,0.0,0.0
428,Roosevelt Nix,RB,PIT,3000,0,,,,0.0,0.0,0.0,0.0
429,Roosevelt Nix,RB,PIT,3000,0,,,,0.0,0.0,0.0,0.0
430,Roosevelt Nix,RB,PIT,3000,0,,,,0.0,0.0,0.0,0.0
431,Roosevelt Nix,RB,PIT,3000,0,,,,0.0,0.0,0.0,0.0
432,Roosevelt Nix,RB,PIT,3000,0,,,,0.0,0.0,0.0,0.0
433,Eric Ebron,TE,DET,3000,6.4,5.31,2.0,7.0,4.867,4.79425,7.0,2.0
434,Eli Rogers,WR,PIT,3000,1.7,,,4.0,2.48,3.24,4.0,2.48
435,Terrell Watson,RB,PIT,3000,0.4,,,0.0,0.114,0.057,0.114,0.0
436,Tion Green,RB,DET,3000,,,,,0.0,0.0,0.0,0.0
437,Bills ,DST,BUF,2900,,,,10.0,9.333,9.6665,10.0,9.333
