Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Devonta Freeman,RB,3,ATL,DAL,30,141,5,3,5,5,52,0,0,0,45.30,2015
2,Jamaal Charles,RB,3,KC,GB,11,49,5,3,7,5,33,0,0,0,31.20,2015
3,Chris Johnson,RB,3,ARI,SF,22,110,5,2,2,1,40,0,0,0,31.00,2015
4,Joseph Randle,RB,3,DAL,ATL,14,87,6,3,2,2,18,0,0,0,30.50,2015
5,LeGarrette Blount,RB,3,NE,JAX,18,78,4,3,1,1,14,0,0,0,28.20,2015
6,Adrian Peterson,RB,3,MIN,LAC,20,126,6,2,0,0,0,0,0,0,27.60,2015
7,Le'Veon Bell,RB,3,PIT,LAR,19,62,3,1,8,7,70,0,0,0,26.20,2015
8,Latavius Murray,RB,3,OAK,CLE,26,139,5,1,1,1,10,0,0,0,24.90,2015
9,Lance Dunbar,RB,3,DAL,ATL,1,5,5,0,10,10,100,0,0,0,23.50,2015
10,Alfred Blue,RB,3,HOU,TB,31,139,5,1,0,0,0,0,1,0,22.90,2015
11,Ryan Mathews,RB,3,PHI,NYJ,24,108,5,0,4,2,20,1,1,1,22.80,2015
12,Chris Thompson,RB,3,WAS,NYG,2,29,15,0,11,8,57,1,1,0,22.60,2015
13,Frank Gore,RB,3,IND,TEN,14,86,6,2,2,1,8,0,0,0,22.40,2015
14,Mark Ingram,RB,3,NO,CAR,14,50,4,1,5,5,49,0,0,0,20.90,2015
15,Karlos Williams,RB,3,BUF,MIA,12,110,9,1,0,0,0,0,0,0,20.00,2015
16,Darren Sproles,RB,3,PHI,NYJ,11,17,2,1,6,4,19,0,0,0,19.60,2015
17,Dion Lewis,RB,3,NE,JAX,8,37,5,1,5,5,30,0,0,0,17.70,2015
18,Theo Riddick,RB,3,DET,DEN,0,0,0,0,10,8,66,0,0,0,14.60,2015
19,Bilal Powell,RB,3,NYJ,PHI,10,31,3,0,8,7,44,0,0,0,14.50,2015
20,Thomas Rawls,RB,3,SEA,CHI,16,104,7,0,1,0,0,0,0,0,13.40,2015
21,Charles Sims,RB,3,TB,HOU,6,11,2,0,2,2,41,1,0,0,13.20,2015
22,Antonio Andrews,RB,3,TEN,IND,12,49,4,1,2,1,12,0,0,0,13.10,2015
23,Ameer Abdullah,RB,3,DET,DEN,8,23,3,0,5,2,19,1,1,0,12.20,2015
24,Eddie Lacy,RB,3,GB,KC,10,46,5,0,3,3,41,0,0,0,11.70,2015
25,Giovani Bernard,RB,3,CIN,BAL,13,49,4,0,4,3,34,0,0,0,11.30,2015
26,Khiry Robinson,RB,3,NO,CAR,7,12,2,1,2,2,8,0,0,0,10.00,2015
27,LeSean McCoy,RB,3,BUF,MIA,11,16,2,0,3,1,10,1,0,0,9.60,2015
28,Darren McFadden,RB,3,DAL,ATL,6,35,6,1,0,0,0,0,0,0,9.50,2015
29,Lamar Miller,RB,3,MIA,BUF,7,38,5,0,3,3,27,0,0,0,9.50,2015
30,Duke Johnson,RB,3,CLE,OAK,4,3,1,0,7,6,32,0,0,0,9.50,2015
31,Ty Montgomery,RB,3,GB,KC,0,0,0,0,2,2,14,1,0,0,9.40,2015
32,Andre Williams,RB,3,NYG,WAS,14,29,2,1,0,0,0,0,0,0,8.90,2015
33,Rashad Jennings,RB,3,NYG,WAS,11,32,3,0,3,3,25,0,0,0,8.70,2015
34,Ronnie Hillman,RB,3,DEN,DET,7,13,2,1,1,1,3,0,0,0,8.60,2015
35,Jonathan Grimes,RB,3,HOU,TB,6,19,3,0,4,4,19,0,0,0,7.80,2015
36,Matt Forte,RB,3,CHI,SEA,20,74,4,0,3,0,0,0,0,0,7.40,2015
37,Joique Bell,RB,3,DET,DEN,10,6,1,1,1,1,-2,0,0,0,7.40,2015
38,Mike Tolbert,FB,3,CAR,NO,5,16,3,0,3,3,28,0,0,0,7.40,2015
39,James White,RB,3,NE,JAX,2,8,4,0,4,4,26,0,0,0,7.40,2015
40,Danny Woodhead,RB,3,LAC,MIN,5,11,2,0,4,3,32,0,0,0,7.30,2015
41,Carlos Hyde,RB,3,SF,ARI,15,51,3,0,1,1,10,0,0,0,7.10,2015
42,David Johnson,RB,3,ARI,SF,7,25,4,0,3,3,16,0,0,0,7.10,2015
43,Jalston Fowler,RB,3,TEN,IND,4,9,2,1,0,0,0,0,0,0,6.90,2015
44,Justin Forsett,RB,3,BAL,CIN,10,13,1,0,7,4,16,0,0,0,6.90,2015
45,Marcel Reece,FB,3,OAK,CLE,1,1,1,0,2,1,55,0,0,0,6.60,2015
46,TJ Yeldon,RB,3,JAX,NE,11,33,3,0,3,2,9,0,0,0,6.20,2015
47,Zach Line,FB,3,MIN,LAC,1,1,1,1,0,0,0,0,0,0,6.10,2015
48,James Starks,RB,3,GB,KC,17,32,2,0,1,1,19,0,0,0,6.10,2015
49,Bishop Sankey,RB,3,TEN,IND,5,10,2,0,2,2,31,0,0,0,6.10,2015
50,Marcus Murphy,RB,3,NO,CAR,0,0,0,0,0,0,0,0,0,0,6.00,2015
