Player,Position,Team,Opponent,Points
Andy Dalton,QB,CIN,BUF,29.18
Matthew Stafford,QB,DET,CLE,25.52
Joe Flacco,QB,BAL,GB,24.28
Thaddeus Lewis,QB,BUF,CIN,23.34
Aaron Rodgers,QB,GB,BAL,20.70
Jay Cutler,QB,CHI,NYG,20.48
Mike Glennon,QB,TB,PHI,19.92
Brandon Weeden,QB,CLE,DET,18.68
Carson Palmer,QB,ARI,SF,17.92
Colin Kaepernick,QB,SF,ARI,17.88
Drew Brees,QB,NO,NE,17.54
Sam Bradford,QB,LAR,HOU,17.08
Russell Wilson,QB,SEA,TEN,16.38
Peyton Manning,QB,DEN,JAX,16.10
Ben Roethlisberger,QB,PIT,NYJ,15.66
Robert Griffin III,QB,WAS,DAL,15.54
Tom Brady,QB,NE,NO,15.36
Philip Rivers,QB,LAC,IND,13.38
Chad Henne,QB,JAX,DEN,12.82
Matt Cassel,QB,MIN,CAR,12.34
Eli Manning,QB,NYG,CHI,10.56
Tony Romo,QB,DAL,WAS,9.80
Andrew Luck,QB,IND,LAC,8.98
Ryan Fitzpatrick,QB,TEN,SEA,8.14
Alex Smith,QB,KC,OAK,8.02
Matt Schaub,QB,HOU,LAR,7.44
Geno Smith,QB,NYJ,PIT,6.84
Joe Webb,QB,MIN,CAR,5.40
TJ Yates,QB,HOU,LAR,1.92
Luke McCown,QB,NO,NE,0.00
Derek Anderson,QB,CAR,MIN,-0.10
Brandon Marshall,WR,CHI,NYG,29.70
Keenan Allen,WR,LAC,IND,28.70
Larry Fitzgerald,WR,ARI,SF,26.10
AJ Green,WR,CIN,BUF,25.30
Riley Cooper,WR,PHI,TB,25.00
Brandon LaFell,WR,CAR,MIN,24.60
DeSean Jackson,WR,PHI,TB,24.40
Jordy Nelson,WR,GB,BAL,24.30
Josh Gordon,WR,CLE,DET,22.60
Marvin Jones,WR,CIN,BUF,19.50
Denarius Moore,WR,OAK,KC,19.20
Wes Welker,WR,DEN,JAX,18.30
Antonio Brown,WR,PIT,NYJ,18.20
Rueben Randle,WR,NYG,CHI,16.50
Kris Durham,WR,DET,CLE,16.30
Emmanuel Sanders,WR,PIT,NYJ,16.00
Andre Johnson,WR,HOU,LAR,15.80
Kenny Stills,WR,NO,NE,15.40
Michael Floyd,WR,ARI,SF,15.40
Terrelle Pryor,WR,OAK,KC,15.24
Tandon Doss,WR,BAL,GB,13.90
Reggie Wayne,WR,IND,LAC,13.80
Kenbrell Thompkins,WR,NE,NO,13.50
Steve Smith,WR,CAR,MIN,13.10
Marquise Goodwin,WR,BUF,CIN,13.00
Pierre Garcon,WR,WAS,DAL,12.90
Aaron Dobson,WR,NE,NO,12.30
Jacoby Jones,WR,BAL,GB,12.20
Kendall Wright,WR,TEN,SEA,11.90
TJ Graham,WR,BUF,CIN,11.40
Hakeem Nicks,WR,NYG,CHI,11.00
Demaryius Thomas,WR,DEN,JAX,10.80
Victor Cruz,WR,NYG,CHI,10.80
Terrance Williams,WR,DAL,WAS,10.70
Julian Edelman,WR,NE,NO,10.70
Eric Decker,WR,DEN,JAX,10.00
Marlon Brown,WR,BAL,GB,9.90
Mohamed Sanu,WR,CIN,BUF,9.40
Greg Jennings,WR,MIN,CAR,9.40
Randall Cobb,WR,GB,BAL,9.30
TY Hilton,WR,IND,LAC,9.30
Greg Little,WR,CLE,DET,9.20
Mike Brown,WR,JAX,DEN,8.90
Doug Baldwin,WR,SEA,TEN,8.80
Dez Bryant,WR,DAL,WAS,8.60
Clyde Gates,WR,NYJ,PIT,8.60
Cole Beasley,WR,DAL,WAS,8.40
Golden Tate,WR,SEA,TEN,8.30
Joseph Fauria,TE,DET,CLE,24.40
Dallas Clark,TE,BAL,GB,18.10
Tim Wright,TE,TB,PHI,16.10
Heath Miller,TE,PIT,NYJ,14.40
Martellus Bennett,TE,CHI,NYG,12.80
Scott Chandler,TE,BUF,CIN,12.70
Julius Thomas,TE,DEN,JAX,12.20
Jordan Cameron,TE,CLE,DET,11.40
Jermichael Finley,TE,GB,BAL,10.50
Jeff Cumberland,TE,NYJ,PIT,9.90
Jordan Reed,TE,WAS,DAL,9.80
Michael Hoomanawanui,TE,NE,NO,9.70
Benjamin Watson,TE,NO,NE,9.10
Brandon Pettigrew,TE,DET,CLE,7.60
Lance Kendricks,TE,LAR,HOU,7.20
Cory Harkey,TE,LAR,HOU,7.20
Rob Housler,TE,ARI,SF,7.20
Delanie Walker,TE,TEN,SEA,6.90
Antonio Gates,TE,LAC,IND,6.80
Jared Cook,TE,LAR,HOU,6.50
Jason Witten,TE,DAL,WAS,5.70
Clay Harbor,TE,JAX,DEN,4.90
Coby Fleener,TE,IND,LAC,4.60
Garrett Graham,TE,HOU,LAR,4.50
Zach Ertz,TE,PHI,TB,4.30
Greg Olsen,TE,CAR,MIN,3.90
Ryan Griffin,TE,HOU,LAR,3.80
Luke Willson,TE,SEA,TEN,3.70
Ladarius Green,TE,LAC,IND,3.50
Tyler Eifert,TE,CIN,BUF,3.30
John Carlson,TE,MIN,CAR,3.20
Mychal Rivera,TE,OAK,KC,3.00
Gary Barnidge,TE,CLE,DET,2.60
Jermaine Gresham,TE,CIN,BUF,2.50
Bear Pascoe,TE,NYG,CHI,2.40
Jeron Mastrud,TE,OAK,KC,2.30
Brent Celek,TE,PHI,TB,2.00
Kevin Brock,TE,KC,OAK,1.90
Vance McDonald,TE,SF,ARI,1.70
Jim Dray,TE,ARI,SF,1.40
Joel Dreessen,TE,DEN,JAX,1.40
MarQueis Gray,TE,CLE,DET,1.00
Billy Bajema,TE,BAL,GB,1.00
Brandon Myers,TE,NYG,CHI,0.00
Gavin Escobar,TE,DAL,WAS,0.00
Fred Davis,TE,WAS,DAL,0.00
Dominique Jones,TE,IND,LAC,0.00
Dante Rosario,TE,CHI,NYG,0.00
Jamaal Charles,RB,KC,OAK,29.80
Brandon Jacobs,RB,NYG,CHI,27.40
Arian Foster,RB,HOU,LAR,26.80
Reggie Bush,RB,DET,CLE,24.50
Stevan Ridley,RB,NE,NO,24.00
Giovani Bernard,RB,CIN,BUF,22.00
Chris Ogbonnaya,RB,CLE,DET,21.50
LeSean McCoy,RB,PHI,TB,21.10
Andre Ellington,RB,ARI,SF,20.20
Mike Tolbert,FB,CAR,MIN,18.70
Matt Forte,RB,CHI,NYG,17.10
DeAngelo Williams,RB,CAR,MIN,16.70
Eddie Lacy,RB,GB,BAL,16.50
Maurice Jones-Drew,RB,JAX,DEN,15.40
Alfred Morris,RB,WAS,DAL,14.10
Danny Woodhead,RB,LAC,IND,13.30
Darren Sproles,RB,NO,NE,13.30
Ryan Mathews,RB,LAC,IND,13.20
Frank Gore,RB,SF,ARI,13.10
Doug Martin,RB,TB,PHI,13.10
DeMarco Murray,RB,DAL,WAS,13.00
Ben Tate,RB,HOU,LAR,11.80
Roy Helu,RB,WAS,DAL,11.70
Khiry Robinson,RB,NO,NE,11.30
Adrian Peterson,RB,MIN,CAR,11.30
Darren McFadden,RB,OAK,KC,11.30
Joseph Randle,RB,DAL,WAS,11.20
Zac Stacy,RB,LAR,HOU,11.00
Fred Jackson,RB,BUF,CIN,8.80
BenJarvus Green-Ellis,RB,CIN,BUF,8.60
CJ Spiller,RB,BUF,CIN,8.60
Le'Veon Bell,RB,PIT,NYJ,8.60
Chris Johnson,RB,TEN,SEA,8.40
Pierre Thomas,RB,NO,NE,8.00
Bilal Powell,RB,NYJ,PIT,8.00
Ray Rice,RB,BAL,GB,7.90
Travaris Cadet,RB,NO,NE,7.30
Kendall Hunter,RB,SF,ARI,7.10
Trent Richardson,RB,IND,LAC,6.30
Ronnie Hillman,RB,DEN,JAX,5.60
Robert Turbin,RB,SEA,TEN,5.60
Donald Brown,RB,IND,LAC,5.40
Tashard Choice,RB,BUF,CIN,5.30
Rashard Mendenhall,RB,ARI,SF,5.20
Bernard Pierce,RB,BAL,GB,5.10
Mike Goodson,RB,NYJ,PIT,4.90
Willis McGahee,RB,CLE,DET,4.90
Brandon Bolden,RB,NE,NO,4.80
Shaun Suisham,K,PIT,NYJ,0.00
Nick Novak,K,LAC,IND,0.00
Phil Dawson,K,SF,ARI,0.00
Robbie Gould,K,CHI,NYG,0.00
Adam Vinatieri,K,IND,LAC,0.00
Kai Forbath,K,WAS,DAL,0.00
Mike Nugent,K,CIN,BUF,0.00
Garrett Hartley,K,NO,NE,0.00
David Akers,K,DET,CLE,0.00
Rian Lindell,K,TB,PHI,0.00
Greg Zuerlein,K,LAR,HOU,0.00
Dan Carpenter,K,BUF,CIN,0.00
Steven Hauschka,K,SEA,TEN,0.00
Randy Bullock,K,HOU,LAR,0.00
Josh Scobee,K,JAX,DEN,0.00
Rob Bironas,K,TEN,SEA,0.00
Alex Henery,K,PHI,TB,0.00
Dan Bailey,K,DAL,WAS,0.00
Nick Folk,K,NYJ,PIT,0.00
Ryan Succop,K,KC,OAK,0.00
Billy Cundiff,K,CLE,DET,0.00
Graham Gano,K,CAR,MIN,0.00
Matt Prater,K,DEN,JAX,0.00
Justin Tucker,K,BAL,GB,0.00
Blair Walsh,K,MIN,CAR,0.00
Josh Brown,K,NYG,CHI,0.00
Jay Feely,K,ARI,SF,0.00
Sebastian Janikowski,K,OAK,KC,0.00
Dallas Cowboys,DST,DAL,WAS,14.00
Pittsburgh Steelers,DST,PIT,NYJ,14.00
Chicago Bears,DST,CHI,NYG,13.00
Tennessee Titans,DST,TEN,SEA,13.00
San Francisco 49ers,DST,SF,ARI,12.00
Seattle Seahawks,DST,SEA,TEN,11.00
Carolina Panthers,DST,CAR,MIN,11.00
Denver Broncos,DST,DEN,JAX,10.00
Green Bay Packers,DST,GB,BAL,8.00
Baltimore Ravens,DST,BAL,GB,8.00
Jacksonville Jaguars,DST,JAX,DEN,8.00
Los Angeles Chargers,DST,LAC,IND,7.00
Detroit Lions,DST,DET,CLE,7.00
Cincinnati Bengals,DST,CIN,BUF,7.00
Oakland Raiders,DST,OAK,KC,6.00
New Orleans Saints,DST,NO,NE,6.00
New York Jets,DST,NYJ,PIT,5.00
Arizona Cardinals,DST,ARI,SF,5.00
New England Patriots,DST,NE,NO,5.00
Buffalo Bills,DST,BUF,CIN,5.00
Philadelphia Eagles,DST,PHI,TB,5.00
Indianapolis Colts,DST,IND,LAC,3.00
Cleveland Browns,DST,CLE,DET,2.00
Washington Redskins,DST,WAS,DAL,2.00
Tampa Bay Buccaneers,DST,TB,PHI,2.00
Houston Texans,DST,HOU,LAR,0.00
New York Giants,DST,NYG,CHI,0.00
Minnesota Vikings,DST,MIN,CAR,-3.00
