Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Stephen Gostkowski,K,6,NE,NO,3,3,100,54,3,3,0.00,2013
2,Mason Crosby,K,6,GB,BAL,4,5,80,50,1,1,0.00,2013
3,Shaun Suisham,K,6,PIT,NYJ,4,4,100,48,1,1,0.00,2013
4,Nick Novak,K,6,LAC,IND,4,4,100,50,1,1,0.00,2013
5,Phil Dawson,K,6,SF,ARI,3,3,100,44,3,3,0.00,2013
6,Robbie Gould,K,6,CHI,NYG,2,2,100,52,3,3,0.00,2013
7,Adam Vinatieri,K,6,IND,LAC,3,3,100,51,0,0,0.00,2013
8,Kai Forbath,K,6,WAS,DAL,3,4,75,33,1,1,0.00,2013
9,Mike Nugent,K,6,CIN,BUF,2,3,67,46,3,3,0.00,2013
10,David Akers,K,6,DET,CLE,1,1,100,51,4,4,0.00,2013
11,Garrett Hartley,K,6,NO,NE,2,2,100,39,3,3,0.00,2013
12,Dan Carpenter,K,6,BUF,CIN,1,1,100,51,3,3,0.00,2013
13,Greg Zuerlein,K,6,LAR,HOU,1,1,100,42,5,5,0.00,2013
14,Rian Lindell,K,6,TB,PHI,2,2,100,38,2,2,0.00,2013
15,Steven Hauschka,K,6,SEA,TEN,2,2,100,31,2,2,0.00,2013
16,Alex Henery,K,6,PHI,TB,1,1,100,24,4,4,0.00,2013
17,Randy Bullock,K,6,HOU,LAR,2,2,100,35,1,1,0.00,2013
18,Rob Bironas,K,6,TEN,SEA,2,2,100,38,1,1,0.00,2013
19,Josh Scobee,K,6,JAX,DEN,2,2,100,50,1,1,0.00,2013
20,Dan Bailey,K,6,DAL,WAS,1,1,100,30,4,4,0.00,2013
21,Nick Folk,K,6,NYJ,PIT,2,2,100,39,0,0,0.00,2013
22,Ryan Succop,K,6,KC,OAK,1,1,100,33,3,3,0.00,2013
23,Graham Gano,K,6,CAR,MIN,0,0,0,0,5,5,0.00,2013
24,Billy Cundiff,K,6,CLE,DET,1,1,100,40,2,2,0.00,2013
25,Justin Tucker,K,6,BAL,GB,1,1,100,23,2,2,0.00,2013
26,Matt Prater,K,6,DEN,JAX,0,0,0,0,5,5,0.00,2013
27,Blair Walsh,K,6,MIN,CAR,1,1,100,22,1,1,0.00,2013
28,Josh Brown,K,6,NYG,CHI,0,0,0,0,3,3,0.00,2013
29,Jay Feely,K,6,ARI,SF,0,0,0,0,2,2,0.00,2013
30,Sebastian Janikowski,K,6,OAK,KC,0,1,0,0,1,1,0.00,2013
