,Player,Position,Team,Opponent,Points,PlayerID
0,Jason Campbell,QB,OAK,SEA,23.8,00-0023460
1,Philip Rivers,QB,LAC,TEN,22.5,00-0022942
2,Kyle Orton,QB,DEN,SF,21.56,00-0023541
3,Drew Brees,QB,NO,PIT,21.0,00-0020531
4,Jon Kitna,QB,DAL,JAX,19.36,00-0009311
5,Peyton Manning,QB,IND,HOU,19.02,00-0010346
6,Vince Young,QB,TEN,LAC,18.42,00-0024218
7,Troy Smith,QB,SF,DEN,18.04,00-0025561
8,Josh Freeman,QB,TB,ARI,17.32,00-0026993
9,Ryan Fitzpatrick,QB,BUF,KC,16.22,00-0023682
10,Donovan McNabb,QB,WAS,DET,15.9,00-0011022
11,Sam Bradford,QB,LA,CAR,15.84,00-0027854
12,Carson Palmer,QB,CIN,MIA,14.54,00-0021429
13,Tom Brady,QB,NE,MIN,13.3,00-0019596
14,Matt Cassel,QB,KC,BUF,11.38,00-0023662
15,Derek Anderson,QB,ARI,TB,11.36,00-0023645
16,Tarvaris Jackson,QB,MIN,NE,10.74,00-0024279
17,Mark Sanchez,QB,NYJ,GB,10.44,00-0026898
18,Matt Schaub,QB,HOU,IND,10.14,00-0022787
19,Brett Favre,QB,MIN,NE,9.36,00-0005106
20,Matt Moore,QB,CAR,LAR,9.26,00-0025708
21,Aaron Rodgers,QB,GB,NYJ,7.3,00-0023459
22,Chad Henne,QB,MIA,CIN,6.98,00-0026197
23,Ben Roethlisberger,QB,PIT,NO,6.7,00-0022924
24,Tim Tebow,QB,DEN,SF,6.1,00-0027876
25,Matt Hasselbeck,QB,SEA,OAK,5.4,00-0007091
26,Max Hall,QB,ARI,TB,4.34,00-0027347
27,Kerry Collins,QB,TEN,LAC,2.08,00-0003292
28,Rex Grossman,QB,WAS,DET,0.76,00-0022121
29,Charlie Whitehurst,QB,SEA,OAK,0.0,00-0024296
30,Chase Daniel,QB,NO,PIT,0.0,00-0026544
31,Mike Sims-Walker,WR,JAX,DAL,32.3,00-0025466
32,Darrius Heyward-Bey,WR,OAK,SEA,27.5,00-0026983
33,Steve Breaston,WR,ARI,TB,27.1,00-0025529
34,Andre Johnson,WR,HOU,IND,26.6,00-0022044
35,Larry Fitzgerald,WR,ARI,TB,25.2,00-0022921
36,Nate Washington,WR,TEN,LAC,24.7,00-0023367
37,Terrell Owens,WR,CIN,MIA,23.5,00-0012478
38,Mike Williams,WR,TB,ARI,23.5,00-0033536
39,Brandon Tate,WR,NE,MIN,22.1,00-0027057
40,Miles Austin,WR,DAL,JAX,21.7,00-0023921
41,Percy Harvin,WR,MIN,NE,21.4,00-0026998
42,Marques Colston,WR,NO,PIT,19.6,00-0024466
43,Lance Moore,WR,NO,PIT,18.4,00-0023310
44,Steve Smith,WR,CAR,LAR,16.5,
45,Dez Bryant,WR,DAL,JAX,15.4,00-0027902
46,Mike Thomas,WR,JAX,DAL,15.0,00-0033114
47,Danny Amendola,WR,LA,CAR,14.8,00-0026035
48,Pierre Garcon,WR,IND,HOU,14.8,00-0026345
49,Steve Johnson,WR,BUF,KC,14.7,00-0026364
50,Michael Crabtree,WR,SF,DEN,14.3,00-0026986
51,Greg Jennings,WR,GB,NYJ,14.1,00-0024267
52,Brandon LaFell,WR,CAR,LAR,14.0,00-0027681
53,Reggie Wayne,WR,IND,HOU,13.9,00-0020498
54,Robert Meachem,WR,NO,PIT,13.6,00-0025414
55,Brian Hartline,WR,MIA,CIN,13.3,00-0027077
56,Brandon Gibson,WR,LA,CAR,12.7,00-0026937
57,Anthony Armstrong,WR,WAS,DET,12.2,00-0026465
58,Jerricho Cotchery,WR,NYJ,GB,12.1,00-0022811
59,Roscoe Parrish,WR,BUF,KC,11.9,00-0023490
60,Santana Moss,WR,WAS,DET,11.6,00-0020494
61,Brandon Marshall,WR,MIA,CIN,11.4,00-0024334
62,Davone Bess,WR,MIA,CIN,11.3,00-0026000
63,Dwayne Bowe,WR,KC,BUF,11.0,00-0025410
64,Nate Burleson,WR,DET,WAS,10.7,00-0021999
65,Lee Evans,WR,BUF,KC,10.6,00-0022910
66,Jordy Nelson,WR,GB,NYJ,10.5,00-0026176
67,Lavelle Hawkins,WR,TEN,LAC,9.6,00-0026266
68,Anthony Gonzalez,WR,IND,HOU,9.5,00-0025419
69,Jabar Gaffney,WR,DEN,SF,9.4,00-0021163
70,Micheal Spurlock,WR,TB,ARI,9.0,00-0023968
71,Patrick Crayton,WR,LAC,TEN,8.6,00-0022766
72,Laurent Robinson,WR,LA,CAR,8.3,00-0025462
73,Early Doucet,WR,ARI,TB,7.9,00-0026221
74,Seyi Ajirotutu,WR,LAC,TEN,7.8,00-0027581
75,Eddie Royal,WR,DEN,SF,7.4,00-0026182
76,Santonio Holmes,WR,NYJ,GB,7.3,00-0024240
77,Mike Wallace,WR,PIT,NO,7.3,00-0026901
78,Chad Johnson,WR,CIN,MIA,6.4,00-0020397
79,Marcedes Lewis,TE,JAX,DAL,19.1,00-0024243
80,Jacob Tamme,TE,IND,HOU,18.4,00-0026267
81,Daniel Fells,TE,LA,CAR,13.5,00-0023752
82,Delanie Walker,TE,SF,DEN,13.5,00-0024389
83,Craig Stevens,TE,TEN,LAC,10.9,00-0026225
84,Brandon Pettigrew,TE,DET,WAS,8.8,00-0026996
85,Chris Cooley,TE,WAS,DET,8.8,00-0022738
86,Visanthe Shiancoe,TE,MIN,NE,7.8,00-0022054
87,John Carlson,TE,SEA,OAK,7.7,00-0026178
88,Tony Moeaki,TE,KC,BUF,7.5,00-0027695
89,Anthony Fasano,TE,MIA,CIN,6.6,00-0024268
90,Dustin Keller,TE,NYJ,GB,6.5,00-0026170
91,Jeremy Shockey,TE,NO,PIT,6.0,00-0021148
92,Dan Gronkowski,TE,DEN,SF,5.9,00-0027157
93,David Thomas,TE,NO,PIT,5.5,00-0024301
94,Aaron Hernandez,TE,NE,MIN,5.3,00-0027713
95,Heath Miller,TE,PIT,NO,4.9,00-0023465
96,Jermaine Gresham,TE,CIN,MIA,4.7,00-0027873
97,Jared Cook,TE,TEN,LAC,4.6,00-0027061
98,Jeff King,TE,CAR,LAR,4.2,00-0024369
99,Matt Spaeth,TE,PIT,NO,4.1,00-0025464
100,Leonard Pope,TE,KC,BUF,4.0,00-0024287
101,Michael Hoomanawanui,TE,LA,CAR,3.9,00-0027732
102,Dante Rosario,TE,CAR,LAR,3.6,00-0025542
103,Vernon Davis,TE,SF,DEN,2.2,00-0024221
104,John Gilmore,TE,TB,ARI,2.1,00-0021304
105,Daniel Graham,TE,DEN,SF,2.0,00-0021154
106,Fred Davis,TE,WAS,DET,1.9,00-0026188
107,David Johnson,TE,PIT,NO,1.9,
108,Owen Daniels,TE,HOU,IND,1.8,00-0024313
109,Zach Miller,TE,OAK,SEA,1.8,00-0027125
110,Chris Baker,TE,SEA,OAK,1.5,
111,Donald Lee,TE,GB,NYJ,1.5,00-0021929
112,Rob Gronkowski,TE,NE,MIN,1.5,00-0027656
113,Ryan Purvis,TE,TB,ARI,1.5,00-0026804
114,Kellen Winslow,TE,TB,ARI,1.5,00-0022922
115,Deon Butler,TE,SEA,OAK,1.4,00-0027063
116,Stephen Spach,TE,ARI,TB,1.3,00-0023108
117,Zach Miller,TE,JAX,DAL,0.0,00-0027125
118,Cameron Morrah,TE,SEA,OAK,0.0,00-0026963
119,Gijon Robinson,TE,IND,HOU,0.0,00-0024529
120,Will Heller,TE,DET,WAS,0.0,00-0021756
