Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Jamaal Charles,RB,12,KC,LAC,14,115,8,2,6,4,42,0,0,0,34.70,2013
2,Knowshon Moreno,RB,12,DEN,NE,37,224,6,1,1,1,6,0,0,0,33.00,2013
3,Eddie Lacy,RB,12,GB,MIN,25,110,4,1,6,6,48,0,0,0,30.80,2013
4,Maurice Jones-Drew,RB,12,JAX,HOU,14,84,6,1,6,6,60,0,0,0,26.40,2013
5,Adrian Peterson,RB,12,MIN,GB,32,146,5,1,1,1,2,0,1,1,23.80,2013
6,Danny Woodhead,RB,12,LAC,KC,6,25,4,1,4,4,45,1,0,0,23.00,2013
7,Andre Brown,RB,12,NYG,DAL,21,127,6,0,4,4,11,0,0,0,22.80,2013
8,Benjamin Cunningham,RB,12,LAR,CHI,13,109,8,1,0,0,0,0,1,0,19.90,2013
9,Pierre Thomas,RB,12,NO,ATL,10,73,7,0,6,5,57,0,0,0,18.00,2013
10,Matt Forte,RB,12,CHI,LAR,16,77,5,0,9,7,40,0,1,1,17.70,2013
11,Shane Vereen,RB,12,NE,DEN,10,31,3,0,11,8,60,0,0,0,17.10,2013
12,Steven Jackson,RB,12,ATL,NO,16,63,4,1,4,3,16,0,0,0,16.90,2013
13,Zac Stacy,RB,12,LAR,CHI,12,87,7,1,2,1,10,0,0,0,16.70,2013
14,Rashad Jennings,RB,12,OAK,TEN,16,73,5,0,5,4,49,0,0,0,16.20,2013
15,Marcel Reece,FB,12,OAK,TEN,5,14,3,0,5,4,44,1,0,0,15.80,2013
16,DeMarco Murray,RB,12,DAL,NYG,14,86,6,0,3,3,40,0,0,0,15.60,2013
17,Rashard Mendenhall,RB,12,ARI,IND,13,54,4,1,2,1,24,0,0,0,14.80,2013
18,Ryan Mathews,RB,12,LAC,KC,14,55,4,1,2,2,10,0,1,0,14.50,2013
19,Reggie Bush,RB,12,DET,TB,15,83,6,0,7,4,17,0,0,0,14.00,2013
20,Brandon Bolden,RB,12,NE,DEN,13,58,5,1,1,1,11,0,0,0,13.90,2013
21,Dexter McCluster,RB,12,KC,LAC,1,-1,-1,0,10,7,59,0,0,0,12.80,2013
22,Le'Veon Bell,RB,12,PIT,CLE,23,80,4,0,5,2,18,0,0,0,11.80,2013
23,Chris Johnson,RB,12,TEN,OAK,20,73,4,0,5,3,8,0,0,0,11.10,2013
24,Dennis Johnson,RB,12,HOU,JAX,13,74,6,0,2,2,13,0,0,0,10.70,2013
25,Toby Gerhart,RB,12,MIN,GB,8,91,11,0,1,1,5,0,0,0,10.60,2013
26,Bilal Powell,RB,12,NYJ,BAL,11,41,4,0,4,3,24,0,0,0,9.50,2013
27,Andre Ellington,RB,12,ARI,IND,10,50,5,0,2,2,21,0,0,0,9.10,2013
28,Lamar Miller,RB,12,MIA,CAR,10,8,1,0,4,4,39,0,0,0,8.70,2013
29,Montee Ball,RB,12,DEN,NE,7,40,6,0,3,3,17,0,1,1,7.70,2013
30,Ben Tate,RB,12,HOU,JAX,7,1,0,0,6,5,26,0,0,0,7.70,2013
31,Brandon Jacobs,RB,12,NYG,DAL,9,75,8,0,0,0,0,0,0,0,7.50,2013
32,Michael Bush,RB,12,CHI,LAR,7,-5,-1,1,2,1,10,0,0,0,7.50,2013
33,DeAngelo Williams,RB,12,CAR,MIA,10,31,3,0,3,2,16,0,0,0,6.70,2013
34,Lance Dunbar,RB,12,DAL,NYG,3,20,7,0,2,2,26,0,0,0,6.60,2013
35,Jacquizz Rodgers,RB,12,ATL,NO,3,7,2,0,3,2,31,0,0,0,5.80,2013
36,Alfred Morris,RB,12,WAS,SF,14,52,4,0,0,0,0,0,0,0,5.20,2013
37,Chris Ogbonnaya,RB,12,CLE,PIT,4,26,7,0,5,2,15,0,1,1,5.10,2013
38,John Kuhn,FB,12,GB,MIN,0,0,0,0,4,2,29,0,0,0,4.90,2013
39,Jamize Olawale,FB,12,OAK,TEN,0,0,0,0,2,2,27,0,0,0,4.70,2013
40,Jordan Todman,RB,12,JAX,HOU,11,31,3,0,1,1,5,0,0,0,4.60,2013
41,Trent Richardson,RB,12,IND,ARI,7,15,2,0,2,2,11,0,0,0,4.60,2013
42,Jonathan Stewart,RB,12,CAR,MIA,7,31,4,0,1,1,3,0,0,0,4.40,2013
43,Frank Gore,RB,12,SF,WAS,13,31,2,0,2,1,3,0,0,0,4.40,2013
44,Roy Helu,RB,12,WAS,SF,7,26,4,0,1,1,7,0,0,0,4.30,2013
45,Tony Fiammetta,FB,12,CHI,LAR,0,0,0,0,2,2,23,0,0,0,4.30,2013
46,James Starks,RB,12,GB,MIN,3,37,12,0,2,1,-5,0,0,0,4.20,2013
47,Jason Snelling,RB,12,ATL,NO,0,0,0,0,2,2,19,0,0,0,3.90,2013
48,Mike Tolbert,FB,12,CAR,MIA,4,23,6,0,1,1,5,0,0,0,3.80,2013
49,Ray Rice,RB,12,BAL,NYJ,16,30,2,0,1,1,-3,0,0,0,3.70,2013
50,Chris Ivory,RB,12,NYJ,BAL,9,35,4,0,0,0,0,0,0,0,3.50,2013
