Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Josh Gordon,WR,12,CLE,PIT,17,14,82,237,1,47,14,17,0,0,0,0,0,46.70,2013
2,Julian Edelman,WR,12,NE,DEN,11,9,82,110,2,43,10,12,0,0,0,2,0,35.00,2013
3,Brandon Marshall,WR,12,CHI,LAR,12,10,83,117,1,23,10,12,0,0,0,0,0,30.70,2013
4,Tiquan Underwood,WR,12,TB,DET,5,3,60,108,2,85,22,36,0,0,0,0,0,28.80,2013
5,Mike Wallace,WR,12,MIA,CAR,10,5,50,127,1,57,13,25,0,0,0,0,0,26.70,2013
6,Anquan Boldin,WR,12,SF,WAS,6,5,83,94,2,32,16,19,0,0,0,0,0,26.40,2013
7,Justin Hunter,WR,12,TEN,OAK,6,6,100,109,1,54,18,18,0,0,0,0,0,25.90,2013
8,Kendall Wright,WR,12,TEN,OAK,7,6,86,103,1,31,15,17,0,0,0,0,0,25.30,2013
9,Keenan Allen,WR,12,LAC,KC,12,9,75,124,0,29,10,14,0,0,0,0,0,24.40,2013
10,Jacoby Jones,WR,12,BAL,NYJ,6,4,67,103,1,66,17,26,0,0,0,0,0,23.30,2013
11,Larry Fitzgerald,WR,12,ARI,IND,11,5,46,52,2,26,5,10,1,4,0,0,0,22.60,2013
12,Calvin Johnson,WR,12,DET,TB,14,7,50,115,0,21,8,16,0,0,0,0,0,21.50,2013
13,Nate Burleson,WR,12,DET,TB,10,7,70,77,1,28,8,11,1,0,0,1,0,20.70,2013
14,Antonio Brown,WR,12,PIT,CLE,10,6,60,92,1,41,9,15,1,-8,0,0,0,20.40,2013
15,Michael Floyd,WR,12,ARI,IND,7,7,100,104,0,29,15,15,0,0,0,0,0,20.40,2013
16,Donnie Avery,WR,12,KC,LAC,5,4,80,91,1,36,18,23,0,0,0,0,0,19.10,2013
17,Tavon Austin,WR,12,LAR,CHI,5,2,40,39,0,32,8,20,1,65,1,0,0,18.40,2013
18,Dez Bryant,WR,12,DAL,NYG,16,9,56,86,0,24,5,10,0,0,0,1,0,17.60,2013
19,Emmanuel Sanders,WR,12,PIT,CLE,7,6,86,52,1,14,7,9,0,0,0,0,0,17.20,2013
20,Jarrett Boykin,WR,12,GB,MIN,10,5,50,60,1,34,6,12,0,0,0,0,0,17.00,2013
21,Harry Douglas,WR,12,ATL,NO,11,9,82,79,0,15,7,9,0,0,0,0,0,16.90,2013
22,Dwayne Bowe,WR,12,KC,LAC,6,5,83,51,1,22,9,10,0,0,0,0,0,16.10,2013
23,Cecil Shorts,WR,12,JAX,HOU,11,8,73,71,0,16,7,9,0,0,0,0,0,15.10,2013
24,James Jones,WR,12,GB,MIN,12,7,58,80,0,28,7,11,0,0,0,0,0,15.00,2013
25,Demaryius Thomas,WR,12,DEN,NE,9,4,44,41,1,15,5,10,0,0,0,0,0,14.10,2013
26,Earl Bennett,WR,12,CHI,LAR,8,8,100,58,0,17,7,7,0,0,0,0,0,13.80,2013
27,Cordarrelle Patterson,WR,12,MIN,GB,11,8,73,54,0,21,5,7,0,0,0,0,0,13.40,2013
