Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Jay Feely,K,12,ARI,IND,4,5,80,50,4,4,0.00,2013
2,Justin Tucker,K,12,BAL,NYJ,4,4,100,53,1,1,0.00,2013
3,Sebastian Janikowski,K,12,OAK,TEN,4,6,67,52,1,1,0.00,2013
4,Blair Walsh,K,12,MIN,GB,4,4,100,47,2,2,0.00,2013
5,Nick Novak,K,12,LAC,KC,2,2,100,30,5,5,0.00,2013
6,Rob Bironas,K,12,TEN,OAK,3,3,100,33,2,2,0.00,2013
7,Greg Zuerlein,K,12,LAR,CHI,2,2,100,40,4,4,0.00,2013
8,Graham Gano,K,12,CAR,MIA,2,3,67,52,2,2,0.00,2013
9,Caleb Sturgis,K,12,MIA,CAR,3,4,75,47,1,1,0.00,2013
10,Stephen Gostkowski,K,12,NE,DEN,2,2,100,31,4,4,0.00,2013
11,Shaun Suisham,K,12,PIT,CLE,2,2,100,47,3,3,0.00,2013
12,Josh Scobee,K,12,JAX,HOU,2,3,67,53,1,1,0.00,2013
13,Phil Dawson,K,12,SF,WAS,2,2,100,49,3,3,0.00,2013
14,Mason Crosby,K,12,GB,MIN,2,2,100,27,2,2,0.00,2013
15,Ryan Succop,K,12,KC,LAC,1,1,100,25,5,5,0.00,2013
16,Matt Bryant,K,12,ATL,NO,2,3,67,39,1,1,0.00,2013
17,Josh Brown,K,12,NYG,DAL,2,2,100,23,1,1,0.00,2013
18,Matt Prater,K,12,DEN,NE,1,1,100,27,4,4,0.00,2013
19,Rian Lindell,K,12,TB,DET,1,3,33,38,3,3,0.00,2013
20,Randy Bullock,K,12,HOU,JAX,2,2,100,49,0,0,0.00,2013
21,Dan Bailey,K,12,DAL,NYG,1,1,100,35,3,3,0.00,2013
22,Kai Forbath,K,12,WAS,SF,2,2,100,36,0,0,0.00,2013
23,Garrett Hartley,K,12,NO,ATL,1,1,100,41,2,2,0.00,2013
24,Nick Folk,K,12,NYJ,BAL,1,1,100,27,0,0,0.00,2013
25,Billy Cundiff,K,12,CLE,PIT,1,2,50,49,0,0,0.00,2013
26,Robbie Gould,K,12,CHI,LAR,0,0,0,0,3,3,0.00,2013
27,David Akers,K,12,DET,TB,0,0,0,0,3,3,0.00,2013
28,Adam Vinatieri,K,12,IND,ARI,1,1,100,27,0,0,0.00,2013
