Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Chicago Bears,DST,3,CHI,PIT,5,3,4,2,3,0,2,0,23,25.00,2013
2,Carolina Panthers,DST,3,CAR,NYG,8,7,10,2,1,0,0,0,0,23.00,2013
3,Kansas City Chiefs,DST,3,KC,PHI,5,6,7,2,3,0,1,0,16,23.00,2013
4,Baltimore Ravens,DST,3,BAL,HOU,9,3,7,1,0,0,1,1,9,21.00,2013
5,Green Bay Packers,DST,3,GB,CIN,5,4,4,1,3,0,1,0,34,19.00,2013
6,Cincinnati Bengals,DST,3,CIN,GB,5,4,8,2,2,0,1,0,30,18.00,2013
7,Cleveland Browns,DST,3,CLE,MIN,5,6,8,1,2,0,0,0,27,12.00,2013
8,Dallas Cowboys,DST,3,DAL,LAR,7,6,8,0,1,0,0,0,7,12.00,2013
9,New England Patriots,DST,3,NE,TB,1,3,8,1,0,0,0,0,3,12.00,2013
10,New Orleans Saints,DST,3,NO,ARI,5,4,9,2,0,0,0,0,7,12.00,2013
11,Indianapolis Colts,DST,3,IND,SF,4,3,3,1,1,0,0,0,7,11.00,2013
12,Minnesota Vikings,DST,3,MIN,CLE,8,3,7,3,1,0,0,0,31,10.00,2013
13,Seattle Seahawks,DST,3,SEA,JAX,7,3,8,2,1,0,0,0,17,10.00,2013
14,Atlanta Falcons,DST,3,ATL,MIA,3,5,6,1,1,0,0,0,27,9.00,2013
15,New York Jets,DST,3,NYJ,BUF,12,8,16,0,0,0,0,0,20,9.00,2013
16,Washington Redskins,DST,3,WAS,DET,5,1,10,1,0,0,1,0,27,9.00,2013
17,Detroit Lions,DST,3,DET,WAS,2,2,8,1,1,0,0,0,20,7.00,2013
18,Tennessee Titans,DST,3,TEN,LAC,3,2,2,0,1,0,0,0,17,7.00,2013
19,Philadelphia Eagles,DST,3,PHI,KC,7,5,6,0,0,0,0,0,26,6.00,2013
20,Arizona Cardinals,DST,3,ARI,NO,7,4,5,1,0,0,0,0,31,5.00,2013
21,Tampa Bay Buccaneers,DST,3,TB,NE,4,3,6,1,0,0,0,0,23,5.00,2013
22,Buffalo Bills,DST,3,BUF,NYJ,2,0,2,2,0,0,0,0,27,4.00,2013
23,Miami Dolphins,DST,3,MIA,ATL,2,0,5,1,1,0,0,0,23,4.00,2013
24,Denver Broncos,DST,3,DEN,OAK,4,3,6,0,0,0,0,0,21,3.00,2013
25,Los Angeles Chargers,DST,3,LAC,TEN,4,2,2,0,0,0,0,0,20,3.00,2013
26,Pittsburgh Steelers,DST,3,PIT,CHI,4,2,5,0,0,0,0,0,40,3.00,2013
27,Houston Texans,DST,3,HOU,BAL,6,2,2,0,0,0,0,0,30,2.00,2013
28,Jacksonville Jaguars,DST,3,JAX,SEA,4,2,6,1,1,0,0,0,45,2.00,2013
29,Los Angeles Rams,DST,3,LAR,DAL,3,1,1,0,1,0,0,0,31,2.00,2013
30,New York Giants,DST,3,NYG,CAR,7,1,1,1,1,0,0,0,38,1.00,2013
31,Oakland Raiders,DST,3,OAK,DEN,2,1,2,0,2,0,0,0,37,1.00,2013
32,San Francisco 49ers,DST,3,SF,IND,3,1,7,0,0,0,0,0,27,1.00,2013
