,Player,Position,Team,Opponent,Points,PlayerID
0,Geno Smith,QB,NYJ,BUF,29.64,00-0030565
1,Jake Locker,QB,TEN,LAC,28.76,00-0027946
2,Peyton Manning,QB,DEN,OAK,28.76,00-0010346
3,Matthew Stafford,QB,DET,WAS,25.6,00-0026498
4,Brian Hoyer,QB,CLE,MIN,24.64,00-0026625
5,Ben Roethlisberger,QB,PIT,CHI,23.94,00-0022924
6,Christian Ponder,QB,MIN,CLE,23.72,00-0027950
7,Russell Wilson,QB,SEA,JAX,23.48,00-0029263
8,Tony Romo,QB,DAL,LAR,20.4,00-0021678
9,EJ Manuel,QB,BUF,NYJ,19.72,00-0030526
10,Michael Vick,QB,PHI,KC,18.94,
11,Robert Griffin III,QB,WAS,DET,17.74,00-0029532
12,Tom Brady,QB,NE,TB,16.5,00-0019596
13,Matt Ryan,QB,ATL,MIA,16.24,00-0026143
14,Ryan Tannehill,QB,MIA,ATL,16.14,00-0029701
15,Andy Dalton,QB,CIN,GB,15.7,00-0027973
16,Tarvaris Jackson,QB,SEA,JAX,15.36,00-0024279
17,Andrew Luck,QB,IND,SF,14.76,00-0029668
18,Aaron Rodgers,QB,GB,CIN,14.16,00-0023459
19,Alex Smith,QB,KC,PHI,14.12,00-0023436
20,Sam Bradford,QB,LA,DAL,13.6,00-0027854
21,Jay Cutler,QB,CHI,PIT,11.46,00-0024226
22,Philip Rivers,QB,LAC,TEN,10.46,00-0022942
23,Josh Freeman,QB,TB,NE,8.84,00-0026993
24,Chad Henne,QB,JAX,SEA,7.9,00-0026197
25,Joe Flacco,QB,BAL,HOU,6.84,00-0026158
26,Matt Schaub,QB,HOU,BAL,6.76,00-0022787
27,Colin Kaepernick,QB,SF,IND,6.0,00-0027974
28,Carson Palmer,QB,ARI,NO,5.48,00-0021429
29,Eli Manning,QB,NYG,CAR,5.16,00-0022803
30,Matt Flynn,QB,OAK,DEN,0.76,00-0026349
31,Luke McCown,QB,NO,ARI,0.0,00-0022864
32,Joe Webb,QB,MIN,CLE,0.0,00-0027796
33,TJ Yates,QB,HOU,BAL,0.0,
34,Derek Anderson,QB,CAR,NYG,-0.1,00-0023645
35,Curtis Painter,QB,NYG,CAR,-0.36,00-0027134
36,Eric Decker,WR,DEN,OAK,30.3,00-0027690
37,Santonio Holmes,WR,NYJ,BUF,29.4,00-0024240
