Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Phil Dawson,K,9,CLE,BAL,5,5,100,41,0,0,0.00,2012
2,Robbie Gould,K,9,CHI,TEN,3,3,100,40,6,6,0.00,2012
3,Matt Bryant,K,9,ATL,DAL,4,6,67,46,1,1,0.00,2012
4,Mike Nugent,K,9,CIN,DEN,3,4,75,49,2,2,0.00,2012
5,Adam Vinatieri,K,9,IND,MIA,3,5,60,47,2,2,0.00,2012
6,Blair Walsh,K,9,MIN,SEA,2,2,100,55,2,2,0.00,2012
7,Rian Lindell,K,9,BUF,HOU,3,4,75,39,0,0,0.00,2012
8,Dan Carpenter,K,9,MIA,IND,2,2,100,37,2,2,0.00,2012
9,Lawrence Tynes,K,9,NYG,PIT,2,3,67,50,2,2,0.00,2012
10,Ryan Succop,K,9,KC,LAC,2,3,67,49,1,1,0.00,2012
11,Nick Novak,K,9,LAC,KC,1,1,100,25,4,4,0.00,2012
12,Matt Prater,K,9,DEN,CIN,1,1,100,43,4,4,0.00,2012
13,Mason Crosby,K,9,GB,ARI,1,2,50,33,4,4,0.00,2012
14,Jason Hanson,K,9,DET,JAX,1,2,50,42,4,4,0.00,2012
15,Kai Forbath,K,9,WAS,CAR,2,2,100,47,1,1,0.00,2012
16,Dan Bailey,K,9,DAL,ATL,2,3,67,32,1,1,0.00,2012
17,Alex Henery,K,9,PHI,NO,2,2,100,37,1,1,0.00,2012
18,Sebastian Janikowski,K,9,OAK,TB,1,1,100,29,3,3,0.00,2012
19,Connor Barth,K,9,TB,OAK,0,2,0,0,6,6,0.00,2012
20,Steven Hauschka,K,9,SEA,MIN,1,1,100,40,3,3,0.00,2012
21,Justin Tucker,K,9,BAL,CLE,1,1,100,43,2,2,0.00,2012
22,Jay Feely,K,9,ARI,GB,1,1,100,20,2,2,0.00,2012
23,Rob Bironas,K,9,TEN,CHI,1,1,100,39,1,1,0.00,2012
24,Garrett Hartley,K,9,NO,PHI,0,1,0,0,4,4,0.00,2012
25,Shayne Graham,K,9,HOU,BUF,0,1,0,0,3,3,0.00,2012
26,Justin Medlock,K,9,CAR,WAS,0,1,0,0,3,3,0.00,2012
27,Josh Scobee,K,9,JAX,DET,0,0,0,0,0,0,0.00,2012
28,Shaun Suisham,K,9,PIT,NYG,1,1,100,30,3,3,-0.10,2012
