Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Brandon Marshall,WR,9,CHI,TEN,10,9,90,122,3,39,12,14,0,0,0,0,0,42.20,2012
2,Eric Decker,WR,9,DEN,CIN,11,8,73,99,2,30,9,12,0,0,0,0,0,29.90,2012
3,TY Hilton,WR,9,IND,MIA,11,6,55,102,1,36,9,17,1,1,0,0,0,25.30,2012
4,AJ Green,WR,9,CIN,DEN,9,7,78,99,1,37,11,14,1,6,0,0,0,23.50,2012
5,Calvin Johnson,WR,9,DET,JAX,8,7,88,129,0,38,16,18,0,0,0,0,0,22.90,2012
6,Andre Johnson,WR,9,HOU,BUF,10,8,80,118,0,34,12,15,0,0,0,0,0,22.80,2012
7,DeSean Jackson,WR,9,PHI,NO,7,3,43,100,1,77,14,33,0,0,0,0,0,22.00,2012
8,Roddy White,WR,9,ATL,DAL,10,7,70,118,0,26,12,17,0,0,0,0,0,21.80,2012
9,Julio Jones,WR,9,ATL,DAL,6,5,83,129,0,48,22,26,1,8,0,0,0,21.70,2012
10,Brian Hartline,WR,9,MIA,IND,12,8,67,107,0,35,9,13,0,0,0,0,0,21.70,2012
11,Randall Cobb,WR,9,GB,ARI,9,3,33,37,2,21,4,12,3,29,0,0,0,21.60,2012
12,Golden Tate,WR,9,SEA,MIN,6,4,67,28,2,11,5,7,2,21,0,0,0,20.90,2012
13,Reggie Wayne,WR,9,IND,MIA,9,7,78,78,1,21,9,11,0,0,0,0,0,20.80,2012
14,Larry Fitzgerald,WR,9,ARI,GB,12,6,50,74,1,31,6,12,0,0,0,0,0,19.40,2012
15,Donnie Avery,WR,9,IND,MIA,8,5,63,108,0,48,14,22,0,0,0,0,0,18.80,2012
16,Kevin Ogletree,WR,9,DAL,ATL,4,3,75,96,1,65,24,32,0,0,0,0,0,18.60,2012
17,Mike Williams,WR,9,TB,OAK,8,4,50,68,1,37,9,17,0,0,0,0,0,16.80,2012
18,Vincent Jackson,WR,9,TB,OAK,4,2,50,84,1,64,21,42,0,0,0,0,0,16.40,2012
19,Sidney Rice,WR,9,SEA,MIN,4,4,100,54,1,23,14,14,0,0,0,0,0,16.40,2012
20,James Jones,WR,9,GB,ARI,7,4,57,61,1,28,9,15,0,0,0,0,0,16.10,2012
