Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Kyle Rudolph,TE,11,MIN,GB,9,6,67,106,1,47,12,18,0,0,0,0,0,25.60,2015
2,Delanie Walker,TE,11,TEN,JAX,10,8,80,109,0,29,11,14,0,0,0,0,0,21.90,2015
3,Crockett Gillmore,TE,11,BAL,LAR,8,5,63,101,0,46,13,20,0,0,0,0,0,18.10,2015
4,Tyler Eifert,TE,11,CIN,ARI,3,3,100,22,2,10,7,7,0,0,0,0,0,17.20,2015
5,Vance McDonald,TE,11,SF,SEA,4,4,100,65,1,36,16,16,0,0,0,0,0,16.50,2015
6,Brent Celek,TE,11,PHI,TB,10,7,70,79,0,18,8,11,0,0,0,0,0,14.90,2015
7,Greg Olsen,TE,11,CAR,WAS,6,3,50,54,1,34,9,18,0,0,0,0,0,14.40,2015
8,Julius Thomas,TE,11,JAX,TEN,8,5,63,28,1,12,4,6,0,0,0,0,0,13.80,2015
9,Cameron Brate,TE,11,TB,PHI,4,3,75,47,1,23,12,16,0,0,0,0,0,13.70,2015
10,Vernon Davis,TE,11,DEN,CHI,6,6,100,68,0,18,11,11,0,0,0,0,0,12.80,2015
11,Lance Kendricks,TE,11,LAR,BAL,4,2,50,43,1,30,11,22,0,0,0,0,0,12.30,2015
12,Owen Daniels,TE,11,DEN,CHI,5,4,80,69,0,31,14,17,0,0,0,0,0,10.90,2015
13,Jordan Cameron,TE,11,MIA,DAL,5,2,40,21,1,12,4,11,0,0,0,0,0,10.10,2015
14,Travis Kelce,TE,11,KC,LAC,7,5,71,46,0,16,7,9,0,0,0,0,0,9.60,2015
15,Jordan Reed,TE,11,WAS,CAR,8,6,75,46,0,13,6,8,0,0,0,1,1,9.60,2015
16,Darren Fells,TE,11,ARI,CIN,2,1,50,18,1,18,9,18,0,0,0,0,0,8.80,2015
