Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Chicago Bears,DST,17,CHI,MIN,8,2,4,3,0,0,1,0,13,20.00,2011
2,Atlanta Falcons,DST,17,ATL,TB,3,2,5,3,1,0,1,0,24,17.00,2011
3,Minnesota Vikings,DST,17,MIN,CHI,9,7,9,1,2,0,0,0,17,17.00,2011
4,New England Patriots,DST,17,NE,BUF,3,2,4,4,0,0,1,0,21,16.00,2011
5,Jacksonville Jaguars,DST,17,JAX,IND,1,3,7,2,1,0,0,0,13,13.00,2011
6,Kansas City Chiefs,DST,17,KC,DEN,3,2,4,1,1,0,0,0,3,13.00,2011
7,New York Giants,DST,17,NYG,DAL,7,6,7,1,1,0,0,0,14,11.00,2011
8,Cleveland Browns,DST,17,CLE,PIT,4,2,3,0,2,0,0,0,13,10.00,2011
9,Miami Dolphins,DST,17,MIA,NYJ,2,2,3,3,0,0,0,0,17,9.00,2011
10,Arizona Cardinals,DST,17,ARI,SEA,12,4,6,1,0,0,0,0,20,9.00,2011
11,Philadelphia Eagles,DST,17,PHI,WAS,2,1,1,1,0,0,0,0,10,9.00,2011
12,Pittsburgh Steelers,DST,17,PIT,CLE,5,2,2,1,0,0,0,0,9,8.00,2011
13,Los Angeles Chargers,DST,17,LAC,OAK,0,0,2,1,0,0,0,1,26,8.00,2011
14,Denver Broncos,DST,17,DEN,KC,5,1,2,0,1,0,0,0,7,7.00,2011
15,New Orleans Saints,DST,17,NO,CAR,2,2,4,1,1,0,0,0,17,7.00,2011
16,San Francisco 49ers,DST,17,SF,LAR,6,3,4,2,0,0,0,0,27,7.00,2011
17,Green Bay Packers,DST,17,GB,DET,1,2,3,2,2,0,0,0,41,6.00,2011
18,Indianapolis Colts,DST,17,IND,JAX,2,3,3,0,1,0,0,0,19,6.00,2011
19,New York Jets,DST,17,NYJ,MIA,4,1,1,2,0,0,0,0,19,6.00,2011
20,Seattle Seahawks,DST,17,SEA,ARI,4,2,3,1,1,0,0,0,23,6.00,2011
21,Tampa Bay Buccaneers,DST,17,TB,ATL,4,0,1,1,1,0,1,0,45,6.00,2011
22,Detroit Lions,DST,17,DET,GB,4,3,7,1,1,1,0,0,45,5.00,2011
23,Houston Texans,DST,17,HOU,TEN,3,3,4,0,1,0,0,0,23,5.00,2011
24,Tennessee Titans,DST,17,TEN,HOU,5,3,3,0,1,0,0,0,22,5.00,2011
25,Washington Redskins,DST,17,WAS,PHI,4,2,1,1,1,0,0,0,34,5.00,2011
26,Baltimore Ravens,DST,17,BAL,CIN,1,1,2,0,1,0,0,0,16,4.00,2011
27,Buffalo Bills,DST,17,BUF,NE,4,4,3,1,0,0,0,0,49,2.00,2011
28,Los Angeles Rams,DST,17,LAR,SF,8,3,7,0,0,0,0,0,34,2.00,2011
29,Cincinnati Bengals,DST,17,CIN,BAL,2,1,3,0,0,0,0,0,24,1.00,2011
30,Dallas Cowboys,DST,17,DAL,NYG,5,2,7,0,0,0,0,0,31,1.00,2011
31,Carolina Panthers,DST,17,CAR,NO,1,0,0,1,0,0,0,0,45,-2.00,2011
32,Oakland Raiders,DST,17,OAK,LAC,0,0,1,1,0,0,0,0,38,-2.00,2011
