,Player,Position,Team,Opponent,Points,PlayerID
0,Russell Wilson,QB,SEA,NYJ,26.86,00-0029263
1,Blake Bortles,QB,JAX,IND,25.88,00-0031407
2,Derek Carr,QB,OAK,BAL,23.76,00-0031280
3,Joe Flacco,QB,BAL,OAK,23.02,00-0026158
4,Philip Rivers,QB,LAC,NO,22.84,00-0022942
5,Brian Hoyer,QB,CHI,DET,22.78,00-0026625
6,Case Keenum,QB,LA,ARI,19.04,00-0028986
7,Alex Smith,QB,KC,PIT,18.68,00-0023436
8,Andrew Luck,QB,IND,JAX,18.66,00-0029668
9,Kirk Cousins,QB,WAS,CLE,18.32,00-0029604
10,Dak Prescott,QB,DAL,SF,18.1,00-0033077
11,Brock Osweiler,QB,HOU,TEN,17.56,00-0029682
12,Tyrod Taylor,QB,BUF,NE,16.64,00-0028118
13,Cam Newton,QB,CAR,ATL,15.6,00-0027939
14,Sam Bradford,QB,MIN,NYG,15.08,00-0027854
15,Derek Anderson,QB,CAR,ATL,14.88,00-0023645
16,Andy Dalton,QB,CIN,MIA,14.64,00-0027973
17,Drew Brees,QB,NO,LAC,13.88,00-0020531
18,Blaine Gabbert,QB,SF,DAL,13.54,00-0027948
19,Carson Palmer,QB,ARI,LAR,13.52,00-0021429
20,Jameis Winston,QB,TB,DEN,13.06,00-0031503
21,Cody Kessler,QB,CLE,WAS,12.12,00-0033104
22,Ryan Fitzpatrick,QB,NYJ,SEA,11.94,00-0023682
23,Paxton Lynch,QB,DEN,TB,10.4,00-0033108
24,Matthew Stafford,QB,DET,CHI,10.22,00-0026498
25,Ryan Tannehill,QB,MIA,CIN,9.56,00-0029701
26,Jacoby Brissett,QB,NE,BUF,9.5,00-0033119
27,Eli Manning,QB,NYG,MIN,9.44,00-0022803
28,Marcus Mariota,QB,TEN,HOU,9.08,00-0032268
29,Trevor Siemian,QB,DEN,TB,6.72,00-0032156
30,Joe Webb,QB,CAR,ATL,1.3,00-0027796
31,Landry Jones,QB,PIT,KC,0.0,00-0030524
32,Drew Stanton,QB,ARI,LAR,-0.52,00-0025430
33,Michael Crabtree,WR,OAK,BAL,33.8,00-0026986
34,Steve Smith,WR,BAL,OAK,28.1,
35,Dontrelle Inman,WR,LAC,NO,28.0,00-0028411
36,John Brown,WR,ARI,LAR,27.4,00-0031051
37,Eddie Royal,WR,CHI,DET,27.1,00-0026182
