,Player,Position,Team,Opponent,Points,PlayerID
0,Aaron Rodgers,QB,GB,CHI,31.88,00-0023459
1,Philip Rivers,QB,LAC,JAX,30.08,00-0022942
2,Joe Flacco,QB,BAL,CAR,28.38,00-0026158
3,Matthew Stafford,QB,DET,NYJ,26.52,00-0026498
4,Teddy Bridgewater,QB,MIN,ATL,26.38,00-0031237
5,Ben Roethlisberger,QB,PIT,TB,26.36,00-0022924
6,Tony Romo,QB,DAL,NO,24.48,00-0021678
7,Drew Brees,QB,NO,DAL,24.2,00-0020531
8,Alex Smith,QB,KC,NE,22.72,00-0023436
9,Matt Ryan,QB,ATL,MIN,22.12,00-0026143
10,Mike Glennon,QB,TB,PIT,22.08,00-0030520
11,Ryan Tannehill,QB,MIA,OAK,21.62,00-0029701
12,Colin Kaepernick,QB,SF,PHI,21.52,00-0027974
13,Jay Cutler,QB,CHI,GB,19.14,00-0024226
14,EJ Manuel,QB,BUF,HOU,15.3,00-0030526
15,Blake Bortles,QB,JAX,LAC,14.52,00-0031407
16,Ryan Fitzpatrick,QB,HOU,BUF,14.12,00-0023682
17,Charlie Whitehurst,QB,TEN,IND,14.08,00-0024296
18,Cam Newton,QB,CAR,BAL,12.58,00-0027939
19,Geno Smith,QB,NYJ,DET,10.76,00-0030565
20,Kirk Cousins,QB,WAS,NYG,10.48,00-0029604
21,Derek Carr,QB,OAK,MIA,9.74,00-0031280
22,Matt McGloin,QB,OAK,MIA,7.46,00-0030419
23,Tom Brady,QB,NE,KC,7.36,00-0019596
24,Jimmy Garoppolo,QB,NE,KC,6.8,00-0031345
25,Nick Foles,QB,PHI,SF,5.9,00-0029567
26,Derek Anderson,QB,CAR,BAL,2.84,00-0023645
27,Jimmy Clausen,QB,CHI,GB,0.36,00-0027659
28,Christian Ponder,QB,MIN,ATL,0.1,00-0027950
29,Ryan Nassib,QB,NYG,WAS,0.0,00-0030586
30,Luke McCown,QB,NO,DAL,0.0,00-0022864
31,Colt McCoy,QB,WAS,NYG,0.0,00-0027688
32,Matt Hasselbeck,QB,IND,TEN,-0.2,00-0007091
33,Matt Moore,QB,MIA,OAK,-0.2,00-0025708
34,Zach Mettenberger,QB,TEN,IND,-0.32,00-0031266
35,Antonio Brown,WR,PIT,TB,35.78,00-0027793
36,Randall Cobb,WR,GB,CHI,33.3,00-0028002
37,Eddie Royal,WR,LAC,JAX,30.5,00-0026182
38,Reggie Wayne,WR,IND,TEN,27.9,00-0020498
39,Brandon LaFell,WR,NE,KC,26.9,00-0027681
40,Keenan Allen,WR,LAC,JAX,26.5,00-0030279
41,Terrance Williams,WR,DAL,NO,25.7,00-0030542
42,Jarius Wright,WR,MIN,ATL,24.2,00-0029572
43,Golden Tate,WR,DET,NYJ,22.6,00-0027891
44,TY Hilton,WR,IND,TEN,20.0,00-0029608
45,Victor Cruz,WR,NYG,WAS,19.8,00-0027265
46,Kelvin Benjamin,WR,CAR,BAL,18.6,00-0031359
47,Andre Holmes,WR,OAK,MIA,18.4,00-0028263
48,Devin Hester,WR,ATL,MIN,18.0,00-0024272
49,DeAndre Hopkins,WR,HOU,BUF,17.4,00-0030564
50,Roddy White,WR,ATL,MIN,17.3,00-0023462
51,Rueben Randle,WR,NYG,WAS,16.9,00-0029262
52,Mike Evans,WR,TB,PIT,16.5,00-0031408
53,Mike Williams,WR,BUF,HOU,16.4,00-0033536
54,Louis Murphy,WR,TB,PIT,15.9,00-0027089
55,Alshon Jeffery,WR,CHI,GB,15.1,00-0029137
56,Eric Decker,WR,NYJ,DET,14.8,00-0027690
57,Jeremy Ross,WR,DET,NYJ,14.5,00-0028249
58,James Jones,WR,OAK,MIA,14.3,00-0025465
59,Julio Jones,WR,ATL,MIN,14.2,00-0027944
60,Dez Bryant,WR,DAL,NO,13.4,00-0027902
61,Brian Hartline,WR,MIA,OAK,13.4,00-0027077
62,Torrey Smith,WR,BAL,CAR,13.3,00-0027996
63,Dwayne Bowe,WR,KC,NE,13.1,00-0025410
64,Sammy Watkins,WR,BUF,HOU,13.0,00-0031325
65,Jerricho Cotchery,WR,CAR,BAL,13.0,00-0022811
66,Malcom Floyd,WR,LAC,JAX,12.9,00-0022414
67,Mike Wallace,WR,MIA,OAK,12.5,00-0026901
68,Vincent Jackson,WR,TB,PIT,12.2,00-0023496
69,Andre Johnson,WR,HOU,BUF,12.1,00-0022044
70,Jeremy Maclin,WR,PHI,SF,11.8,00-0026995
71,Allen Hurns,WR,JAX,LAC,11.8,00-0030821
72,Anquan Boldin,WR,SF,PHI,11.2,00-0022084
73,Riley Cooper,WR,PHI,SF,10.4,00-0027758
74,Greg Jennings,WR,MIN,ATL,10.2,00-0024267
75,Marques Colston,WR,NO,DAL,10.0,00-0024466
76,Brandon Marshall,WR,CHI,GB,9.9,00-0024334
77,Kendall Wright,WR,TEN,IND,9.5,00-0029708
78,Michael Crabtree,WR,SF,PHI,9.3,00-0026986
79,Andre Roberts,WR,WAS,NYG,9.0,00-0027691
80,Markus Wheaton,WR,PIT,TB,9.0,00-0030460
81,Allen Robinson,WR,JAX,LAC,8.8,00-0031428
82,Steve Johnson,WR,SF,PHI,8.2,00-0026364
83,Heath Miller,TE,PIT,TB,24.5,00-0023465
84,Travis Kelce,TE,KC,NE,23.3,00-0030506
85,Jimmy Graham,TE,NO,DAL,21.6,00-0027696
86,Delanie Walker,TE,TEN,IND,19.4,00-0024389
87,Clay Harbor,TE,JAX,LAC,14.9,00-0027725
88,Dwayne Allen,TE,IND,TEN,12.8,00-0029689
89,Eric Ebron,TE,DET,NYJ,12.4,00-0031387
90,Rob Gronkowski,TE,NE,KC,11.1,00-0027656
91,Jason Witten,TE,DAL,NO,11.1,00-0022127
92,Jace Amaro,TE,NYJ,DET,10.8,00-0031042
93,Coby Fleener,TE,IND,TEN,10.6,00-0029697
94,Niles Paul,TE,WAS,NYG,9.0,00-0028093
95,Dion Sims,TE,MIA,OAK,8.8,00-0030422
96,Daniel Fells,TE,NYG,WAS,8.8,00-0023752
97,Owen Daniels,TE,BAL,CAR,8.3,00-0024313
