Player,Position,Team,Opponent,Points
Aaron Rodgers,QB,GB,CHI,31.88
Philip Rivers,QB,LAC,JAX,30.08
Joe Flacco,QB,BAL,CAR,28.38
Matthew Stafford,QB,DET,NYJ,26.52
Teddy Bridgewater,QB,MIN,ATL,26.38
Ben Roethlisberger,QB,PIT,TB,26.36
Tony Romo,QB,DAL,NO,24.48
Drew Brees,QB,NO,DAL,24.20
Alex Smith,QB,KC,NE,22.72
Matt Ryan,QB,ATL,MIN,22.12
Mike Glennon,QB,TB,PIT,22.08
Ryan Tannehill,QB,MIA,OAK,21.62
Colin Kaepernick,QB,SF,PHI,21.52
Jay Cutler,QB,CHI,GB,19.14
EJ Manuel,QB,BUF,HOU,15.30
Blake Bortles,QB,JAX,LAC,14.52
Ryan Fitzpatrick,QB,HOU,BUF,14.12
Charlie Whitehurst,QB,TEN,IND,14.08
Cam Newton,QB,CAR,BAL,12.58
Geno Smith,QB,NYJ,DET,10.76
Kirk Cousins,QB,WAS,NYG,10.48
Derek Carr,QB,OAK,MIA,9.74
Matt McGloin,QB,OAK,MIA,7.46
Tom Brady,QB,NE,KC,7.36
Jimmy Garoppolo,QB,NE,KC,6.80
Nick Foles,QB,PHI,SF,5.90
Derek Anderson,QB,CAR,BAL,2.84
Jimmy Clausen,QB,CHI,GB,0.36
Christian Ponder,QB,MIN,ATL,0.10
Ryan Nassib,QB,NYG,WAS,0.00
Luke McCown,QB,NO,DAL,0.00
Colt McCoy,QB,WAS,NYG,0.00
Matt Hasselbeck,QB,IND,TEN,-0.20
Matt Moore,QB,MIA,OAK,-0.20
Zach Mettenberger,QB,TEN,IND,-0.32
Antonio Brown,WR,PIT,TB,35.78
Randall Cobb,WR,GB,CHI,33.30
Eddie Royal,WR,LAC,JAX,30.50
Reggie Wayne,WR,IND,TEN,27.90
Brandon LaFell,WR,NE,KC,26.90
Keenan Allen,WR,LAC,JAX,26.50
Terrance Williams,WR,DAL,NO,25.70
Jarius Wright,WR,MIN,ATL,24.20
Golden Tate,WR,DET,NYJ,22.60
TY Hilton,WR,IND,TEN,20.00
Victor Cruz,WR,NYG,WAS,19.80
Kelvin Benjamin,WR,CAR,BAL,18.60
Andre Holmes,WR,OAK,MIA,18.40
Devin Hester,WR,ATL,MIN,18.00
DeAndre Hopkins,WR,HOU,BUF,17.40
Roddy White,WR,ATL,MIN,17.30
Rueben Randle,WR,NYG,WAS,16.90
Mike Evans,WR,TB,PIT,16.50
Mike Williams,WR,BUF,HOU,16.40
Louis Murphy,WR,TB,PIT,15.90
Alshon Jeffery,WR,CHI,GB,15.10
Eric Decker,WR,NYJ,DET,14.80
Jeremy Ross,WR,DET,NYJ,14.50
James Jones,WR,OAK,MIA,14.30
Julio Jones,WR,ATL,MIN,14.20
Dez Bryant,WR,DAL,NO,13.40
Brian Hartline,WR,MIA,OAK,13.40
Torrey Smith,WR,BAL,CAR,13.30
Dwayne Bowe,WR,KC,NE,13.10
Sammy Watkins,WR,BUF,HOU,13.00
Jerricho Cotchery,WR,CAR,BAL,13.00
Malcom Floyd,WR,LAC,JAX,12.90
Mike Wallace,WR,MIA,OAK,12.50
Vincent Jackson,WR,TB,PIT,12.20
Andre Johnson,WR,HOU,BUF,12.10
Jeremy Maclin,WR,PHI,SF,11.80
Allen Hurns,WR,JAX,LAC,11.80
Anquan Boldin,WR,SF,PHI,11.20
Riley Cooper,WR,PHI,SF,10.40
Greg Jennings,WR,MIN,ATL,10.20
Marques Colston,WR,NO,DAL,10.00
Brandon Marshall,WR,CHI,GB,9.90
Kendall Wright,WR,TEN,IND,9.50
Michael Crabtree,WR,SF,PHI,9.30
Andre Roberts,WR,WAS,NYG,9.00
Markus Wheaton,WR,PIT,TB,9.00
Allen Robinson,WR,JAX,LAC,8.80
Steve Johnson,WR,SF,PHI,8.20
Heath Miller,TE,PIT,TB,24.50
Travis Kelce,TE,KC,NE,23.30
Jimmy Graham,TE,NO,DAL,21.60
Delanie Walker,TE,TEN,IND,19.40
Clay Harbor,TE,JAX,LAC,14.90
Dwayne Allen,TE,IND,TEN,12.80
Eric Ebron,TE,DET,NYJ,12.40
Rob Gronkowski,TE,NE,KC,11.10
Jason Witten,TE,DAL,NO,11.10
Jace Amaro,TE,NYJ,DET,10.80
Coby Fleener,TE,IND,TEN,10.60
Niles Paul,TE,WAS,NYG,9.00
Dion Sims,TE,MIA,OAK,8.80
Daniel Fells,TE,NYG,WAS,8.80
Owen Daniels,TE,BAL,CAR,8.30
Josh Hill,TE,NO,DAL,8.20
Austin Seferian-Jenkins,TE,TB,PIT,7.40
Brian Leonhardt,TE,OAK,MIA,7.30
Zach Ertz,TE,PHI,SF,7.30
Nic Jacobs,TE,JAX,LAC,7.20
Richard Rodgers,TE,GB,CHI,7.20
Antonio Gates,TE,LAC,JAX,6.00
Garrett Graham,TE,HOU,BUF,5.80
Charles Clay,TE,MIA,OAK,5.20
Greg Olsen,TE,CAR,BAL,5.00
