Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Antonio Brown,WR,6,PIT,KC,10,8,80,155,1,51,16,19,0,0,0,1,0,32.50,2017
2,Larry Fitzgerald,WR,6,ARI,TB,11,10,91,138,1,29,13,14,0,0,0,1,1,31.80,2017
3,Demaryius Thomas,WR,6,DEN,NYG,14,10,71,133,0,40,10,13,0,0,0,1,1,25.30,2017
4,Golden Tate,WR,6,DET,NO,7,7,100,96,1,45,14,14,0,0,0,0,0,22.60,2017
5,Marvin Jones,WR,6,DET,NO,14,6,43,96,1,38,7,16,0,0,0,0,0,21.60,2017
6,Jarvis Landry,WR,6,MIA,ATL,14,8,57,62,1,11,4,8,0,0,0,0,0,20.20,2017
7,Kelvin Benjamin,WR,6,CAR,PHI,13,9,69,99,0,19,8,11,0,0,0,0,0,18.90,2017
8,Adam Thielen,WR,6,MIN,GB,13,9,69,96,0,23,7,11,0,0,0,1,0,18.60,2017
9,Mike Evans,WR,6,TB,ARI,8,3,38,95,1,41,12,32,0,0,0,0,0,18.50,2017
10,Michael Crabtree,WR,6,OAK,LAC,10,6,60,52,1,23,5,9,0,0,0,0,0,17.20,2017
11,Ted Ginn,WR,6,NO,DET,4,4,100,66,1,24,17,17,1,3,0,0,0,16.90,2017
12,Davante Adams,WR,6,GB,MIN,10,5,50,54,1,19,5,11,0,0,0,0,0,16.40,2017
13,Eric Decker,WR,6,TEN,IND,9,7,78,88,0,27,10,13,0,0,0,0,0,15.80,2017
14,Nelson Agholor,WR,6,PHI,CAR,7,4,57,55,1,24,8,14,0,0,0,0,0,15.50,2017
15,John Brown,WR,6,ARI,TB,4,3,75,63,1,31,16,21,0,0,0,0,0,15.30,2017
16,Brandin Cooks,WR,6,NE,NYJ,9,6,67,93,0,42,10,16,0,0,0,0,0,15.30,2017
17,De'Anthony Thomas,WR,6,KC,PIT,4,3,75,61,1,57,15,20,0,0,0,0,0,15.10,2017
18,Marqise Lee,WR,6,JAX,LAR,10,5,50,83,0,21,8,17,1,17,0,0,0,15.00,2017
