Player,Position,Team,Opponent,Points
Deshaun Watson,QB,HOU,CLE,24.30
Cam Newton,QB,CAR,PHI,23.66
Matthew Stafford,QB,DET,NO,22.88
Ryan Fitzpatrick,QB,TB,ARI,22.80
Carson Wentz,QB,PHI,CAR,22.38
Carson Palmer,QB,ARI,TB,21.92
Trevor Siemian,QB,DEN,NYG,20.94
Marcus Mariota,QB,TEN,IND,18.24
Tom Brady,QB,NE,NYJ,17.18
Alex Smith,QB,KC,PIT,15.14
Blake Bortles,QB,JAX,LAR,14.54
Philip Rivers,QB,LAC,OAK,14.32
CJ Beathard,QB,SF,WAS,14.20
Case Keenum,QB,MIN,GB,14.06
Jacoby Brissett,QB,IND,TEN,13.98
Drew Brees,QB,NO,DET,13.54
Jay Cutler,QB,MIA,ATL,12.94
Matt Ryan,QB,ATL,MIA,12.92
Ben Roethlisberger,QB,PIT,KC,12.88
Mitch Trubisky,QB,CHI,BAL,10.72
Kevin Hogan,QB,CLE,HOU,10.20
Jared Goff,QB,LAR,JAX,9.86
Eli Manning,QB,NYG,DEN,9.12
Derek Carr,QB,OAK,LAC,8.84
Brett Hundley,QB,GB,MIN,7.58
Joe Flacco,QB,BAL,CHI,7.40
Jameis Winston,QB,TB,ARI,2.44
Brian Hoyer,QB,SF,WAS,1.36
Aaron Rodgers,QB,GB,MIN,0.72
Brock Osweiler,QB,DEN,NYG,0.62
Demaryius Thomas,WR,DEN,NYG,25.30
Golden Tate,WR,DET,NO,22.60
Marvin Jones,WR,DET,NO,21.60
Jarvis Landry,WR,MIA,ATL,20.20
Kelvin Benjamin,WR,CAR,PHI,18.90
Adam Thielen,WR,MIN,GB,18.60
Mike Evans,WR,TB,ARI,18.50
Michael Crabtree,WR,OAK,LAC,17.20
Ted Ginn,WR,NO,DET,16.90
Davante Adams,WR,GB,MIN,16.40
Eric Decker,WR,TEN,IND,15.80
Nelson Agholor,WR,PHI,CAR,15.50
John Brown,WR,ARI,TB,15.30
Brandin Cooks,WR,NE,NYJ,15.30
De'Anthony Thomas,WR,KC,PIT,15.10
Marqise Lee,WR,JAX,LAR,15.00
Kenny Stills,WR,MIA,ATL,14.90
Aldrick Robinson,WR,SF,WAS,14.60
Will Fuller,WR,HOU,CLE,14.20
Jeremy Kerley,WR,NYJ,NE,14.10
Taywan Taylor,WR,TEN,IND,14.10
Julio Jones,WR,ATL,MIA,13.20
Cordarrelle Patterson,WR,OAK,LAC,13.00
DeSean Jackson,WR,TB,ARI,12.80
Emmanuel Sanders,WR,DEN,NYG,12.60
Jordy Nelson,WR,GB,MIN,12.00
Jermaine Kearse,WR,NYJ,NE,11.90
Donte Moncrief,WR,IND,TEN,11.70
Robby Anderson,WR,NYJ,NE,11.60
Michael Campanaro,WR,BAL,CHI,11.40
Alshon Jeffery,WR,PHI,CAR,11.10
Adam Humphries,WR,TB,ARI,11.10
Marvin Hall,WR,ATL,MIA,11.00
Robert Woods,WR,LAR,JAX,11.00
Rishard Matthews,WR,TEN,IND,10.90
Pierre Garcon,WR,SF,WAS,10.50
DeAndre Hopkins,WR,HOU,CLE,9.90
Keenan Allen,WR,LAC,OAK,9.50
Josh Doctson,WR,WAS,SF,8.10
Laquon Treadwell,WR,MIN,GB,8.10
Kasen Williams,WR,CLE,HOU,8.10
Taylor Gabriel,WR,ATL,MIA,7.90
Amari Cooper,WR,OAK,LAC,7.80
Braxton Miller,WR,HOU,CLE,7.50
Tyreek Hill,WR,KC,PIT,7.50
Chris Moore,WR,BAL,CHI,7.40
Danny Amendola,WR,NE,NYJ,7.00
Ryan Grant,WR,WAS,SF,6.90
Evan Engram,TE,NYG,DEN,19.20
Austin Seferian-Jenkins,TE,NYJ,NE,17.60
Jack Doyle,TE,IND,TEN,17.00
Zach Ertz,TE,PHI,CAR,15.80
Hunter Henry,TE,LAC,OAK,14.00
Dion Sims,TE,CHI,BAL,12.20
Austin Hooper,TE,ATL,MIA,11.80
Michael Hoomanawanui,TE,NO,DET,10.70
Darren Fells,TE,DET,NO,10.60
Zach Miller,TE,CHI,BAL,10.50
Jeff Heuerman,TE,DEN,NYG,10.40
Ryan Griffin,TE,HOU,CLE,10.20
Troy Niklas,TE,ARI,TB,10.00
Kyle Rudolph,TE,MIN,GB,9.70
Seth DeValve,TE,CLE,HOU,8.90
Benjamin Watson,TE,BAL,CHI,8.80
George Kittle,TE,SF,WAS,8.60
Vernon Davis,TE,WAS,SF,8.50
Jordan Reed,TE,WAS,SF,7.70
Travis Kelce,TE,KC,PIT,7.70
Ed Dickson,TE,CAR,PHI,7.60
Gerald Everett,TE,LAR,JAX,7.40
Nick Boyle,TE,BAL,CHI,5.50
Delanie Walker,TE,TEN,IND,5.40
Jermaine Gresham,TE,ARI,TB,5.20
Julius Thomas,TE,MIA,ATL,5.20
Martellus Bennett,TE,GB,MIN,4.20
Stephen Anderson,TE,HOU,CLE,3.70
Vance McDonald,TE,PIT,KC,3.60
Virgil Green,TE,DEN,NYG,3.40
Jared Cook,TE,OAK,LAC,3.40
Ben Koyack,TE,JAX,LAR,3.10
James O'Shaughnessy,TE,JAX,LAR,3.10
Antonio Gates,TE,LAC,OAK,2.60
OJ Howard,TE,TB,ARI,2.50
Garrett Celek,TE,SF,WAS,2.30
AJ Derby,TE,DEN,NYG,2.00
Jonnu Smith,TE,TEN,IND,2.00
David Njoku,TE,CLE,HOU,2.00
Trey Burton,TE,PHI,CAR,1.90
Eric Ebron,TE,DET,NO,1.90
Jerell Adams,TE,NYG,DEN,1.60
Luke Stocker,TE,TB,ARI,1.50
Tyler Higbee,TE,LAR,JAX,1.00
Maxx Williams,TE,BAL,CHI,0.60
Brent Celek,TE,PHI,CAR,0.00
Chris Manhertz,TE,CAR,PHI,0.00
Lance Kendricks,TE,GB,MIN,0.00
Le'Veon Bell,RB,PIT,KC,31.10
Adrian Peterson,RB,ARI,TB,28.40
Jerick McKinnon,RB,MIN,GB,25.90
Leonard Fournette,RB,JAX,LAR,24.80
Derrick Henry,RB,TEN,IND,24.50
Carlos Hyde,RB,SF,WAS,24.50
Chris Ivory,RB,JAX,LAR,22.70
Christian McCaffrey,RB,CAR,PHI,22.40
Jordan Howard,RB,CHI,BAL,21.60
Chris Thompson,RB,WAS,SF,20.80
DeMarco Murray,RB,TEN,IND,18.70
Orleans Darkwa,RB,NYG,DEN,17.00
Matt Forte,RB,NYJ,NE,16.10
Jay Ajayi,RB,MIA,ATL,16.00
Todd Gurley,RB,LAR,JAX,16.00
Kareem Hunt,RB,KC,PIT,16.00
Doug Martin,RB,TB,ARI,15.40
Samaje Perine,RB,WAS,SF,13.70
Devontae Booker,RB,DEN,NYG,12.00
Alvin Kamara,RB,NO,DET,11.70
