,Player,Position,Team,Opponent,Points,PlayerID
0,Ben Roethlisberger,QB,PIT,CIN,30.9,00-0022924
1,Aaron Rodgers,QB,GB,ATL,30.88,00-0023459
2,Jay Cutler,QB,CHI,DAL,30.54,00-0024226
3,Andy Dalton,QB,CIN,PIT,30.28,00-0027973
4,Russell Wilson,QB,SEA,PHI,29.32,00-0029263
5,Matthew Stafford,QB,DET,TB,27.24,00-0026498
6,Andrew Luck,QB,IND,CLE,26.46,00-0029668
7,Joe Flacco,QB,BAL,MIA,25.36,00-0026158
8,Kyle Orton,QB,BUF,DEN,25.3,00-0023541
9,Tom Brady,QB,NE,LAC,23.38,00-0019596
10,Teddy Bridgewater,QB,MIN,NYJ,23.06,00-0031237
11,Derek Carr,QB,OAK,SF,22.36,00-0031280
12,Tony Romo,QB,DAL,CHI,20.0,00-0021678
13,Alex Smith,QB,KC,ARI,17.32,00-0023436
14,Drew Stanton,QB,ARI,KC,17.26,00-0025430
15,Geno Smith,QB,NYJ,MIN,16.46,00-0030565
16,Shaun Hill,QB,LA,WAS,16.42,00-0020679
17,Josh McCown,QB,TB,DET,15.8,00-0021206
18,Ryan Tannehill,QB,MIA,BAL,13.68,00-0029701
19,Eli Manning,QB,NYG,TEN,13.4,00-0022803
20,Drew Brees,QB,NO,CAR,13.0,00-0020531
21,Ryan Fitzpatrick,QB,HOU,JAX,12.9,00-0023682
22,Blake Bortles,QB,JAX,HOU,12.2,00-0031407
23,Colin Kaepernick,QB,SF,OAK,11.56,00-0027974
24,Mark Sanchez,QB,PHI,SEA,11.54,00-0026898
25,Philip Rivers,QB,LAC,NE,11.36,00-0022942
26,Colt McCoy,QB,WAS,LAR,7.06,00-0027688
27,Jake Locker,QB,TEN,NYG,5.04,00-0027946
28,Peyton Manning,QB,DEN,BUF,4.72,00-0010346
29,Brian Hoyer,QB,CLE,IND,3.74,00-0026625
30,Zach Mettenberger,QB,TEN,NYG,2.9,00-0031266
31,Robert Griffin III,QB,WAS,LAR,1.32,00-0029532
32,Jason Campbell,QB,CIN,PIT,0.1,00-0023460
33,Joe Webb,QB,CAR,NO,0.0,00-0027796
34,Matt Schaub,QB,OAK,SF,0.0,00-0022787
35,Luke McCown,QB,NO,CAR,0.0,00-0022864
36,Derek Anderson,QB,CAR,NO,0.0,00-0023645
37,Ryan Nassib,QB,NYG,TEN,-0.3,00-0030586
38,TY Hilton,WR,IND,CLE,39.0,00-0029608
39,Jordy Nelson,WR,GB,ATL,37.6,00-0026176
40,Odell Beckham Jr,WR,NYG,TEN,33.9,00-0031235
41,Calvin Johnson,WR,DET,TB,32.8,00-0025389
42,Julian Edelman,WR,NE,LAC,31.5,00-0027150
43,Vincent Jackson,WR,TB,DET,28.9,00-0023496
44,Percy Harvin,WR,NYJ,MIN,27.7,00-0026998
45,Jarius Wright,WR,MIN,NYJ,27.6,00-0029572
46,Martavis Bryant,WR,PIT,CIN,23.9,00-0031373
47,Antonio Brown,WR,PIT,CIN,23.7,00-0027793
48,Charles Johnson,WR,MIN,NYJ,23.3,00-0030113
49,Sammy Watkins,WR,BUF,DEN,21.7,00-0031325
50,Alshon Jeffery,WR,CHI,DAL,21.5,00-0029137
51,Doug Baldwin,WR,SEA,PHI,20.7,00-0028434
52,Mike Evans,WR,TB,DET,20.5,00-0031408
53,Steve Smith,WR,BAL,MIA,20.0,
54,Cole Beasley,WR,DAL,CHI,19.2,00-0029000
55,Kamar Aiken,WR,BAL,MIA,18.5,00-0028497
56,Pierre Garcon,WR,WAS,LAR,18.5,00-0026345
57,Chris Hogan,WR,BUF,DEN,18.4,00-0028237
