Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Mychal Rivera,TE,14,OAK,SF,7,7,100,109,1,27,16,16,0,0,0,0,0,26.90,2014
2,Martellus Bennett,TE,14,CHI,DAL,15,12,80,84,1,16,6,7,0,0,0,0,0,26.40,2014
3,Greg Olsen,TE,14,CAR,NO,11,10,91,72,1,16,7,7,0,0,0,1,0,23.20,2014
4,Rob Gronkowski,TE,14,NE,LAC,11,8,73,87,1,35,8,11,0,0,0,0,0,22.70,2014
5,Jared Cook,TE,14,LAR,WAS,5,4,80,61,2,35,12,15,0,0,0,0,0,22.10,2014
6,Travis Kelce,TE,14,KC,ARI,9,7,78,110,0,29,12,16,0,0,0,1,1,20.00,2014
7,Scott Chandler,TE,14,BUF,DEN,11,8,73,81,0,23,7,10,0,0,0,0,0,16.10,2014
8,Zach Ertz,TE,14,PHI,SEA,3,2,67,39,1,35,13,20,0,0,0,0,0,11.90,2014
9,Jermaine Gresham,TE,14,CIN,PIT,4,3,75,23,1,10,6,8,0,0,0,0,0,11.30,2014
10,Coby Fleener,TE,14,IND,CLE,10,5,50,56,0,18,6,11,0,0,0,0,0,10.60,2014
11,Marcedes Lewis,TE,14,JAX,HOU,4,3,75,69,0,35,17,23,0,0,0,0,0,9.90,2014
12,Joseph Fauria,TE,14,DET,TB,2,2,100,17,1,10,9,9,0,0,0,0,0,9.70,2014
13,Heath Miller,TE,14,PIT,CIN,3,1,33,1,1,1,0,1,0,0,0,0,0,9.10,2014
14,Benjamin Watson,TE,14,NO,CAR,4,2,50,8,1,7,2,4,0,0,0,0,0,8.80,2014
15,Antonio Gates,TE,14,LAC,NE,8,5,63,34,0,12,4,7,0,0,0,1,0,8.40,2014
16,Andrew Quarless,TE,14,GB,ATL,4,3,75,52,0,30,13,17,0,0,0,0,0,8.20,2014
17,Jordan Cameron,TE,14,CLE,IND,5,4,80,41,0,20,8,10,0,0,0,0,0,8.10,2014
18,Gavin Escobar,TE,14,DAL,CHI,1,1,100,6,1,6,6,6,0,0,0,0,0,7.60,2014
19,Larry Donnell,TE,14,NYG,TEN,7,4,57,28,0,11,4,7,0,0,0,0,0,6.80,2014
20,Delanie Walker,TE,14,TEN,NYG,10,4,40,27,0,12,3,7,0,0,0,0,0,6.70,2014
21,Charles Clay,TE,14,MIA,BAL,3,2,67,41,0,27,14,21,0,0,0,0,0,6.10,2014
22,Eric Ebron,TE,14,DET,TB,4,3,75,28,0,12,7,9,0,0,0,0,0,5.80,2014
23,Jimmy Graham,TE,14,NO,CAR,11,3,27,25,0,10,2,8,0,0,0,0,0,5.50,2014
24,Jordan Reed,TE,14,WAS,LAR,7,3,43,25,0,11,4,8,0,0,0,0,0,5.50,2014
25,Owen Daniels,TE,14,BAL,MIA,2,2,100,27,0,16,14,14,0,0,0,0,0,4.70,2014
26,Jason Witten,TE,14,DAL,CHI,3,2,67,26,0,19,9,13,0,0,0,0,0,4.60,2014
27,Vernon Davis,TE,14,SF,OAK,4,2,50,26,0,23,7,13,0,0,0,0,0,4.60,2014
28,Phillip Supernaw,TE,14,BAL,MIA,1,1,100,29,0,29,29,29,0,0,0,0,0,3.90,2014
29,Dion Sims,TE,14,MIA,BAL,3,2,67,18,0,12,6,9,0,0,0,0,0,3.80,2014
30,Kevin Brock,TE,14,CIN,PIT,2,2,100,18,0,10,9,9,0,0,0,0,0,3.80,2014
31,Ryan Griffin,TE,14,HOU,JAX,1,1,100,25,0,25,25,25,0,0,0,0,0,3.50,2014
32,Ladarius Green,TE,14,LAC,NE,2,2,100,15,0,11,8,8,0,0,0,0,0,3.50,2014
33,Matt Spaeth,TE,14,PIT,CIN,2,2,100,13,0,11,7,7,0,0,0,0,0,3.30,2014
34,Garrett Celek,TE,14,SF,OAK,1,1,100,22,0,22,22,22,0,0,0,0,0,3.20,2014
35,John Carlson,TE,14,ARI,KC,1,1,100,1,0,1,1,1,0,0,0,0,0,3.10,2014
36,Rob Housler,TE,14,ARI,KC,1,1,100,20,0,20,20,20,0,0,0,0,0,3.00,2014
37,Kyle Rudolph,TE,14,MIN,NYJ,2,2,100,9,0,6,5,5,0,0,0,0,0,2.90,2014
38,Tony Moeaki,TE,14,SEA,PHI,3,1,33,15,0,15,5,15,0,0,0,0,0,2.50,2014
39,Lance Kendricks,TE,14,LAR,WAS,1,1,100,11,0,11,11,11,0,0,0,0,0,2.10,2014
40,Cory Harkey,TE,14,LAR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,2014
41,Ed Dickson,TE,14,CAR,NO,2,1,50,10,0,10,5,10,0,0,0,0,0,2.00,2014
42,Niles Paul,TE,14,WAS,LAR,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70,2014
43,Lee Smith,TE,14,BUF,DEN,1,1,100,6,0,6,6,6,0,0,0,0,0,1.60,2014
44,Dwayne Allen,TE,14,IND,CLE,3,1,33,5,0,5,2,5,0,0,0,0,0,1.50,2014
45,Luke Stocker,TE,14,TB,DET,3,1,33,4,0,4,1,4,0,0,0,0,0,1.40,2014
46,Jim Dray,TE,14,CLE,IND,3,1,33,3,0,3,1,3,0,0,0,0,0,1.30,2014
47,Luke Willson,TE,14,SEA,PHI,2,1,50,1,0,1,1,1,0,0,0,0,0,1.10,2014
48,Adrien Robinson,TE,14,NYG,TEN,1,1,100,0,0,0,0,0,0,0,0,0,0,1.00,2014
49,Jacob Tamme,TE,14,DEN,BUF,1,1,100,10,0,10,10,10,0,0,0,1,1,1.00,2014
50,Levine Toilolo,TE,14,ATL,GB,3,1,33,-1,0,-1,0,-1,0,0,0,0,0,0.90,2014
