Player,Position,Team,Opponent,Points
Ben Roethlisberger,QB,PIT,CIN,30.90
Aaron Rodgers,QB,GB,ATL,30.88
Jay Cutler,QB,CHI,DAL,30.54
Andy Dalton,QB,CIN,PIT,30.28
Russell Wilson,QB,SEA,PHI,29.32
Matthew Stafford,QB,DET,TB,27.24
Andrew Luck,QB,IND,CLE,26.46
Joe Flacco,QB,BAL,MIA,25.36
Kyle Orton,QB,BUF,DEN,25.30
Tom Brady,QB,NE,LAC,23.38
Teddy Bridgewater,QB,MIN,NYJ,23.06
Derek Carr,QB,OAK,SF,22.36
Tony Romo,QB,DAL,CHI,20.00
Alex Smith,QB,KC,ARI,17.32
Drew Stanton,QB,ARI,KC,17.26
Geno Smith,QB,NYJ,MIN,16.46
Shaun Hill,QB,LAR,WAS,16.42
Josh McCown,QB,TB,DET,15.80
Ryan Tannehill,QB,MIA,BAL,13.68
Eli Manning,QB,NYG,TEN,13.40
Drew Brees,QB,NO,CAR,13.00
Ryan Fitzpatrick,QB,HOU,JAX,12.90
Blake Bortles,QB,JAX,HOU,12.20
Colin Kaepernick,QB,SF,OAK,11.56
Mark Sanchez,QB,PHI,SEA,11.54
Philip Rivers,QB,LAC,NE,11.36
Colt McCoy,QB,WAS,LAR,7.06
Jake Locker,QB,TEN,NYG,5.04
Peyton Manning,QB,DEN,BUF,4.72
Brian Hoyer,QB,CLE,IND,3.74
Zach Mettenberger,QB,TEN,NYG,2.90
Robert Griffin III,QB,WAS,LAR,1.32
Jason Campbell,QB,CIN,PIT,0.10
Joe Webb,QB,CAR,NO,0.00
Matt Schaub,QB,OAK,SF,0.00
Luke McCown,QB,NO,CAR,0.00
Derek Anderson,QB,CAR,NO,0.00
Ryan Nassib,QB,NYG,TEN,-0.30
TY Hilton,WR,IND,CLE,39.00
Jordy Nelson,WR,GB,ATL,37.60
Odell Beckham Jr,WR,NYG,TEN,33.90
Calvin Johnson,WR,DET,TB,32.80
Julian Edelman,WR,NE,LAC,31.50
Vincent Jackson,WR,TB,DET,28.90
Percy Harvin,WR,NYJ,MIN,27.70
Jarius Wright,WR,MIN,NYJ,27.60
Martavis Bryant,WR,PIT,CIN,23.90
Antonio Brown,WR,PIT,CIN,23.70
Charles Johnson,WR,MIN,NYJ,23.30
Sammy Watkins,WR,BUF,DEN,21.70
Alshon Jeffery,WR,CHI,DAL,21.50
Doug Baldwin,WR,SEA,PHI,20.70
Mike Evans,WR,TB,DET,20.50
Steve Smith,WR,BAL,MIA,20.00
Cole Beasley,WR,DAL,CHI,19.20
Kamar Aiken,WR,BAL,MIA,18.50
Pierre Garcon,WR,WAS,LAR,18.50
Chris Hogan,WR,BUF,DEN,18.40
Eric Decker,WR,NYJ,MIN,14.90
Allen Hurns,WR,JAX,HOU,14.60
Michael Crabtree,WR,SF,OAK,14.60
Malcom Floyd,WR,LAC,NE,14.40
Dez Bryant,WR,DAL,CHI,14.20
Wes Welker,WR,DEN,BUF,14.20
Tavon Austin,WR,LAR,WAS,14.00
Roddy White,WR,ATL,GB,13.20
Jaron Brown,WR,ARI,KC,12.80
Michael Floyd,WR,ARI,KC,12.50
Marques Colston,WR,NO,CAR,12.20
Derek Hagan,WR,TEN,NYG,12.20
Marqise Lee,WR,JAX,HOU,12.10
Jarvis Landry,WR,MIA,BAL,11.50
Jason Avant,WR,KC,ARI,11.40
Jeremy Maclin,WR,PHI,SEA,11.10
Preston Parker,WR,NYG,TEN,11.00
Emmanuel Sanders,WR,DEN,BUF,10.90
Kelvin Benjamin,WR,CAR,NO,10.40
Greg Jennings,WR,MIN,NYJ,10.20
Anquan Boldin,WR,SF,OAK,9.80
Randall Cobb,WR,GB,ATL,9.70
Albert Wilson,WR,KC,ARI,9.30
Brian Hartline,WR,MIA,BAL,9.10
Harry Douglas,WR,ATL,GB,9.10
Brandon Marshall,WR,CHI,DAL,9.10
Golden Tate,WR,DET,TB,9.00
DeAndre Hopkins,WR,HOU,JAX,8.90
Greg Olsen,TE,CAR,NO,23.20
Rob Gronkowski,TE,NE,LAC,22.70
Jared Cook,TE,LAR,WAS,22.10
Travis Kelce,TE,KC,ARI,20.00
Scott Chandler,TE,BUF,DEN,16.10
Zach Ertz,TE,PHI,SEA,11.90
Jermaine Gresham,TE,CIN,PIT,11.30
Coby Fleener,TE,IND,CLE,10.60
Marcedes Lewis,TE,JAX,HOU,9.90
Joseph Fauria,TE,DET,TB,9.70
Heath Miller,TE,PIT,CIN,9.10
Benjamin Watson,TE,NO,CAR,8.80
Antonio Gates,TE,LAC,NE,8.40
Andrew Quarless,TE,GB,ATL,8.20
Jordan Cameron,TE,CLE,IND,8.10
Gavin Escobar,TE,DAL,CHI,7.60
Larry Donnell,TE,NYG,TEN,6.80
Delanie Walker,TE,TEN,NYG,6.70
Charles Clay,TE,MIA,BAL,6.10
Eric Ebron,TE,DET,TB,5.80
Jimmy Graham,TE,NO,CAR,5.50
Jordan Reed,TE,WAS,LAR,5.50
Owen Daniels,TE,BAL,MIA,4.70
Jason Witten,TE,DAL,CHI,4.60
Vernon Davis,TE,SF,OAK,4.60
Phillip Supernaw,TE,BAL,MIA,3.90
Kevin Brock,TE,CIN,PIT,3.80
Dion Sims,TE,MIA,BAL,3.80
Ryan Griffin,TE,HOU,JAX,3.50
Ladarius Green,TE,LAC,NE,3.50
Matt Spaeth,TE,PIT,CIN,3.30
Garrett Celek,TE,SF,OAK,3.20
John Carlson,TE,ARI,KC,3.10
Rob Housler,TE,ARI,KC,3.00
Kyle Rudolph,TE,MIN,NYJ,2.90
Tony Moeaki,TE,SEA,PHI,2.50
Lance Kendricks,TE,LAR,WAS,2.10
Cory Harkey,TE,LAR,WAS,2.00
Ed Dickson,TE,CAR,NO,2.00
Niles Paul,TE,WAS,LAR,1.70
Lee Smith,TE,BUF,DEN,1.60
Dwayne Allen,TE,IND,CLE,1.50
Luke Stocker,TE,TB,DET,1.40
Jim Dray,TE,CLE,IND,1.30
Luke Willson,TE,SEA,PHI,1.10
Adrien Robinson,TE,NYG,TEN,1.00
Jacob Tamme,TE,DEN,BUF,1.00
Levine Toilolo,TE,ATL,GB,0.90
Joique Bell,RB,DET,TB,30.30
Eddie Lacy,RB,GB,ATL,27.60
Andre Williams,RB,NYG,TEN,26.70
Arian Foster,RB,HOU,JAX,25.80
Jamaal Charles,RB,KC,ARI,25.10
Matt Forte,RB,CHI,DAL,25.00
Jonathan Stewart,RB,CAR,NO,24.50
CJ Anderson,RB,DEN,BUF,23.80
Marshawn Lynch,RB,SEA,PHI,21.30
Marcel Reece,FB,OAK,SF,19.60
James Starks,RB,GB,ATL,18.10
Fred Jackson,RB,BUF,DEN,17.20
Justin Forsett,RB,BAL,MIA,15.80
Steven Jackson,RB,ATL,GB,15.60
Lamar Miller,RB,MIA,BAL,13.90
Kerwynn Williams,RB,ARI,KC,13.00
Isaiah Crowell,RB,CLE,IND,11.40
Dan Herron,RB,IND,CLE,11.10
Latavius Murray,RB,OAK,SF,10.50
Fozzy Whittaker,RB,CAR,NO,10.10
Donald Brown,RB,LAC,NE,9.90
Benjamin Cunningham,RB,LAR,WAS,9.80
LeGarrette Blount,RB,NE,LAC,9.70
Jeremy Hill,RB,CIN,PIT,9.70
Matt Asiata,RB,MIN,NYJ,9.40
Pierre Thomas,RB,NO,CAR,9.20
Juwan Thompson,RB,DEN,BUF,8.70
Chris Johnson,RB,NYJ,MIN,8.60
Mike Tolbert,FB,CAR,NO,8.20
Bruce Miller,FB,SF,OAK,7.80
Joseph Randle,RB,DAL,CHI,7.70
Chris Ivory,RB,NYJ,MIN,7.70
Alfred Blue,RB,HOU,JAX,7.50
Silas Redd,RB,WAS,LAR,7.40
Reggie Bush,RB,DET,TB,7.40
Tre Mason,RB,LAR,WAS,6.60
Mark Ingram,RB,NO,CAR,6.60
Giovani Bernard,RB,CIN,PIT,6.60
Lorenzo Taliaferro,RB,BAL,MIA,6.50
Frank Gore,RB,SF,OAK,6.30
