,Player,Position,Team,Opponent,Points,PlayerID
0,Tom Brady,QB,NE,PHI,37.78,00-0019596
1,Ben Roethlisberger,QB,PIT,IND,36.86,00-0022924
2,Blake Bortles,QB,JAX,TEN,35.78,00-0031407
3,Russell Wilson,QB,SEA,MIN,34.06,00-0029263
4,Tyrod Taylor,QB,BUF,HOU,29.24,00-0028118
5,Ryan Fitzpatrick,QB,NYJ,NYG,28.8,00-0023682
6,Aaron Rodgers,QB,GB,DET,26.62,00-0023459
7,Blaine Gabbert,QB,SF,CHI,25.34,00-0027948
8,Carson Palmer,QB,ARI,LAR,25.24,00-0021429
9,Alex Smith,QB,KC,OAK,24.78,00-0023436
10,Brian Hoyer,QB,HOU,BUF,24.22,00-0026625
11,Andy Dalton,QB,CIN,CLE,23.9,00-0027973
12,Drew Brees,QB,NO,CAR,23.48,00-0020531
13,Jameis Winston,QB,TB,ATL,19.58,00-0031503
14,Matthew Stafford,QB,DET,GB,18.0,00-0026498
15,Matt Schaub,QB,BAL,MIA,17.32,00-0022787
16,Derek Carr,QB,OAK,KC,16.32,00-0031280
17,Eli Manning,QB,NYG,NYJ,15.08,00-0022803
18,Matt Ryan,QB,ATL,TB,14.16,00-0026143
19,Kirk Cousins,QB,WAS,DAL,13.36,00-0029604
20,Sam Bradford,QB,PHI,NE,12.7,00-0027854
21,Brock Osweiler,QB,DEN,LAC,9.74,00-0029682
22,Matt Cassel,QB,DAL,WAS,8.62,00-0023662
23,Ryan Tannehill,QB,MIA,BAL,8.54,00-0029701
24,Jay Cutler,QB,CHI,SF,8.08,00-0024226
25,Matt Hasselbeck,QB,IND,PIT,7.86,00-0007091
26,Austin Davis,QB,CLE,CIN,7.6,00-0028957
27,Philip Rivers,QB,LAC,DEN,7.08,00-0022942
28,Nick Foles,QB,LA,ARI,4.64,00-0029567
29,Teddy Bridgewater,QB,MIN,SEA,3.92,00-0031237
30,Charlie Whitehurst,QB,IND,PIT,2.04,00-0024296
31,BJ Daniels,QB,SEA,MIN,1.6,
32,AJ McCarron,QB,CIN,CLE,0.76,00-0031288
33,Joe Webb,QB,CAR,NO,0.0,00-0027796
34,Drew Stanton,QB,ARI,LAR,-0.06,00-0025430
35,Landry Jones,QB,PIT,IND,-0.1,00-0030524
36,Tarvaris Jackson,QB,SEA,MIN,-0.2,00-0024279
37,Brandon Marshall,WR,NYJ,NYG,34.1,00-0024334
38,Odell Beckham Jr,WR,NYG,NYJ,29.9,00-0031235
39,Jeremy Maclin,WR,KC,OAK,29.5,00-0026995
40,AJ Green,WR,CIN,CLE,26.8,00-0027942
41,Doug Baldwin,WR,SEA,MIN,26.4,00-0028434
42,Dorial Green-Beckham,WR,TEN,JAX,25.9,00-0032218
43,Brandin Cooks,WR,NO,CAR,25.4,00-0031236
44,Ted Ginn,WR,CAR,NO,25.0,00-0025396
45,Martavis Bryant,WR,PIT,IND,24.4,00-0031373
46,Sammy Watkins,WR,BUF,HOU,22.9,00-0031325
47,Eric Decker,WR,NYJ,NYG,21.1,00-0027690
48,Danny Amendola,WR,NE,PHI,20.64,00-0026035
49,Michael Floyd,WR,ARI,LAR,20.4,00-0029638
50,John Brown,WR,ARI,LAR,20.3,00-0031051
51,DeAndre Hopkins,WR,HOU,BUF,19.8,00-0030564
52,DeSean Jackson,WR,WAS,DAL,19.0,00-0026189
53,Demaryius Thomas,WR,DEN,LAC,18.1,00-0027874
54,Brandon Coleman,WR,NO,CAR,17.3,00-0030801
55,Julio Jones,WR,ATL,TB,17.3,00-0027944
56,Mike Evans,WR,TB,ATL,17.1,00-0031408
57,Tyler Lockett,WR,SEA,MIN,16.7,00-0032211
58,Marvin Jones,WR,CIN,CLE,16.5,00-0029293
59,Brian Hartline,WR,CLE,CIN,16.3,00-0027077
60,Torrey Smith,WR,SF,CHI,15.6,00-0027996
61,Michael Crabtree,WR,OAK,KC,15.5,00-0026986
62,Devante Parker,WR,MIA,BAL,15.3,00-0031547
63,Cecil Shorts,WR,HOU,BUF,15.2,00-0028052
64,Golden Tate,WR,DET,GB,14.6,00-0027891
65,Markus Wheaton,WR,PIT,IND,14.0,00-0030460
66,Larry Fitzgerald,WR,ARI,LAR,13.5,00-0022921
67,Calvin Johnson,WR,DET,GB,13.4,00-0025389
68,Randall Cobb,WR,GB,DET,12.8,00-0028002
69,Jordan Matthews,WR,PHI,NE,12.6,00-0031299
70,Alshon Jeffery,WR,CHI,SF,12.5,00-0029137
71,Davante Adams,WR,GB,DET,12.1,00-0031381
72,Vincent Jackson,WR,TB,ATL,11.7,00-0023496
73,Jerricho Cotchery,WR,CAR,NO,11.6,00-0022811
74,JJ Nelson,WR,ARI,LAR,11.4,00-0032112
75,Kamar Aiken,WR,BAL,MIA,10.8,00-0028497
76,Pierre Garcon,WR,WAS,DAL,10.4,00-0026345
77,Nate Washington,WR,HOU,BUF,10.4,00-0023367
78,Amari Cooper,WR,OAK,KC,10.2,00-0031544
79,Robert Woods,WR,BUF,HOU,9.9,00-0030431
80,Chris Givens,WR,BAL,MIA,9.8,
81,Rashad Greene,WR,JAX,TEN,9.5,00-0032170
82,Dez Bryant,WR,DAL,WAS,9.2,00-0027902
83,Seth Roberts,WR,OAK,KC,9.1,00-0031166
84,Anquan Boldin,WR,SF,CHI,8.7,00-0022084
85,Delanie Walker,TE,TEN,JAX,23.2,00-0024389
86,Charles Clay,TE,BUF,HOU,16.6,00-0028112
87,Scott Chandler,TE,NE,PHI,16.1,00-0025516
88,Benjamin Watson,TE,NO,CAR,13.8,00-0022943
89,Ryan Griffin,TE,HOU,BUF,11.9,00-0030108
90,Antonio Gates,TE,LAC,DEN,11.0,00-0021547
91,Gary Barnidge,TE,CLE,CIN,10.9,00-0026281
92,Clive Walford,TE,OAK,KC,10.3,00-0032256
93,Will Tye,TE,NYG,NYJ,10.0,00-0032004
94,Jason Witten,TE,DAL,WAS,9.6,00-0022127
95,Julius Thomas,TE,JAX,TEN,9.5,00-0028067
96,Craig Stevens,TE,TEN,JAX,9.1,00-0026225
97,Eric Ebron,TE,DET,GB,8.9,00-0031387
98,Zach Ertz,TE,PHI,NE,8.9,00-0030061
99,Lee Smith,TE,OAK,KC,7.5,00-0028097
100,Travis Kelce,TE,KC,OAK,7.2,00-0030506
101,Jordan Reed,TE,WAS,DAL,6.3,00-0030472
102,Austin Seferian-Jenkins,TE,TB,ATL,6.1,00-0031418
103,Jesse James,TE,PIT,IND,6.0,00-0032135
104,Coby Fleener,TE,IND,PIT,6.0,00-0029697
105,Ed Dickson,TE,CAR,NO,5.7,00-0027675
106,Luke Willson,TE,SEA,MIN,5.6,00-0030089
107,Jacob Tamme,TE,ATL,TB,5.6,00-0026267
108,Jared Cook,TE,LA,ARI,5.2,00-0027061
109,Vernon Davis,TE,DEN,LAC,4.5,00-0024221
110,Nick Boyle,TE,BAL,MIA,4.5,00-0031598
111,Martellus Bennett,TE,CHI,SF,4.4,00-0026201
112,Kyle Rudolph,TE,MIN,SEA,4.3,00-0027981
113,Ladarius Green,TE,LAC,DEN,4.1,00-0029275
114,Vance McDonald,TE,SF,CHI,3.8,00-0030470
115,Owen Daniels,TE,DEN,LAC,3.3,00-0024313
116,Mychal Rivera,TE,OAK,KC,3.3,00-0030514
117,Darren Fells,TE,ARI,LAR,3.2,00-0029738
118,Virgil Green,TE,DEN,LAC,3.2,00-0028142
119,Cameron Brate,TE,TB,ATL,3.2,00-0031273
120,Josh Hill,TE,NO,CAR,3.1,00-0030216
121,Michael Hoomanawanui,TE,NO,CAR,2.9,00-0027732
122,Tyler Kroft,TE,CIN,CLE,2.7,00-0032214
123,Brent Celek,TE,PHI,NE,2.6,00-0025549
124,Cooper Helfet,TE,SEA,MIN,2.3,00-0029534
125,Jermaine Gresham,TE,ARI,LAR,2.3,00-0027873
126,James Hanna,TE,DAL,WAS,2.1,00-0029634
127,Kellen Davis,TE,NYJ,NYG,1.8,00-0026298
128,CJ Fiedorowicz,TE,HOU,BUF,1.8,00-0031302
129,John Phillips,TE,LAC,DEN,1.8,00-0027139
130,Marcedes Lewis,TE,JAX,TEN,1.7,00-0024243
131,EJ Bibbs,TE,CLE,CIN,1.7,
132,Ryan Hewitt,TE,CIN,CLE,1.7,00-0030780
133,Bilal Powell,RB,NYJ,NYG,24.8,00-0028064
134,TJ Yeldon,RB,JAX,TEN,23.6,00-0032209
135,DeAngelo Williams,RB,PIT,IND,23.5,00-0024242
136,Matt Forte,RB,CHI,SF,23.3,00-0026184
137,Thomas Rawls,RB,SEA,MIN,23.3,00-0031897
138,Devonta Freeman,RB,ATL,TB,20.3,00-0031285
139,David Johnson,RB,ARI,LAR,20.0,00-0032187
140,Darren Sproles,RB,PHI,NE,20.0,00-0023564
141,Mark Ingram,RB,NO,CAR,19.9,00-0027966
142,Latavius Murray,RB,OAK,KC,19.7,00-0030513
143,Shaun Draughn,RB,SF,CHI,19.6,00-0028202
144,Jonathan Stewart,RB,CAR,NO,19.3,00-0026153
145,Frank Gore,RB,IND,PIT,18.4,00-0023500
146,Doug Martin,RB,TB,ATL,16.0,00-0029613
147,Jeremy Hill,RB,CIN,CLE,15.8,00-0031301
148,Lamar Miller,RB,MIA,BAL,14.8,00-0029615
149,Chris Polk,RB,HOU,BUF,14.2,00-0029438
150,LeSean McCoy,RB,BUF,HOU,14.2,00-0027029
151,Antonio Andrews,RB,TEN,JAX,13.8,00-0030789
152,Mike Tolbert,FB,CAR,NO,13.1,00-0026069
153,Kerwynn Williams,RB,ARI,LAR,11.9,00-0030117
154,James Starks,RB,GB,DET,11.0,00-0027791
155,Darren McFadden,RB,DAL,WAS,10.9,00-0026144
156,Chris Ivory,RB,NYJ,NYG,10.9,00-0027531
157,Spencer Ware,RB,KC,OAK,10.5,00-0030414
158,Fred Jackson,RB,SEA,MIN,9.8,00-0024204
159,Charles Sims,RB,TB,ATL,9.7,00-0031390
160,Jeremy Langford,RB,CHI,SF,8.8,00-0031569
161,Jonathan Grimes,RB,HOU,BUF,8.3,00-0029510
162,Theo Riddick,RB,DET,GB,8.1,00-0030107
163,Ka'Deem Carey,RB,CHI,SF,7.7,00-0031057
164,Isaiah Crowell,RB,CLE,CIN,7.4,00-0030656
165,Duke Johnson,RB,CLE,CIN,7.2,00-0032257
166,Ameer Abdullah,RB,DET,GB,6.7,00-0032104
167,Donald Brown,RB,LAC,DEN,6.7,00-0027003
168,Matt Jones,RB,WAS,DAL,6.4,00-0031939
169,CJ Anderson,RB,DEN,LAC,6.4,00-0029854
170,Charcandrick West,RB,KC,OAK,6.4,00-0030668
171,Danny Woodhead,RB,LAC,DEN,6.4,00-0026019
172,Chris Thompson,RB,WAS,DAL,6.4,00-0030404
173,Adrian Peterson,RB,MIN,SEA,6.4,00-0025394
174,Melvin Gordon,RB,LAC,DEN,6.3,00-0032144
175,Ronnie Hillman,RB,DEN,LAC,5.6,00-0029683
176,Mike Gillislee,RB,BUF,HOU,5.6,00-0030433
177,Kenjon Barner,RB,PHI,NE,5.6,00-0030465
178,LeGarrette Blount,RB,NE,PHI,5.4,00-0027325
179,Jerick McKinnon,RB,MIN,SEA,5.4,00-0031376
180,Dan Herron,RB,IND,PIT,5.4,00-0029588
181,Chris Boswell,K,PIT,IND,0.0,00-0031136
182,Matt Prater,K,DET,GB,0.0,00-0023853
183,Mike Nugent,K,CIN,CLE,0.0,00-0023482
184,Randy Bullock,K,NYJ,NYG,0.0,00-0029421
185,Robbie Gould,K,CHI,SF,0.0,00-0023252
186,Dustin Hopkins,K,WAS,DAL,0.0,00-0030098
187,Chandler Catanzaro,K,ARI,LAR,0.0,00-0030896
188,Steven Hauschka,K,SEA,MIN,0.0,
189,Josh Brown,K,NYG,NYJ,0.0,00-0021940
190,Justin Tucker,K,BAL,MIA,0.0,00-0029597
191,Dan Carpenter,K,BUF,HOU,0.0,00-0026003
192,Ryan Succop,K,TEN,JAX,0.0,00-0026968
193,Graham Gano,K,CAR,NO,0.0,00-0026858
194,Caleb Sturgis,K,PHI,NE,0.0,00-0030390
195,Brandon McManus,K,DEN,LAC,0.0,00-0029822
196,Josh Lambo,K,LAC,DEN,0.0,00-0032087
197,Connor Barth,K,TB,ATL,0.0,00-0026138
198,Adam Vinatieri,K,IND,PIT,0.0,00-0016919
199,Stephen Gostkowski,K,NE,PHI,0.0,00-0024333
200,Kai Forbath,K,NO,CAR,0.0,00-0028787
201,Travis Coons,K,CLE,CIN,0.0,00-0031112
202,Zach Hocker,K,LA,ARI,0.0,00-0031092
203,Jason Myers,K,JAX,TEN,0.0,00-0031492
204,Mason Crosby,K,GB,DET,0.0,00-0025580
205,Cairo Santos,K,KC,OAK,0.0,00-0031203
206,Sebastian Janikowski,K,OAK,KC,0.0,00-0019646
207,Phil Dawson,K,SF,CHI,0.0,00-0004091
208,Andrew Franks,K,MIA,BAL,0.0,00-0031718
209,Blair Walsh,K,MIN,SEA,0.0,00-0029576
210,Nick Novak,K,HOU,BUF,0.0,00-0023096
211,Jordan Gay,K,BUF,HOU,0.0,00-0030410
212,Kansas City Chiefs,DST,KC,OAK,21.0,
213,Pittsburgh Steelers,DST,PIT,IND,21.0,
214,Miami Dolphins,DST,MIA,BAL,17.0,
215,Cincinnati Bengals,DST,CIN,CLE,16.0,
216,New Orleans Saints,DST,NO,CAR,11.0,
217,New York Giants,DST,NYG,NYJ,11.0,
218,San Francisco 49ers,DST,SF,CHI,10.0,
219,Seattle Seahawks,DST,SEA,MIN,10.0,
220,Arizona Cardinals,DST,ARI,LAR,9.0,
221,Washington Redskins,DST,WAS,DAL,8.0,
222,Oakland Raiders,DST,OAK,KC,7.0,
223,Los Angeles Chargers,DST,LAC,DEN,7.0,
224,Baltimore Ravens,DST,BAL,MIA,7.0,
225,Chicago Bears,DST,CHI,SF,7.0,
226,Tampa Bay Buccaneers,DST,TB,ATL,6.0,
227,Minnesota Vikings,DST,MIN,SEA,6.0,
228,Tennessee Titans,DST,TEN,JAX,6.0,
229,Dallas Cowboys,DST,DAL,WAS,6.0,
230,New York Jets,DST,NYJ,NYG,6.0,
231,Green Bay Packers,DST,GB,DET,5.0,
232,Detroit Lions,DST,DET,GB,5.0,
233,Carolina Panthers,DST,CAR,NO,5.0,
234,Atlanta Falcons,DST,ATL,TB,5.0,
235,Jacksonville Jaguars,DST,JAX,TEN,4.0,
236,Buffalo Bills,DST,BUF,HOU,4.0,
237,New England Patriots,DST,NE,PHI,4.0,
238,Los Angeles Rams,DST,LA,ARI,2.0,
239,Indianapolis Colts,DST,IND,PIT,2.0,
240,Houston Texans,DST,HOU,BUF,0.0,
241,Cleveland Browns,DST,CLE,CIN,-3.0,
