,Player,Position,Team,Opponent,Points,PlayerID
0,Drew Brees,QB,NO,PHI,26.34,00-0020531
1,Eli Manning,QB,NYG,DAL,24.4,00-0022803
2,Carson Palmer,QB,CIN,GB,23.5,00-0021429
3,Peyton Manning,QB,IND,MIA,23.42,00-0010346
4,Kevin Kolb,QB,PHI,NO,23.04,00-0025423
5,Byron Leftwich,QB,TB,BUF,21.84,00-0022177
6,Matt Ryan,QB,ATL,CAR,20.1,00-0026143
7,David Garrard,QB,JAX,ARI,19.98,00-0021231
8,Aaron Rodgers,QB,GB,CIN,18.74,00-0023459
9,Trent Edwards,QB,BUF,TB,18.6,00-0025479
10,Ben Roethlisberger,QB,PIT,CHI,18.44,00-0022924
11,Jake Delhomme,QB,CAR,ATL,18.32,00-0004161
12,Kurt Warner,QB,ARI,JAX,17.62,00-0017200
13,Jay Cutler,QB,CHI,PIT,17.34,00-0024226
14,Kerry Collins,QB,TEN,HOU,15.04,00-0003292
15,Matt Cassel,QB,KC,OAK,15.04,00-0023662
16,Joe Flacco,QB,BAL,LAC,14.9,00-0026158
17,Kyle Orton,QB,DEN,CLE,14.52,00-0023541
18,Brett Favre,QB,MIN,DET,14.2,00-0005106
19,Jason Campbell,QB,WAS,LAR,12.48,00-0023460
20,Tony Romo,QB,DAL,NYG,12.38,00-0021678
21,Mark Sanchez,QB,NYJ,NE,10.32,00-0026898
22,Marc Bulger,QB,LA,WAS,9.9,00-0019599
23,Matthew Stafford,QB,DET,MIN,8.78,00-0026498
24,Seneca Wallace,QB,SEA,SF,8.18,00-0022055
25,Tom Brady,QB,NE,NYJ,7.84,00-0019596
26,Shaun Hill,QB,SF,SEA,7.46,00-0020679
27,Chad Pennington,QB,MIA,IND,6.72,00-0019559
28,Matt Hasselbeck,QB,SEA,SF,5.08,00-0007091
29,Brady Quinn,QB,CLE,DEN,4.84,00-0025409
30,JaMarcus Russell,QB,OAK,KC,4.06,00-0025388
31,Matt Leinart,QB,ARI,JAX,0.58,00-0024225
32,Tarvaris Jackson,QB,MIN,DET,0.26,00-0024279
